Species,Species_Details,Abbr,Abbr_Details,Name,Name_Details,Cell_Type,Well_Size,MSC_Media,Sample,Passage,Position,Absorbance_Rep,Absorbance_Value
Chimpanzee,Chimpanzee MSC,C1,C1 MSC,C8861,C8861 MSC,MSC,12W,3B,C1-M,p15+18+18,NA,1,0.189
Chimpanzee,Chimpanzee MSC,C1,C1 MSC,C8861,C8861 MSC,MSC,12W,3B,C1-M,p15+18+18,NA,2,0.215
Chimpanzee,Chimpanzee MSC,C1,C1 MSC,C8861,C8861 MSC,MSC,12W,3B,C1-M,p15+18+18,NA,3,0.197
Chimpanzee,Chimpanzee MSC,C1,C1 MSC,C8861,C8861 MSC,MSC,12W,3B,C1-M,p15+18+18,NA,4,0.170
Chimpanzee,Chimpanzee Osteoblast,C1,C1 Osteoblast,C8861,C8861 Osteoblast,Osteoblast,12W,3B,C1-O 12w,p15+18+18,NA,1,0.324
Chimpanzee,Chimpanzee Osteoblast,C1,C1 Osteoblast,C8861,C8861 Osteoblast,Osteoblast,12W,3B,C1-O 12w,p15+18+18,NA,2,0.259
Chimpanzee,Chimpanzee Osteoblast,C1,C1 Osteoblast,C8861,C8861 Osteoblast,Osteoblast,12W,3B,C1-O 12w,p15+18+18,NA,3,0.295
Chimpanzee,Chimpanzee Osteoblast,C1,C1 Osteoblast,C8861,C8861 Osteoblast,Osteoblast,12W,3B,C1-O 12w,p15+18+18,NA,4,0.363
Chimpanzee,Chimpanzee Osteoblast,C1,C1 Osteoblast,C8861,C8861 Osteoblast,Osteoblast,6W,3B,C1-O 6w,p15+18+18,NA,1,0.691
Chimpanzee,Chimpanzee Osteoblast,C1,C1 Osteoblast,C8861,C8861 Osteoblast,Osteoblast,6W,3B,C1-O 6w,p15+18+18,NA,2,0.778
Chimpanzee,Chimpanzee Osteoblast,C1,C1 Osteoblast,C8861,C8861 Osteoblast,Osteoblast,6W,3B,C1-O 6w,p15+18+18,NA,3,0.528
Chimpanzee,Chimpanzee Osteoblast,C1,C1 Osteoblast,C8861,C8861 Osteoblast,Osteoblast,6W,3B,C1-O 6w,p15+18+18,NA,4,0.508
Human,Human MSC,H1,H1 MSC,H23555,H23555 MSC,MSC,12W,3B,H1-M,p16+29+11,NA,1,1.440
Human,Human MSC,H1,H1 MSC,H23555,H23555 MSC,MSC,12W,3B,H1-M,p16+29+11,NA,2,0.142
Human,Human MSC,H1,H1 MSC,H23555,H23555 MSC,MSC,12W,3B,H1-M,p16+29+11,NA,3,0.142
Human,Human MSC,H1,H1 MSC,H23555,H23555 MSC,MSC,12W,3B,H1-M,p16+29+11,NA,4,1.603
Human,Human Osteoblast,H1,H1 Osteoblast,H23555,H23555 Osteoblast,Osteoblast,12W,3B,H1-O 12w,p16+29+12,NA,1,0.524
Human,Human Osteoblast,H1,H1 Osteoblast,H23555,H23555 Osteoblast,Osteoblast,12W,3B,H1-O 12w,p16+29+12,NA,2,0.139
Human,Human Osteoblast,H1,H1 Osteoblast,H23555,H23555 Osteoblast,Osteoblast,12W,3B,H1-O 12w,p16+29+12,NA,3,0.142
Human,Human Osteoblast,H1,H1 Osteoblast,H23555,H23555 Osteoblast,Osteoblast,12W,3B,H1-O 12w,p16+29+12,NA,4,0.137
Human,Human Osteoblast,H1,H1 Osteoblast,H23555,H23555 Osteoblast,Osteoblast,6W,3B,H1-O 6w,p16+29+12,NA,1,0.234
Human,Human Osteoblast,H1,H1 Osteoblast,H23555,H23555 Osteoblast,Osteoblast,6W,3B,H1-O 6w,p16+29+12,NA,2,0.234
Human,Human Osteoblast,H1,H1 Osteoblast,H23555,H23555 Osteoblast,Osteoblast,6W,3B,H1-O 6w,p16+29+12,NA,3,0.239
Human,Human Osteoblast,H1,H1 Osteoblast,H23555,H23555 Osteoblast,Osteoblast,6W,3B,H1-O 6w,p16+29+12,NA,4,0.233
Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,MSC,12W,2B,HR-M,p16+29+13,A1,1,0.128
Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,MSC,12W,2B,HR-M,p16+29+13,A2,2,0.132
Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,MSC,12W,2B,HR-M,p16+29+13,A3,3,0.953
Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,MSC,12W,2B,HR-M,p16+29+13,A4,4,0.144
Chimpanzee,Chimpanzee MSC,C1-r2,C1-r2 MSC,C8861,C8861 MSC,MSC,12W,2B,CR-M,p15+20+11,A5,1,0.136
Chimpanzee,Chimpanzee MSC,C1-r2,C1-r2 MSC,C8861,C8861 MSC,MSC,12W,2B,CR-M,p15+20+11,A6,2,0.141
Chimpanzee,Chimpanzee MSC,C1-r2,C1-r2 MSC,C8861,C8861 MSC,MSC,12W,2B,CR-M,p15+20+11,A7,3,0.133
Chimpanzee,Chimpanzee MSC,C1-r2,C1-r2 MSC,C8861,C8861 MSC,MSC,12W,2B,CR-M,p15+20+11,A8,4,0.591
Human,Human Osteoblast,H1-r2,H1-r2 Osteoblast,H23555,H23555 Osteoblast,Osteoblast,12W,2B,HR-O,p16+29+14,A9,1,0.941
Human,Human Osteoblast,H1-r2,H1-r2 Osteoblast,H23555,H23555 Osteoblast,Osteoblast,12W,2B,HR-O,p16+29+14,A10,2,0.951
Human,Human Osteoblast,H1-r2,H1-r2 Osteoblast,H23555,H23555 Osteoblast,Osteoblast,12W,2B,HR-O,p16+29+14,A11,3,0.957
Human,Human Osteoblast,H1-r2,H1-r2 Osteoblast,H23555,H23555 Osteoblast,Osteoblast,12W,2B,HR-O,p16+29+14,A12,4,1.064
Chimpanzee,Chimpanzee Osteoblast,C1-r2,C1-r2 Osteoblast,C8861,C8861 Osteoblast,Osteoblast,12W,2B,CR-O,p15+20+12,B1,1,0.907
Chimpanzee,Chimpanzee Osteoblast,C1-r2,C1-r2 Osteoblast,C8861,C8861 Osteoblast,Osteoblast,12W,2B,CR-O,p15+20+12,B2,2,0.915
Chimpanzee,Chimpanzee Osteoblast,C1-r2,C1-r2 Osteoblast,C8861,C8861 Osteoblast,Osteoblast,12W,2B,CR-O,p15+20+12,B3,3,1.407
Chimpanzee,Chimpanzee Osteoblast,C1-r2,C1-r2 Osteoblast,C8861,C8861 Osteoblast,Osteoblast,12W,2B,CR-O,p15+20+12,B4,4,1.405
Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,MSC,12W,3B,H2-M,p16+22+12,B5,1,0.12
Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,MSC,12W,3B,H2-M,p16+22+12,B6,2,0.121
Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,MSC,12W,3B,H2-M,p16+22+12,B7,3,0.122
Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,MSC,12W,3B,H2-M,p16+22+12,B8,4,0.118
Chimpanzee,Chimpanzee MSC,C2,C2 MSC,C3647,C3647 MSC,MSC,12W,3B,C2-M,p15+22+12,B9,1,0.125
