"","x"
"1","CFH"
"2","FUCA2"
"3","NFYA"
"4","ENPP4"
"5","RAD52"
"6","LAP3"
"7","M6PR"
"8","TFPI"
"9","SLC7A2"
"10","PLXND1"
"11","CD38"
"12","FKBP4"
"13","PDK4"
"14","SKAP2"
"15","THSD7A"
"16","PRKAR2B"
"17","GCFC2"
"18","CROT"
"19","ITGA3"
"20","TNFRSF12A"
"21","AGK"
"22","PHTF2"
"23","GGCT"
"24","IFRD1"
"25","VPS41"
"26","ARHGAP44"
"27","PNPLA4"
"28","ADIPOR2"
"29","CDKL3"
"30","GAS7"
"31","TRAPPC6A"
"32","TSR3"
"33","PIGQ"
"34","MYLIP"
"35","JARID2"
"36","CDKL5"
"37","CYB561"
"38","MPND"
"39","MGST1"
"40","ST3GAL1"
"41","IL32"
"42","RANBP9"
"43","EEF1AKNMT"
"44","ZNF207"
"45","UQCRC1"
"46","CD9"
"47","FUZ"
"48","MKS1"
"49","ABHD5"
"50","WIZ"
"51","DCN"
"52","PPP5C"
"53","MBTPS2"
"54","PRICKLE3"
"55","MAN2B2"
"56","PGM3"
"57","POLR3B"
"58","DDX11"
"59","MDH1"
"60","COX15"
"61","YAF2"
"62","BID"
"63","RGPD5"
"64","WWTR1"
"65","CXorf56"
"66","HGF"
"67","SERPINB1"
"68","AQR"
"69","FHL1"
"70","RB1CC1"
"71","GLRX2"
"72","SNAPC1"
"73","EHD2"
"74","SEC63"
"75","RNASET2"
"76","CD44"
"77","KCNG1"
"78","POU2F2"
"79","TBPL1"
"80","ARNTL2"
"81","HMGB3"
"82","ARHGAP31"
"83","EIPR1"
"84","UBA6"
"85","GAB2"
"86","ATP6V0A1"
"87","PIAS1"
"88","SLC4A7"
"89","APBA2"
"90","SH3YL1"
"91","METTL1"
"92","MAT2B"
"93","TRIO"
"94","VCAN"
"95","ZFYVE16"
"96","RAI14"
"97","STAU2"
"98","SLC66A1"
"99","CTNS"
"100","LSG1"
"101","PARP3"
"102","SPATA7"
"103","MED17"
"104","RETSAT"
"105","CAPG"
"106","JADE2"
"107","CUL7"
"108","CTNNA1"
"109","CNTLN"
"110","GEMIN8"
"111","YTHDC2"
"112","WWC3"
"113","ARHGAP6"
"114","USP28"
