"","x"
"1","SCYL3"
"2","CFH"
"3","FUCA2"
"4","NFYA"
"5","STPG1"
"6","ENPP4"
"7","SEMA3F"
"8","KRIT1"
"9","RAD52"
"10","LAP3"
"11","M6PR"
"12","ICA1"
"13","CFLAR"
"14","TFPI"
"15","RBM5"
"16","SLC7A2"
"17","PLXND1"
"18","FKBP4"
"19","SKAP2"
"20","REXO5"
"21","SPPL2B"
"22","CREBBP"
"23","GCFC2"
"24","IBTK"
"25","PDK2"
"26","ITGA3"
"27","CRLF1"
"28","TMEM98"
"29","ZNF263"
"30","TNFRSF12A"
"31","MAP3K9"
"32","RALA"
"33","AGK"
"34","PHTF2"
"35","GGCT"
"36","DBF4"
"37","IFRD1"
"38","VPS41"
"39","ARHGAP44"
"40","ELAC2"
"41","PNPLA4"
"42","ADIPOR2"
"43","CDKL3"
"44","GAS7"
"45","TRAPPC6A"
"46","TSR3"
"47","PIGQ"
"48","DNAJC11"
"49","MYLIP"
"50","JARID2"
"51","CDKL5"
"52","CYB561"
"53","MPND"
"54","MGST1"
"55","ST3GAL1"
"56","IL32"
"57","PKD1"
"58","MAPK8IP2"
"59","MED24"
"60","FAM76A"
"61","VTA1"
"62","BAZ1B"
"63","RANBP9"
"64","SPRTN"
"65","EEF1AKNMT"
"66","DYRK4"
"67","ZNF207"
"68","UQCRC1"
"69","STARD3NL"
"70","CD9"
"71","NCAPD2"
"72","IFFO1"
"73","PHF7"
"74","FUZ"
"75","SCMH1"
"76","FYN"
"77","LYPLA2"
"78","APBA3"
"79","MKS1"
"80","ABHD5"
"81","ANOS1"
"82","PTBP1"
"83","LARS2"
"84","PIK3C2A"
"85","PLAUR"
"86","WIZ"
"87","DCN"
"88","PPP5C"
"89","ELOVL5"
"90","EHD3"
"91","MAN2B2"
"92","PGM3"
"93","RWDD2A"
"94","DNASE1L1"
"95","DDX11"
"96","UFL1"
"97","MDH1"
"98","SLC30A9"
"99","MTMR11"
"100","COX15"
"101","YAF2"
"102","BID"
"103","RGPD5"
"104","CHDH"
"105","WWTR1"
"106","CXorf56"
"107","ADGRA2"
"108","SERPINB1"
"109","SPAST"
"110","AQR"
"111","RTF2"
"112","RB1CC1"
"113","ERP44"
"114","AKAP11"
"115","GLRX2"
"116","SNAPC1"
"117","STRAP"
"118","GCLM"
"119","EHD2"
"120","PHF20"
"121","RNASET2"
"122","KCNG1"
"123","AGPAT4"
"124","PRKCH"
"125","POU2F2"
"126","TBPL1"
"127","ARNTL2"
"128","BCLAF1"
"129","IKZF2"
"130","ARHGAP31"
"131","SARS1"
"132","IFT88"
"133","UBA6"
"134","GAB2"
"135","PIAS1"
"136","SLC4A7"
"137","APBA2"
"138","ASTE1"
"139","SH3YL1"
"140","DEPDC1B"
"141","TUBG2"
"142","FBXO42"
"143","MRI1"
"144","AGA"
"145","BOD1L1"
"146","MAT2B"
"147","TRIO"
"148","VCAN"
"149","MTREX"
"150","ZFYVE16"
"151","RAI14"
"152","PHLPP2"
"153","STAU2"
"154","SLC66A1"
"155","CTNS"
"156","INPP4A"
"157","LSG1"
"158","PARP3"
"159","TNC"
"160","MED17"
"161","JADE2"
"162","TRIT1"
"163","CTNNA1"
"164","CNTLN"
"165","DSG2"
"166","GEMIN8"
"167","YTHDC2"
"168","WWC3"
"169","ARHGAP6"
"170","HDAC9"
"171","TSPAN17"
"172","NOP16"
"173","CC2D2A"
"174","VPS13D"
"175","CELF2"
"176","ADAMTS6"
"177","VAMP3"
"178","LTBP1"
