"","x"
"1","BAIAP2L1"
"2","BTBD7"
"3","METTL1"
"4","HIPK2"
"5","MGAT4A"
"6","HLTF"
"7","LRCH4"
"8","ME2"
"9","EPB41L1"
"10","PITPNM2"
"11","PHGDH"
"12","EIF3D"
"13","AKT2"
"14","GAB1"
"15","PRKAB1"
"16","CAMSAP2"
"17","KBTBD7"
"18","SRGN"
"19","CHST3"
"20","SNAI1"
"21","ATXN1"
"22","WNK4"
"23","FLNC"
"24","BTF3L4"
"25","CEMIP2"
"26","TBX3"
"27","PELP1"
"28","PIP5K1A"
"29","KLHL3"
"30","C9orf72"
"31","CEP78"
"32","NTMT1"
"33","TXNDC11"
"34","FGF11"
"35","PEX19"
"36","LRR1"
"37","ZNF747"
"38","ZNF581"
"39","EHBP1L1"
"40","CHD2"
"41","IMPDH2"
"42","ZBTB7A"
"43","CHP1"
"44","FOCAD"
"45","ZNF699"
"46","WDR5B"
"47","KTI12"
"48","DHX16"
"49","RNF115"
