"","x"
"1","TSPAN6"
"2","DPM1"
"3","LAS1L"
"4","CD99"
"5","KLHL13"
"6","DBNDD1"
"7","NDUFAF7"
"8","SARM1"
"9","RBM6"
"10","CAMKK1"
"11","NDUFAB1"
"12","SLC25A13"
"13","CDC27"
"14","DVL2"
"15","SLC25A5"
"16","MCUB"
"17","DHX33"
"18","THSD7A"
"19","CROT"
"20","KMT2E"
"21","MYCBP2"
"22","FBXL3"
"23","REX1BD"
"24","OSBPL7"
"25","TMEM132A"
"26","AP2B1"
"27","KDM7A"
"28","ALDH3B1"
"29","CCL26"
"30","FARP2"
"31","COX10"
"32","GTF2IRD1"
"33","ARSD"
"34","MARK4"
"35","CCDC124"
"36","PAFAH1B1"
"37","CRAMP1"
"38","PSMB1"
"39","NADK"
"40","ADAM22"
"41","SPAG9"
"42","SS18L2"
"43","RHOBTB2"
"44","POMT2"
"45","ETV7"
"46","NISCH"
"47","ZNF200"
"48","LRRC23"
"49","TSPAN9"
"50","AKAP8L"
"51","MBTD1"
"52","RNF216"
"53","CEP68"
"54","TMEM159"
"55","BRCA1"
"56","PRICKLE3"
"57","CALCOCO1"
"58","UBR7"
"59","MAP4K5"
"60","CLDN11"
"61","SLC25A39"
"62","MVP"
"63","NUB1"
"64","ANGEL1"
"65","RNF14"
"66","HEBP1"
"67","TACC3"
"68","POLA2"
"69","ZC3H3"
"70","XYLT2"
"71","NUDCD3"
"72","GLT8D1"
"73","ATP2C1"
"74","SLC38A5"
"75","RALBP1"
"76","RUFY3"
"77","AGPS"
"78","TTC27"
"79","PRDM11"
"80","SNAI2"
"81","PLEKHB1"
"82","OSBPL5"
"83","CPS1"
"84","FHL1"
"85","SLC45A4"
"86","ZNF839"
"87","GRAMD1B"
"88","RNH1"
"89","NDUFS1"
"90","DERA"
"91","DEF6"
"92","NR1H3"
"93","NCAPH2"
"94","TOMM34"
"95","FAS"
"96","CD44"
"97","MIPEP"
"98","IFNGR1"
"99","SNX1"
"100","NUP160"
"101","GRN"
"102","FAM13B"
"103","ZCCHC8"
"104","FUT8"
"105","TMSB10"
"106","VCL"
"107","ADSS2"
"108","TIMP2"
"109","TBC1D23"
"110","CUL3"
"111","USP2"
"112","NSUN2"
"113","MFAP3"
"114","PI4K2B"
"115","EDC4"
"116","RIPOR1"
"117","PNKP"
"118","SPDL1"
"119","RETSAT"
"120","ZIC2"
"121","PHKA2"
"122","HSPA5"
"123","WDR37"
"124","CTPS2"
"125","ARAP2"
"126","KIAA0556"
"127","DTNBP1"
"128","FAM184B"
"129","MAP4"
"130","GOPC"
"131","RRM2B"
"132","ZNF800"
"133","SNX29"
"134","RSF1"
"135","FAM120A"
"136","KITLG"
"137","H6PD"
"138","PER3"
"139","ELN"
"140","RFC2"
"141","HEXB"
"142","ARHGEF5"
"143","SLC4A8"
"144","MAPK9"
"145","HOMER3"
"146","CYBA"
"147","PLEKHA5"
"148","OPN3"
"149","PTPRN"
"150","GALC"
"151","FAM114A2"
"152","GINM1"
"153","EIF2AK2"
"154","PUM2"
"155","MRPL43"
"156","HPF1"
"157","ZNF280C"
"158","TRAF1"
"159","TRAF3IP2"
"160","PKP2"
"161","PRDM1"
"162","ATG5"
"163","USP13"
"164","ATP2B4"
"165","YIPF1"
"166","FLYWCH1"
"167","PARP12"
"168","CDK17"
"169","DNAJC25"
"170","SLC2A3"
"171","PSD"
"172","CTDP1"
"173","YBX3"
"174","PIGV"
"175","PTPRU"
"176","QSER1"
"177","ACAA1"
"178","MRPS35"
"179","GUCY1B1"
"180","TNK2"
"181","SPHK2"
"182","CA11"
"183","EPN1"
"184","MTMR1"
"185","HAGH"
"186","ST3GAL6"
"187","TNPO3"
"188","CTSA"
"189","SUGP2"
"190","SLC12A2"
"191","ABCA7"
"192","SNCAIP"
