"","Source.DEGenes","Source.GenesOfInterest","DE.Interest","NonDE.Interest","DE.NotInterest","NonDE.NotInterest","p.value","odds.ratio","GeneRatio"
"1","Shared in All","Blake2018-DE.iPSCs-Unique",138,251,3616,7819,0.0615267127339392,1.1888155001738,0.00103213067671872
"2","Shared in iPSCs & MSCs","Blake2018-DE.iPSCs-Unique",1,388,11,11424,0.330765295869074,2.67629605456943,7.47920780230958e-06
"3","Shared in MSCs & Osteogenic","Blake2018-DE.iPSCs-Unique",16,373,781,10654,0.990339344088312,0.585190060208503,0.000119667324836953
"4","Unique to iPSCs","Blake2018-DE.iPSCs-Unique",126,263,2735,8700,0.000122114829849305,1.5239107143823,0.000942380183091007
"5","Unique to MSCs","Blake2018-DE.iPSCs-Unique",0,389,4,11431,1,0,0
"6","Unique to Osteogenic","Blake2018-DE.iPSCs-Unique",0,389,0,11435,1,0,0
"7","Shared in All","Blake2018-DE.iPSC-endoderm-day1-Unique",72,188,3682,7882,0.933040281726718,0.819866467926941,0.00053850296176629
"8","Shared in iPSCs & MSCs","Blake2018-DE.iPSC-endoderm-day1-Unique",1,259,11,11553,0.234281035223044,4.05414075594201,7.47920780230958e-06
"9","Shared in MSCs & Osteogenic","Blake2018-DE.iPSC-endoderm-day1-Unique",23,237,774,10790,0.109464462368312,1.35283575879582,0.00017202177945312
"10","Unique to iPSCs","Blake2018-DE.iPSC-endoderm-day1-Unique",52,208,2809,8755,0.954971703963743,0.779214591787791,0.000388918805720098
"11","Unique to MSCs","Blake2018-DE.iPSC-endoderm-day1-Unique",1,259,3,11561,0.0851082910663737,14.8592875001376,7.47920780230958e-06
"12","Unique to Osteogenic","Blake2018-DE.iPSC-endoderm-day1-Unique",0,260,0,11564,1,0,0
"13","Shared in All","Blake2018-DE.iPSC-endoderm-day2-Unique",71,219,3683,7851,0.997544171868308,0.691114747398609,0.00053102375396398
"14","Shared in iPSCs & MSCs","Blake2018-DE.iPSC-endoderm-day2-Unique",0,290,12,11522,1,0,0
"15","Shared in MSCs & Osteogenic","Blake2018-DE.iPSC-endoderm-day2-Unique",25,265,772,10762,0.122008454844735,1.31509418167407,0.000186980195057739
"16","Unique to iPSCs","Blake2018-DE.iPSC-endoderm-day2-Unique",64,226,2797,8737,0.82236990686074,0.884598974062211,0.000478669299347813
"17","Unique to MSCs","Blake2018-DE.iPSC-endoderm-day2-Unique",0,290,4,11530,1,0,0
"18","Unique to Osteogenic","Blake2018-DE.iPSC-endoderm-day2-Unique",0,290,0,11534,1,0,0
"19","Shared in All","Blake2018-DE.iPSC-endoderm-day3-Unique",204,575,3550,7495,0.999802373568895,0.749053939832559,0.00152575839167115
"20","Shared in iPSCs & MSCs","Blake2018-DE.iPSC-endoderm-day3-Unique",0,779,12,11033,1,0,0
"21","Shared in MSCs & Osteogenic","Blake2018-DE.iPSC-endoderm-day3-Unique",67,712,730,10315,0.0219503425919942,1.3296222976428,0.000501106922754742
"22","Unique to iPSCs","Blake2018-DE.iPSC-endoderm-day3-Unique",160,619,2701,8344,0.994565115641373,0.798531698997423,0.00119667324836953
"23","Unique to MSCs","Blake2018-DE.iPSC-endoderm-day3-Unique",0,779,4,11041,1,0,0
"24","Unique to Osteogenic","Blake2018-DE.iPSC-endoderm-day3-Unique",0,779,0,11045,1,0,0
"25","Shared in All","Blake2020-DE.heart-Unique",345,818,3409,7252,0.950227658401545,0.897211380172312,0.0025803266917968
"26","Shared in iPSCs & MSCs","Blake2020-DE.heart-Unique",2,1161,10,10651,0.333455656381264,1.83466258293255,1.49584156046192e-05
"27","Shared in MSCs & Osteogenic","Blake2020-DE.heart-Unique",86,1077,711,9950,0.189722433069095,1.11742589446096,0.000643211870998624
"28","Unique to iPSCs","Blake2020-DE.heart-Unique",286,877,2575,8086,0.382188367437664,1.02405301611857,0.00213905343146054
"29","Unique to MSCs","Blake2020-DE.heart-Unique",0,1163,4,10657,1,0,0
"30","Unique to Osteogenic","Blake2020-DE.heart-Unique",0,1163,0,10661,1,0,0
"31","Shared in All","Blake2020-DE.kidney-Unique",52,101,3702,7969,0.302014501552819,1.10826489558325,0.000388918805720098
"32","Shared in iPSCs & MSCs","Blake2020-DE.kidney-Unique",0,153,12,11659,1,0,0
"33","Shared in MSCs & Osteogenic","Blake2020-DE.kidney-Unique",10,143,787,10884,0.587148047399784,0.967116463509173,7.47920780230958e-05
"34","Unique to iPSCs","Blake2020-DE.kidney-Unique",47,106,2814,8857,0.0383498307596768,1.39553637931447,0.00035152276670855
"35","Unique to MSCs","Blake2020-DE.kidney-Unique",0,153,4,11667,1,0,0
"36","Unique to Osteogenic","Blake2020-DE.kidney-Unique",0,153,0,11671,1,0,0
"37","Shared in All","Blake2020-DE.liver-Unique",148,320,3606,7750,0.541546038974139,0.994003519031353,0.00110692275474182
"38","Shared in iPSCs & MSCs","Blake2020-DE.liver-Unique",1,467,11,11345,0.384211487152373,2.20828450716134,7.47920780230958e-06
"39","Shared in MSCs & Osteogenic","Blake2020-DE.liver-Unique",33,435,764,10592,0.419307709702642,1.05175406939175,0.000246813857476216
"40","Unique to iPSCs","Blake2020-DE.liver-Unique",124,344,2737,8619,0.129697052152211,1.13509697141127,0.000927421767486388
"41","Unique to MSCs","Blake2020-DE.liver-Unique",0,468,4,11352,1,0,0
"42","Unique to Osteogenic","Blake2020-DE.liver-Unique",0,468,0,11356,1,0,0
"43","Shared in All","Blake2020-DE.lung-Unique",65,125,3689,7945,0.254178712852905,1.11990665590182,0.000486148507150123
"44","Shared in iPSCs & MSCs","Blake2020-DE.lung-Unique",0,190,12,11622,1,0,0
"45","Shared in MSCs & Osteogenic","Blake2020-DE.lung-Unique",15,175,782,10852,0.299969242814351,1.18945770071923,0.000112188117034644
"46","Unique to iPSCs","Blake2020-DE.lung-Unique",44,146,2817,8817,0.659267718610836,0.943284630557944,0.000329085143301622
"47","Unique to MSCs","Blake2020-DE.lung-Unique",0,190,4,11630,1,0,0
"48","Unique to Osteogenic","Blake2020-DE.lung-Unique",0,190,0,11634,1,0,0
"49","Shared in All","Gokhman2021-DE.Parental.iPSCs-Unique",1519,3040,2235,5030,0.00198478763934054,1.12452503658749,0.0113609166517083
"50","Shared in iPSCs & MSCs","Gokhman2021-DE.Parental.iPSCs-Unique",5,4554,7,7258,0.520473847679335,1.13838608093876,3.73960390115479e-05
"51","Shared in MSCs & Osteogenic","Gokhman2021-DE.Parental.iPSCs-Unique",293,4266,504,6761,0.867791496751234,0.921347670725985,0.00219140788607671
"52","Unique to iPSCs","Gokhman2021-DE.Parental.iPSCs-Unique",1285,3274,1576,5689,8.80248001360826e-16,1.41669827135519,0.00961078202596781
"53","Unique to MSCs","Gokhman2021-DE.Parental.iPSCs-Unique",0,4559,4,7261,1,0,0
"54","Unique to Osteogenic","Gokhman2021-DE.Parental.iPSCs-Unique",0,4559,0,7265,1,0,0
"55","Shared in All","Gokhman2021-DE.Hybrid.iPSCs-Unique",909,1820,2845,6250,0.0245164634805565,1.09719969306785,0.00679859989229941
"56","Shared in iPSCs & MSCs","Gokhman2021-DE.Hybrid.iPSCs-Unique",2,2727,10,9085,0.802774546624201,0.66633123501421,1.49584156046192e-05
"57","Shared in MSCs & Osteogenic","Gokhman2021-DE.Hybrid.iPSCs-Unique",147,2582,650,8445,0.999570497676953,0.739718996265,0.00109944354693951
"58","Unique to iPSCs","Gokhman2021-DE.Hybrid.iPSCs-Unique",806,1923,2055,7040,1.58236324334255e-13,1.43582851456464,0.00602824148866152
"59","Unique to MSCs","Gokhman2021-DE.Hybrid.iPSCs-Unique",1,2728,3,9092,0.649984732545071,1.11095572534304,7.47920780230958e-06
"60","Unique to Osteogenic","Gokhman2021-DE.Hybrid.iPSCs-Unique",0,2729,0,9095,1,0,0
"61","Shared in All","Gokhman2021-DE.Parental.CNCCs-Unique",146,311,3608,7759,0.481069757281082,1.00955823990864,0.0010919643391372
"62","Shared in iPSCs & MSCs","Gokhman2021-DE.Parental.CNCCs-Unique",1,456,11,11356,0.377011914336224,2.2637894440477,7.47920780230958e-06
"63","Shared in MSCs & Osteogenic","Gokhman2021-DE.Parental.CNCCs-Unique",41,416,756,10611,0.0365123723764154,1.38327699774387,0.000306647519894693
"64","Unique to iPSCs","Gokhman2021-DE.Parental.CNCCs-Unique",82,375,2779,8588,0.99957672248333,0.675792225333595,0.000613295039789385
"65","Unique to MSCs","Gokhman2021-DE.Parental.CNCCs-Unique",1,456,3,11364,0.145883928549101,8.30400558175993,7.47920780230958e-06
"66","Unique to Osteogenic","Gokhman2021-DE.Parental.CNCCs-Unique",0,457,0,11367,1,0,0
"67","Shared in All","Gokhman2021-DE.Hybrid.CNCCs-Unique",337,749,3417,7321,0.713968022454672,0.96399347222371,0.00252049302937833
"68","Shared in iPSCs & MSCs","Gokhman2021-DE.Hybrid.CNCCs-Unique",1,1085,11,10727,0.68546976159074,0.898786139450206,7.47920780230958e-06
"69","Shared in MSCs & Osteogenic","Gokhman2021-DE.Hybrid.CNCCs-Unique",94,992,703,10035,0.00615461963539598,1.35258601892291,0.0007030455334171
"70","Unique to iPSCs","Gokhman2021-DE.Hybrid.CNCCs-Unique",214,872,2647,8091,0.999906436038345,0.750185399082689,0.00160055046969425
"71","Unique to MSCs","Gokhman2021-DE.Hybrid.CNCCs-Unique",0,1086,4,10734,1,0,0
"72","Unique to Osteogenic","Gokhman2021-DE.Hybrid.CNCCs-Unique",0,1086,0,10738,1,0,0
"73","Shared in All","Gokhman2020-DMR.bone",91,176,3663,7894,0.222083466253371,1.11425002975562,0.000680607910010172
"74","Shared in iPSCs & MSCs","Gokhman2020-DMR.bone",0,267,12,11545,1,0,0
"75","Shared in MSCs & Osteogenic","Gokhman2020-DMR.bone",26,241,771,10786,0.0371767572281607,1.50917810225403,0.000194459402860049
"76","Unique to iPSCs","Gokhman2020-DMR.bone",63,204,2798,8759,0.615354124716433,0.966742511612474,0.000471190091545504
"77","Unique to MSCs","Gokhman2020-DMR.bone",0,267,4,11553,1,0,0
"78","Unique to Osteogenic","Gokhman2020-DMR.bone",0,267,0,11557,1,0,0
"79","Shared in All","Hsu2019-GWAS.hip.geometry",2,5,3752,8065,0.706451482013331,0.859825892240734,1.49584156046192e-05
"80","Shared in iPSCs & MSCs","Hsu2019-GWAS.hip.geometry",0,7,12,11805,1,0,0
"81","Shared in MSCs & Osteogenic","Hsu2019-GWAS.hip.geometry",0,7,797,11020,1,0,0
"82","Unique to iPSCs","Hsu2019-GWAS.hip.geometry",0,7,2861,8956,1,0,0
"83","Unique to MSCs","Hsu2019-GWAS.hip.geometry",0,7,4,11813,1,0,0
"84","Unique to Osteogenic","Hsu2019-GWAS.hip.geometry",0,7,0,11817,1,0,0
"85","Shared in All","Styrkarsdottir2019-GWAS.bone.area",3,6,3751,8064,0.583047732772225,1.07490481619194,2.24376234069287e-05
"86","Shared in iPSCs & MSCs","Styrkarsdottir2019-GWAS.bone.area",0,9,12,11803,1,0,0
"87","Shared in MSCs & Osteogenic","Styrkarsdottir2019-GWAS.bone.area",1,8,796,11019,0.466491965911858,1.7302634420832,7.47920780230958e-06
"88","Unique to iPSCs","Styrkarsdottir2019-GWAS.bone.area",3,6,2858,8957,0.376803318521497,1.56693791828826,2.24376234069287e-05
"89","Unique to MSCs","Styrkarsdottir2019-GWAS.bone.area",0,9,4,11811,1,0,0
"90","Unique to Osteogenic","Styrkarsdottir2019-GWAS.bone.area",0,9,0,11815,1,0,0
"91","Shared in All","Yengo2018-GWAS.height",344,798,3410,7272,0.899340852507246,0.919294072894163,0.0025728474839945
"92","Shared in iPSCs & MSCs","Yengo2018-GWAS.height",0,1142,12,10670,1,0,0
"93","Shared in MSCs & Osteogenic","Yengo2018-GWAS.height",78,1064,719,9963,0.468376003078652,1.01581402045608,0.000583378208580147
"94","Unique to iPSCs","Yengo2018-GWAS.height",316,826,2545,8137,0.00244202316394161,1.22317282591305,0.00236342966552983
"95","Unique to MSCs","Yengo2018-GWAS.height",0,1142,4,10678,1,0,0
"96","Unique to Osteogenic","Yengo2018-GWAS.height",0,1142,0,10682,1,0,0
"97","Shared in All","Steinberg2020-GWAS.OA",112,249,3642,7821,0.63748884208874,0.965943726675287,0.000837671273858673
"98","Shared in iPSCs & MSCs","Steinberg2020-GWAS.OA",1,360,11,11452,0.310824131284257,2.8914550144421,7.47920780230958e-06
"99","Shared in MSCs & Osteogenic","Steinberg2020-GWAS.OA",24,337,773,10690,0.559363720208025,0.984872568759224,0.00017950098725543
"100","Unique to iPSCs","Steinberg2020-GWAS.OA",81,280,2780,8683,0.802948597248992,0.903558016271979,0.000605815831987076
"101","Unique to MSCs","Steinberg2020-GWAS.OA",0,361,4,11459,1,0,0
"102","Unique to Osteogenic","Steinberg2020-GWAS.OA",0,361,0,11463,1,0,0
"103","Shared in All","Morris2020-GWAS.OP",165,351,3589,7719,0.471842620526811,1.01103003259414,0.00123406928738108
"104","Shared in iPSCs & MSCs","Morris2020-GWAS.OP",1,515,11,11297,0.414744028907651,1.99401830907117,7.47920780230958e-06
"105","Shared in MSCs & Osteogenic","Morris2020-GWAS.OP",38,478,759,10549,0.306412589040938,1.10487121148938,0.000284209896487764
"106","Unique to iPSCs","Morris2020-GWAS.OP",119,397,2742,8566,0.746415732924971,0.936417649441056,0.00089002572847484
"107","Unique to MSCs","Morris2020-GWAS.OP",0,516,4,11304,1,0,0
"108","Unique to Osteogenic","Morris2020-GWAS.OP",0,516,0,11308,1,0,0
