"","Source.DEGenes","Source.GenesOfInterest","DE.Interest","NonDE.Interest","DE.NotInterest","NonDE.NotInterest","p.value","odds.ratio","GeneRatio"
"1","Shared in All","Blake2018-DE.iPSCs-Unique",89,277,2240,8136,0.119694495436815,1.16702768054774,0.000735999470741954
"2","Shared in iPSC.c1 & MSC.c1","Blake2018-DE.iPSCs-Unique",32,334,623,9753,0.0249268186959067,1.49979049593835,0.000264629023188118
"3","Shared in MSC.c1 & Osteo.c1","Blake2018-DE.iPSCs-Unique",31,335,1222,9154,0.981751860944058,0.693218271568162,0.000256359366213489
"4","Unique to iPSC.c1","Blake2018-DE.iPSCs-Unique",105,261,2077,8299,6.28080559923866e-05,1.60737023889054,0.000868313982336013
"5","Unique to MSC.c1","Blake2018-DE.iPSCs-Unique",9,357,289,10087,0.691567738482667,0.879918427419503,7.44269127716582e-05
"6","Unique to Osteo.c1","Blake2018-DE.iPSCs-Unique",0,366,1,10375,1,0,0
"7","Shared in All","Blake2018-DE.iPSC-endoderm-day1-Unique",39,212,2290,8201,0.994639326149925,0.658844042208528,0.000322516622010519
"8","Shared in iPSC.c1 & MSC.c1","Blake2018-DE.iPSC-endoderm-day1-Unique",14,237,641,9850,0.674492247826642,0.907737115827516,0.000115775197644802
"9","Shared in MSC.c1 & Osteo.c1","Blake2018-DE.iPSC-endoderm-day1-Unique",38,213,1215,9276,0.0546895845123182,1.36198836384398,0.00031424696503589
"10","Unique to iPSC.c1","Blake2018-DE.iPSC-endoderm-day1-Unique",39,212,2143,8348,0.97895640710848,0.716645981443311,0.000322516622010519
"11","Unique to MSC.c1","Blake2018-DE.iPSC-endoderm-day1-Unique",13,238,285,10206,0.0228082658271074,1.95587539438599,0.000107505540670173
"12","Unique to Osteo.c1","Blake2018-DE.iPSC-endoderm-day1-Unique",0,251,1,10490,1,0,0
"13","Shared in All","Blake2018-DE.iPSC-endoderm-day2-Unique",36,245,2293,8168,0.99996032405704,0.523463516974627,0.000297707651086633
"14","Shared in iPSC.c1 & MSC.c1","Blake2018-DE.iPSC-endoderm-day2-Unique",18,263,637,9824,0.449363980358078,1.05553335519222,0.000148853825543316
"15","Shared in MSC.c1 & Osteo.c1","Blake2018-DE.iPSC-endoderm-day2-Unique",37,244,1216,9245,0.238010068959555,1.15284778400173,0.000305977308061262
"16","Unique to iPSC.c1","Blake2018-DE.iPSC-endoderm-day2-Unique",55,226,2127,8334,0.646293303615013,0.953526736519619,0.000454831133604578
"17","Unique to MSC.c1","Blake2018-DE.iPSC-endoderm-day2-Unique",8,273,290,10171,0.521207547138047,1.02776795265617,6.61572557970295e-05
"18","Unique to Osteo.c1","Blake2018-DE.iPSC-endoderm-day2-Unique",0,281,1,10460,1,0,0
"19","Shared in All","Blake2018-DE.iPSC-endoderm-day3-Unique",118,621,2211,7792,0.999977495505745,0.669697713187679,0.000975819523006186
"20","Shared in iPSC.c1 & MSC.c1","Blake2018-DE.iPSC-endoderm-day3-Unique",42,697,613,9390,0.710028589896588,0.923041433514541,0.000347325592934405
"21","Shared in MSC.c1 & Osteo.c1","Blake2018-DE.iPSC-endoderm-day3-Unique",110,629,1143,8860,0.00357694403464083,1.35554908870433,0.000909662267209156
"22","Unique to iPSC.c1","Blake2018-DE.iPSC-endoderm-day3-Unique",127,612,2055,7948,0.98847276008417,0.802618644551347,0.00105024643577784
"23","Unique to MSC.c1","Blake2018-DE.iPSC-endoderm-day3-Unique",27,712,271,9732,0.0856680111347317,1.36175869902405,0.000223280738314975
"24","Unique to Osteo.c1","Blake2018-DE.iPSC-endoderm-day3-Unique",0,739,1,10002,1,0,0
"25","Shared in All","Blake2020-DE.heart-Unique",216,895,2113,7518,0.975499056680305,0.858699869563561,0.0017862459065198
"26","Shared in iPSC.c1 & MSC.c1","Blake2020-DE.heart-Unique",81,1030,574,9057,0.0481262664674454,1.24081816600099,0.000669842214944924
"27","Shared in MSC.c1 & Osteo.c1","Blake2020-DE.heart-Unique",128,983,1125,8506,0.578055021455477,0.984530701420627,0.00105851609275247
"28","Unique to iPSC.c1","Blake2020-DE.heart-Unique",230,881,1952,7679,0.379490595261784,1.02701388389081,0.0019020211041646
"29","Unique to MSC.c1","Blake2020-DE.heart-Unique",34,1077,264,9367,0.296531334860764,1.12006891749556,0.000281168337137376
"30","Unique to Osteo.c1","Blake2020-DE.heart-Unique",0,1111,1,9630,1,0,0
"31","Shared in All","Blake2020-DE.kidney-Unique",44,98,2285,8315,0.00592685391695888,1.63372813177763,0.000363864906883662
"32","Shared in iPSC.c1 & MSC.c1","Blake2020-DE.kidney-Unique",5,137,650,9950,0.939356471648993,0.558675777458859,4.13482848731435e-05
"33","Shared in MSC.c1 & Osteo.c1","Blake2020-DE.kidney-Unique",14,128,1239,9361,0.786667710251766,0.82639179250154,0.000115775197644802
"34","Unique to iPSC.c1","Blake2020-DE.kidney-Unique",42,100,2140,8460,0.00527652948326389,1.66028074709646,0.000347325592934405
