"","x"
"1","CFH"
"2","NFYA"
"3","KRIT1"
"4","RAD52"
"5","LAP3"
"6","M6PR"
"7","TFPI"
"8","SLC7A2"
"9","PLXND1"
"10","CD38"
"11","FKBP4"
"12","SKAP2"
"13","MCUB"
"14","THSD7A"
"15","PRKAR2B"
"16","CROT"
"17","ITGA3"
"18","TNFRSF12A"
"19","AGK"
"20","PHTF2"
"21","GGCT"
"22","IFRD1"
"23","VPS41"
"24","PNPLA4"
"25","ADIPOR2"
"26","CDKL3"
"27","GAS7"
"28","TRAPPC6A"
"29","TSR3"
"30","PIGQ"
"31","MYLIP"
"32","JARID2"
"33","CDKL5"
"34","CYB561"
"35","MPND"
"36","MGST1"
"37","ST3GAL1"
"38","IL32"
"39","EEF1AKNMT"
"40","ZNF207"
"41","UQCRC1"
"42","CD9"
"43","NCAPD2"
"44","FUZ"
"45","SCMH1"
"46","APBA3"
"47","MKS1"
"48","ABHD5"
"49","DCN"
"50","PPP5C"
"51","MAN2B2"
"52","PGM3"
"53","DDX11"
"54","COX15"
"55","BID"
"56","RGPD5"
"57","WWTR1"
"58","CXorf56"
"59","HGF"
"60","SERPINB1"
"61","AQR"
"62","FHL1"
"63","RB1CC1"
"64","GLRX2"
"65","SNAPC1"
"66","EHD2"
"67","SEC63"
"68","RNASET2"
"69","KCNG1"
"70","POU2F2"
"71","HMGB3"
"72","EIPR1"
"73","UBA6"
"74","GAB2"
"75","SLC4A7"
"76","APBA2"
"77","SH3YL1"
"78","METTL1"
"79","MAT2B"
"80","TRIO"
"81","VCAN"
"82","ZFYVE16"
"83","RAI14"
"84","STAU2"
"85","SLC66A1"
"86","CTNS"
"87","LSG1"
"88","PARP3"
"89","SPATA7"
"90","MED17"
"91","JADE2"
"92","CTNNA1"
"93","CNTLN"
"94","GEMIN8"
"95","YTHDC2"
"96","WWC3"
"97","ARHGAP6"
"98","USP28"
"99","HDAC9"
"100","CC2D2A"
"101","VPS13D"
"102","CELF2"
"103","ADAMTS6"
"104","VAMP3"
"105","CLPTM1L"
"106","PPP1R3F"
"107","PTCD2"
"108","DKK3"
"109","NFE2L3"
"110","MCUR1"
"111","LETMD1"
"112","HERPUD1"
"113","RAD51"
"114","THOC3"
"115","HEBP2"
"116","MSMO1"
"117","AKR7A2"
"118","USE1"
"119","ANAPC4"
"120","PHPT1"
"121","SDCCAG8"
"122","HHAT"
"123","FOXC1"
"124","TBC1D22A"
"125","SYNE2"
"126","FAM168A"
"127","CUL1"
"128","CYFIP2"
"129","USP36"
"130","KMT2C"
"131","DCBLD2"
"132","SOAT1"
"133","PRDM1"
"134","CROCC"
"135","RIOK2"
"136","TARBP1"
"137","OGFR"
"138","SNRNP40"
"139","MPC1"
"140","BCAT1"
"141","LZTS1"
"142","CS"
"143","APPBP2"
