"","x"
"1","SCYL3"
"2","CFH"
"3","NFYA"
"4","KRIT1"
"5","RAD52"
"6","LAP3"
"7","M6PR"
"8","TFPI"
"9","SLC7A2"
"10","PLXND1"
"11","CD38"
"12","FKBP4"
"13","UPF1"
"14","SKAP2"
"15","POLR2J"
"16","THSD7A"
"17","PRKAR2B"
"18","ITGA3"
"19","TNFRSF12A"
"20","AGK"
"21","PHTF2"
"22","GGCT"
"23","IFRD1"
"24","VPS41"
"25","ARHGAP44"
"26","PNPLA4"
"27","CDKL3"
"28","GAS7"
"29","TRAPPC6A"
"30","TSR3"
"31","PIGQ"
"32","MYLIP"
"33","SYN1"
"34","JARID2"
"35","CDKL5"
"36","CYB561"
"37","MPND"
"38","MGST1"
"39","ST3GAL1"
"40","IL32"
"41","FAM76A"
"42","EEF1AKNMT"
"43","ZNF207"
"44","UQCRC1"
"45","CD9"
"46","FUZ"
"47","SCMH1"
"48","APBA3"
"49","MKS1"
"50","ABHD5"
"51","ANOS1"
"52","MBTD1"
"53","PLAUR"
"54","WIZ"
"55","DCN"
"56","PPP5C"
"57","PRICKLE3"
"58","EHD3"
"59","MAN2B2"
"60","PGM3"
"61","COX15"
"62","YAF2"
"63","BID"
"64","WWTR1"
"65","CXorf56"
"66","HGF"
"67","SERPINB1"
"68","AQR"
"69","FHL1"
"70","RTF2"
"71","RB1CC1"
"72","GLRX2"
"73","SNAPC1"
"74","STRAP"
"75","EHD2"
"76","SEC63"
"77","RNASET2"
"78","KCNG1"
"79","AGPAT4"
"80","VEZT"
"81","POU2F2"
"82","ARNTL2"
"83","HMGB3"
"84","ARHGAP31"
"85","EIPR1"
"86","UBA6"
"87","GAB2"
"88","ATP6V0A1"
"89","PIAS1"
"90","SLC4A7"
"91","APBA2"
"92","SH3YL1"
"93","METTL1"
"94","MAT2B"
"95","TRIO"
"96","VCAN"
"97","ZFYVE16"
"98","RAI14"
"99","STAU2"
"100","SLC66A1"
"101","CTNS"
"102","RAB27B"
"103","LSG1"
"104","PARP3"
"105","SPATA7"
"106","MED17"
"107","CAPG"
"108","AP2S1"
"109","JADE2"
"110","CTNNA1"
"111","CNTLN"
"112","GEMIN8"
"113","GPM6B"
"114","YTHDC2"
"115","CTPS2"
"116","WWC3"
"117","ARHGAP6"
"118","USP28"
"119","HDAC9"
"120","CC2D2A"
"121","VPS13D"
"122","CELF2"
"123","ADAMTS6"
"124","VAMP3"
"125","LTBP1"
"126","CLPTM1L"
"127","PPP1R3F"
"128","PTCD2"
"129","DKK3"
"130","NFE2L3"
"131","MCUR1"
"132","LIMA1"
"133","LETMD1"
"134","SLC4A8"
"135","HERPUD1"
"136","RAD51"
"137","THOC3"
"138","HEBP2"
"139","MSMO1"
"140","AKR7A2"
"141","USE1"
"142","LAMA3"
"143","ANAPC4"
"144","PHPT1"
"145","SDCCAG8"
"146","HHAT"
"147","FOXC1"
"148","TBC1D22A"
"149","SYNE2"
"150","FAM168A"
"151","CUL1"
"152","CYFIP2"
"153","USP36"
"154","KMT2C"
"155","DCBLD2"
"156","SOAT1"
"157","LAMC2"
"158","CROCC"
"159","POLR3E"
"160","RIOK2"
"161","PARP12"
"162","TARBP1"
"163","OGFR"
"164","SNRNP40"
"165","COL11A1"
"166","MPC1"
"167","BCAT1"
"168","HDAC7"
"169","LZTS1"
"170","APPBP2"
"171","EIF4B"
"172","BICRA"
"173","CA11"
"174","ISOC2"
"175","U2AF2"
"176","MED29"
"177","GPC1"
"178","ADCK1"
"179","SPA17"
