"","Source.DEGenes","Source.GenesOfInterest","DE.Interest","NonDE.Interest","DE.NotInterest","NonDE.NotInterest","p.value","odds.ratio","GeneRatio"
"1","Shared in All","Blake2018-DE.iPSCs-Unique",100,254,2726,7742,0.19197302595099,1.1181099396237,0.0353857041755131
"2","Shared in
Pre/Obl/Emb/Min","Blake2018-DE.iPSCs-Unique",0,354,28,10440,1,0,0
"3","Shared in
Obl/Emb/Min/Mat","Blake2018-DE.iPSCs-Unique",0,354,0,10468,1,0,NA
"4","Shared in Emb/Min","Blake2018-DE.iPSCs-Unique",0,354,1,10467,1,0,0
"5","Unique to
Mineralizing Osteoblasts","Blake2018-DE.iPSCs-Unique",2,352,34,10434,0.330402593629262,1.74352902394601,0.0555555555555556
"6","Shared in All","Blake2018-DE.iPSCs-Unique",100,254,2726,7742,0.19197302595099,1.1181099396237,0.0353857041755131
"7","All Preostoblasts","Blake2018-DE.iPSCs-Unique",100,254,2757,7711,0.228126450252113,1.10111664844736,0.0350017500875044
"8","All Osteoblasts","Blake2018-DE.iPSCs-Unique",100,254,2757,7711,0.228126450252113,1.10111664844736,0.0350017500875044
"9","All Embedding Osteoblasts","Blake2018-DE.iPSCs-Unique",100,254,2756,7712,0.226906345320756,1.10165886973581,0.0350140056022409
"10","All Mineralizing Osteoblasts","Blake2018-DE.iPSCs-Unique",102,252,2794,7674,0.203546365073304,1.11169852614057,0.0352209944751381
"11","All Maturing Osteocytes","Blake2018-DE.iPSCs-Unique",100,254,2727,7741,0.193084198023594,1.11755575696598,0.0353731871241599
"12","Shared in All","Blake2018-DE.iPSC-endoderm-day1-Unique",63,183,2763,7813,0.596690030437248,0.973467468124891,0.0222929936305732
"13","Shared in
Pre/Obl/Emb/Min","Blake2018-DE.iPSC-endoderm-day1-Unique",1,245,27,10549,0.475148912030377,1.59460211769082,0.0357142857142857
"14","Shared in
Obl/Emb/Min/Mat","Blake2018-DE.iPSC-endoderm-day1-Unique",0,246,0,10576,1,0,NA
"15","Shared in Emb/Min","Blake2018-DE.iPSC-endoderm-day1-Unique",0,246,1,10575,1,0,0
"16","Unique to
Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",2,244,34,10542,0.196909983344296,2.54111564608049,0.0555555555555556
"17","Shared in All","Blake2018-DE.iPSC-endoderm-day1-Unique",63,183,2763,7813,0.596690030437248,0.973467468124891,0.0222929936305732
"18","All Preostoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",64,182,2793,7783,0.579508391470154,0.979900363828869,0.0224011200560028
"19","All Osteoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",64,182,2793,7783,0.579508391470154,0.979900363828869,0.0224011200560028
"20","All Embedding Osteoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",64,182,2792,7784,0.578209130225015,0.980377620526361,0.0224089635854342
"21","All Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",66,180,2830,7746,0.514889307065524,1.00360392778644,0.0227900552486188
"22","All Maturing Osteocytes","Blake2018-DE.iPSC-endoderm-day1-Unique",63,183,2764,7812,0.597979218587059,0.972990262606209,0.0222851078882207
"23","Shared in All","Blake2018-DE.iPSC-endoderm-day2-Unique",58,215,2768,7781,0.974808191208635,0.758362996395563,0.0205237084217976
"24","Shared in
Pre/Obl/Emb/Min","Blake2018-DE.iPSC-endoderm-day2-Unique",0,273,28,10521,1,0,0
"25","Shared in
Obl/Emb/Min/Mat","Blake2018-DE.iPSC-endoderm-day2-Unique",0,273,0,10549,1,0,NA
"26","Shared in Emb/Min","Blake2018-DE.iPSC-endoderm-day2-Unique",0,273,1,10548,1,0,0
"27","Unique to
Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",1,272,35,10514,0.602003073968977,1.10440046499573,0.0277777777777778
"28","Shared in All","Blake2018-DE.iPSC-endoderm-day2-Unique",58,215,2768,7781,0.974808191208635,0.758362996395563,0.0205237084217976
"29","All Preostoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",58,215,2799,7750,0.980449263486239,0.746979535475354,0.0203010150507525
"30","All Osteoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",58,215,2799,7750,0.980449263486239,0.746979535475354,0.0203010150507525
"31","All Embedding Osteoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",58,215,2798,7751,0.980285996109666,0.747342801943003,0.0203081232492997
"32","All Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",59,214,2837,7712,0.979860287752727,0.749491251984659,0.0203729281767956
"33","All Maturing Osteocytes","Blake2018-DE.iPSC-endoderm-day2-Unique",58,215,2769,7780,0.975009890576345,0.757991804857084,0.0205164485320127
"34","Shared in All","Blake2018-DE.iPSC-endoderm-day3-Unique",171,539,2655,7457,0.906958238514885,0.891071757271495,0.0605095541401274
"35","Shared in
Pre/Obl/Emb/Min","Blake2018-DE.iPSC-endoderm-day3-Unique",1,709,27,10085,0.850803062920338,0.526827425407884,0.0357142857142857
"36","Shared in
Obl/Emb/Min/Mat","Blake2018-DE.iPSC-endoderm-day3-Unique",0,710,0,10112,1,0,NA
"37","Shared in Emb/Min","Blake2018-DE.iPSC-endoderm-day3-Unique",0,710,1,10111,1,0,0
"38","Unique to
Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",2,708,34,10078,0.693906707026561,0.837328166446669,0.0555555555555556
"39","Shared in All","Blake2018-DE.iPSC-endoderm-day3-Unique",171,539,2655,7457,0.906958238514885,0.891071757271495,0.0605095541401274
"40","All Preostoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",172,538,2685,7427,0.92074802057422,0.884344768322189,0.0602030101505075
"41","All Osteoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",172,538,2685,7427,0.92074802057422,0.884344768322189,0.0602030101505075
"42","All Embedding Osteoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",172,538,2684,7428,0.919900342176353,0.884793293152384,0.0602240896358543
"43","All Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",174,536,2722,7390,0.926985929135047,0.881348004807014,0.0600828729281768
"44","All Maturing Osteocytes","Blake2018-DE.iPSC-endoderm-day3-Unique",171,539,2656,7456,0.907910273939586,0.890616887968685,0.0604881499823134
"45","Shared in All","Blake2020-DE.heart-Unique",254,869,2572,7127,0.998060520889271,0.809966146049074,0.0898796886058033
"46","Shared in
Pre/Obl/Emb/Min","Blake2020-DE.heart-Unique",1,1122,27,9672,0.953656963453743,0.319292697618588,0.0357142857142857
"47","Shared in
Obl/Emb/Min/Mat","Blake2020-DE.heart-Unique",0,1123,0,9699,1,0,NA
"48","Shared in Emb/Min","Blake2020-DE.heart-Unique",0,1123,1,9698,1,0,0
"49","Unique to
Mineralizing Osteoblasts","Blake2020-DE.heart-Unique",4,1119,32,9667,0.521880598090776,1.07989294812168,0.111111111111111
"50","Shared in All","Blake2020-DE.heart-Unique",254,869,2572,7127,0.998060520889271,0.809966146049074,0.0898796886058033
"51","All Preostoblasts","Blake2020-DE.heart-Unique",256,867,2601,7098,0.998494143047771,0.805814052585222,0.0896044802240112
"52","All Osteoblasts","Blake2020-DE.heart-Unique",256,867,2601,7098,0.998494143047771,0.805814052585222,0.0896044802240112
"53","All Embedding Osteoblasts","Blake2020-DE.heart-Unique",256,867,2600,7099,0.998458094712923,0.806237371403335,0.0896358543417367
"54","All Mineralizing Osteoblasts","Blake2020-DE.heart-Unique",261,862,2635,7064,0.998030713044019,0.811747534120692,0.0901243093922652
"55","All Maturing Osteocytes","Blake2020-DE.heart-Unique",254,869,2573,7126,0.99810510913978,0.80953791956262,0.0898478952953661
"56","Shared in All","Blake2020-DE.kidney-Unique",45,100,2781,7896,0.104670343916283,1.27764928704402,0.0159235668789809
"57","Shared in
Pre/Obl/Emb/Min","Blake2020-DE.kidney-Unique",1,144,27,10650,0.314887950232459,2.73865758510871,0.0357142857142857
"58","Shared in
Obl/Emb/Min/Mat","Blake2020-DE.kidney-Unique",0,145,0,10677,1,0,NA
"59","Shared in Emb/Min","Blake2020-DE.kidney-Unique",0,145,1,10676,1,0,0
"60","Unique to
Mineralizing Osteoblasts","Blake2020-DE.kidney-Unique",0,145,36,10641,1,0,0
"61","Shared in All","Blake2020-DE.kidney-Unique",45,100,2781,7896,0.104670343916283,1.27764928704402,0.0159235668789809
"62","All Preostoblasts","Blake2020-DE.kidney-Unique",46,99,2811,7866,0.087176198230074,1.30018519893418,0.016100805040252
"63","All Osteoblasts","Blake2020-DE.kidney-Unique",46,99,2811,7866,0.087176198230074,1.30018519893418,0.016100805040252
"64","All Embedding Osteoblasts","Blake2020-DE.kidney-Unique",46,99,2810,7867,0.0867653334149349,1.30081276432273,0.0161064425770308
"65","All Mineralizing Osteoblasts","Blake2020-DE.kidney-Unique",46,99,2850,7827,0.104297064549168,1.2760527203171,0.0158839779005525
"66","All Maturing Osteocytes","Blake2020-DE.kidney-Unique",45,100,2782,7895,0.10514307185661,1.27702875147301,0.0159179342058719
"67","Shared in All","Blake2020-DE.liver-Unique",120,319,2706,7677,0.292874314096516,1.06721991941652,0.0424628450106157
"68","Shared in
Pre/Obl/Emb/Min","Blake2020-DE.liver-Unique",0,439,28,10355,1,0,0
"69","Shared in
Obl/Emb/Min/Mat","Blake2020-DE.liver-Unique",0,439,0,10383,1,0,NA
"70","Shared in Emb/Min","Blake2020-DE.liver-Unique",0,439,1,10382,1,0,0
"71","Unique to
Mineralizing Osteoblasts","Blake2020-DE.liver-Unique",1,438,35,10348,0.775363495832177,0.675032963596117,0.0277777777777778
"72","Shared in All","Blake2020-DE.liver-Unique",120,319,2706,7677,0.292874314096516,1.06721991941652,0.0424628450106157
"73","All Preostoblasts","Blake2020-DE.liver-Unique",120,319,2737,7646,0.342709984110815,1.05087106542401,0.0420021001050052
"74","All Osteoblasts","Blake2020-DE.liver-Unique",120,319,2737,7646,0.342709984110815,1.05087106542401,0.0420021001050052
"75","All Embedding Osteoblasts","Blake2020-DE.liver-Unique",120,319,2736,7647,0.341056440184544,1.05139265896178,0.0420168067226891
"76","All Mineralizing Osteoblasts","Blake2020-DE.liver-Unique",121,318,2775,7608,0.367098009195681,1.04319396903059,0.0417817679558011
"77","All Maturing Osteocytes","Blake2020-DE.liver-Unique",120,319,2707,7676,0.294432096199417,1.06668668657087,0.0424478245489919
"78","Shared in All","Blake2020-DE.lung-Unique",54,127,2772,7869,0.143980984212829,1.20704494511885,0.0191082802547771
"79","Shared in
Pre/Obl/Emb/Min","Blake2020-DE.lung-Unique",1,180,27,10614,0.376783257144943,2.18377092507482,0.0357142857142857
"80","Shared in
Obl/Emb/Min/Mat","Blake2020-DE.lung-Unique",0,181,0,10641,1,0,NA
"81","Shared in Emb/Min","Blake2020-DE.lung-Unique",0,181,1,10640,1,0,0
"82","Unique to
Mineralizing Osteoblasts","Blake2020-DE.lung-Unique",1,180,35,10606,0.455665458392292,1.68337873127951,0.0277777777777778
"83","Shared in All","Blake2020-DE.lung-Unique",54,127,2772,7869,0.143980984212829,1.20704494511885,0.0191082802547771
"84","All Preostoblasts","Blake2020-DE.lung-Unique",55,126,2802,7839,0.127408691880084,1.22120828770703,0.0192509625481274
"85","All Osteoblasts","Blake2020-DE.lung-Unique",55,126,2802,7839,0.127408691880084,1.22120828770703,0.0192509625481274
"86","All Embedding Osteoblasts","Blake2020-DE.lung-Unique",55,126,2801,7840,0.126806641421015,1.22179975574207,0.0192577030812325
"87","All Mineralizing Osteoblasts","Blake2020-DE.lung-Unique",56,125,2840,7801,0.116772579814756,1.23059204434101,0.0193370165745856
"88","All Maturing Osteocytes","Blake2020-DE.lung-Unique",54,127,2773,7868,0.144639481055332,1.20645667182932,0.0191015210470463
"89","Shared in All","Gokhman2021-DE.Parental.iPSCs-Unique",1097,3056,1729,4940,0.294275076603737,1.02562793067593,0.388181174805379
"90","Shared in
Pre/Obl/Emb/Min","Gokhman2021-DE.Parental.iPSCs-Unique",9,4144,19,6650,0.80764915086403,0.760153784962048,0.321428571428571
"91","Shared in
Obl/Emb/Min/Mat","Gokhman2021-DE.Parental.iPSCs-Unique",0,4153,0,6669,1,0,NA
"92","Shared in Emb/Min","Gokhman2021-DE.Parental.iPSCs-Unique",1,4152,0,6669,0.383755313250785,Inf,1
"93","Unique to
Mineralizing Osteoblasts","Gokhman2021-DE.Parental.iPSCs-Unique",15,4138,21,6648,0.402384467433108,1.14753277665544,0.416666666666667
"94","Shared in All","Gokhman2021-DE.Parental.iPSCs-Unique",1097,3056,1729,4940,0.294275076603737,1.02562793067593,0.388181174805379
"95","All Preostoblasts","Gokhman2021-DE.Parental.iPSCs-Unique",1107,3046,1750,4919,0.324891625356438,1.02155006700269,0.387469373468673
"96","All Osteoblasts","Gokhman2021-DE.Parental.iPSCs-Unique",1106,3047,1751,4918,0.341177507132196,1.01950083077838,0.387119355967798
"97","All Embedding Osteoblasts","Gokhman2021-DE.Parental.iPSCs-Unique",1107,3046,1749,4920,0.318708859283149,1.0223425493396,0.387605042016807
"98","All Mineralizing Osteoblasts","Gokhman2021-DE.Parental.iPSCs-Unique",1123,3030,1773,4896,0.309168778958885,1.02346642676378,0.387776243093923
"99","All Maturing Osteocytes","Gokhman2021-DE.Parental.iPSCs-Unique",1098,3055,1729,4940,0.284820803195867,1.02690007853819,0.388397594623276
"100","Shared in All","Gokhman2021-DE.Hybrid.iPSCs-Unique",643,1806,2183,6190,0.437177364073264,1.00955803524743,0.227530077848549
"101","Shared in
Pre/Obl/Emb/Min","Gokhman2021-DE.Hybrid.iPSCs-Unique",5,2444,23,8350,0.792959445848782,0.74274851886107,0.178571428571429
"102","Shared in
Obl/Emb/Min/Mat","Gokhman2021-DE.Hybrid.iPSCs-Unique",0,2449,0,8373,1,0,NA
"103","Shared in Emb/Min","Gokhman2021-DE.Hybrid.iPSCs-Unique",0,2449,1,8372,1,0,0
"104","Unique to
Mineralizing Osteoblasts","Gokhman2021-DE.Hybrid.iPSCs-Unique",8,2441,28,8345,0.588112924402175,0.976761890209565,0.222222222222222
"105","Shared in All","Gokhman2021-DE.Hybrid.iPSCs-Unique",643,1806,2183,6190,0.437177364073264,1.00955803524743,0.227530077848549
"106","All Preostoblasts","Gokhman2021-DE.Hybrid.iPSCs-Unique",648,1801,2209,6164,0.479036253281695,1.00398752070399,0.226811340567028
"107","All Osteoblasts","Gokhman2021-DE.Hybrid.iPSCs-Unique",648,1801,2209,6164,0.479036253281695,1.00398752070399,0.226811340567028
"108","All Embedding Osteoblasts","Gokhman2021-DE.Hybrid.iPSCs-Unique",648,1801,2208,6165,0.474337329281955,1.00460532632181,0.226890756302521
"109","All Mineralizing Osteoblasts","Gokhman2021-DE.Hybrid.iPSCs-Unique",656,1793,2240,6133,0.496220146417224,1.00172491672278,0.226519337016575
"110","All Maturing Osteocytes","Gokhman2021-DE.Hybrid.iPSCs-Unique",643,1806,2184,6189,0.44184821608845,1.00893237458983,0.227449593208348
"111","Shared in All","Gokhman2021-DE.Parental.CNCCs-Unique",121,284,2705,7712,0.046005505807397,1.21471148871502,0.0428167020523708
"112","Shared in
Pre/Obl/Emb/Min","Gokhman2021-DE.Parental.CNCCs-Unique",3,402,25,10392,0.0855149721579257,3.1015032042887,0.107142857142857
"113","Shared in
Obl/Emb/Min/Mat","Gokhman2021-DE.Parental.CNCCs-Unique",0,405,0,10417,1,0,NA
"114","Shared in Emb/Min","Gokhman2021-DE.Parental.CNCCs-Unique",0,405,1,10416,1,0,0
"115","Unique to
Mineralizing Osteoblasts","Gokhman2021-DE.Parental.CNCCs-Unique",1,404,35,10382,0.747256671071916,0.734244931855362,0.0277777777777778
"116","Shared in All","Gokhman2021-DE.Parental.CNCCs-Unique",121,284,2705,7712,0.046005505807397,1.21471148871502,0.0428167020523708
"117","All Preostoblasts","Gokhman2021-DE.Parental.CNCCs-Unique",124,281,2733,7684,0.0297157910853056,1.24069575666745,0.0434021701085054
"118","All Osteoblasts","Gokhman2021-DE.Parental.CNCCs-Unique",124,281,2733,7684,0.0297157910853056,1.24069575666745,0.0434021701085054
"119","All Embedding Osteoblasts","Gokhman2021-DE.Parental.CNCCs-Unique",124,281,2732,7685,0.0294216137508364,1.24131102525401,0.0434173669467787
"120","All Mineralizing Osteoblasts","Gokhman2021-DE.Parental.CNCCs-Unique",125,280,2771,7646,0.0339059130966989,1.23184020054684,0.0431629834254144
"121","All Maturing Osteocytes","Gokhman2021-DE.Parental.CNCCs-Unique",121,284,2706,7711,0.0464300730840344,1.21410549820579,0.0428015564202335
"122","Shared in All","Gokhman2021-DE.Hybrid.CNCCs-Unique",287,684,2539,7312,0.00625667564082851,1.20830461684238,0.101556970983723
"123","Shared in
Pre/Obl/Emb/Min","Gokhman2021-DE.Hybrid.CNCCs-Unique",1,970,27,9824,0.928329536384004,0.37512791735771,0.0357142857142857
"124","Shared in
Obl/Emb/Min/Mat","Gokhman2021-DE.Hybrid.CNCCs-Unique",0,971,0,9851,1,0,NA
"125","Shared in Emb/Min","Gokhman2021-DE.Hybrid.CNCCs-Unique",0,971,1,9850,1,0,0
"126","Unique to
Mineralizing Osteoblasts","Gokhman2021-DE.Hybrid.CNCCs-Unique",5,966,31,9820,0.217706535187489,1.63951618697509,0.138888888888889
"127","Shared in All","Gokhman2021-DE.Hybrid.CNCCs-Unique",287,684,2539,7312,0.00625667564082851,1.20830461684238,0.101556970983723
"128","All Preostoblasts","Gokhman2021-DE.Hybrid.CNCCs-Unique",288,683,2569,7282,0.00923397118610503,1.19519369394665,0.100805040252013
"129","All Osteoblasts","Gokhman2021-DE.Hybrid.CNCCs-Unique",288,683,2569,7282,0.00923397118610503,1.19519369394665,0.100805040252013
"130","All Embedding Osteoblasts","Gokhman2021-DE.Hybrid.CNCCs-Unique",288,683,2568,7283,0.00906257081786987,1.19582296726051,0.100840336134454
"131","All Mineralizing Osteoblasts","Gokhman2021-DE.Hybrid.CNCCs-Unique",293,678,2603,7248,0.00698431360780674,1.20326401649586,0.101174033149171
"132","All Maturing Osteocytes","Gokhman2021-DE.Hybrid.CNCCs-Unique",287,684,2540,7311,0.00638097088598793,1.20766409351121,0.101521047046339
"133","Shared in All","Gokhman2020-DMR.bone",79,162,2747,7834,0.0117248843881036,1.39066556728489,0.0279547062986553
"134","Shared in
Pre/Obl/Emb/Min","Gokhman2020-DMR.bone",2,239,26,10555,0.128092747334046,3.39643544126204,0.0714285714285714
"135","Shared in
Obl/Emb/Min/Mat","Gokhman2020-DMR.bone",0,241,0,10581,1,0,NA
"136","Shared in Emb/Min","Gokhman2020-DMR.bone",0,241,1,10580,1,0,0
"137","Unique to
Mineralizing Osteoblasts","Gokhman2020-DMR.bone",0,241,36,10545,1,0,0
"138","Shared in All","Gokhman2020-DMR.bone",79,162,2747,7834,0.0117248843881036,1.39066556728489,0.0279547062986553
"139","All Preostoblasts","Gokhman2020-DMR.bone",81,160,2776,7805,0.00726364153167942,1.42332192241609,0.0283514175708785
"140","All Osteoblasts","Gokhman2020-DMR.bone",81,160,2776,7805,0.00726364153167942,1.42332192241609,0.0283514175708785
"141","All Embedding Osteoblasts","Gokhman2020-DMR.bone",81,160,2775,7806,0.00719580562648055,1.42401718018086,0.0283613445378151
"142","All Mineralizing Osteoblasts","Gokhman2020-DMR.bone",81,160,2815,7766,0.0103772694048357,1.39659211596817,0.0279696132596685
"143","All Maturing Osteocytes","Gokhman2020-DMR.bone",79,162,2748,7833,0.0118290606617532,1.38998212564019,0.0279448178280863
"144","Shared in All","Hsu2019-GWAS.hip.geometry",0,6,2826,7990,1,0,0
"145","Shared in
Pre/Obl/Emb/Min","Hsu2019-GWAS.hip.geometry",0,6,28,10788,1,0,0
"146","Shared in
Obl/Emb/Min/Mat","Hsu2019-GWAS.hip.geometry",0,6,0,10816,1,0,NA
"147","Shared in Emb/Min","Hsu2019-GWAS.hip.geometry",0,6,1,10815,1,0,0
"148","Unique to
Mineralizing Osteoblasts","Hsu2019-GWAS.hip.geometry",0,6,36,10780,1,0,0
"149","Shared in All","Hsu2019-GWAS.hip.geometry",0,6,2826,7990,1,0,0
"150","All Preostoblasts","Hsu2019-GWAS.hip.geometry",0,6,2857,7959,1,0,0
"151","All Osteoblasts","Hsu2019-GWAS.hip.geometry",0,6,2857,7959,1,0,0
"152","All Embedding Osteoblasts","Hsu2019-GWAS.hip.geometry",0,6,2856,7960,1,0,0
"153","All Mineralizing Osteoblasts","Hsu2019-GWAS.hip.geometry",0,6,2896,7920,1,0,0
"154","All Maturing Osteocytes","Hsu2019-GWAS.hip.geometry",0,6,2827,7989,1,0,0
"155","Shared in All","Styrkarsdottir2019-GWAS.bone.area",0,6,2826,7990,1,0,0
"156","Shared in
Pre/Obl/Emb/Min","Styrkarsdottir2019-GWAS.bone.area",0,6,28,10788,1,0,0
"157","Shared in
Obl/Emb/Min/Mat","Styrkarsdottir2019-GWAS.bone.area",0,6,0,10816,1,0,NA
