"","Source.DEGenes","Source.GenesOfInterest","DE.Interest","NonDE.Interest","DE.NotInterest","NonDE.NotInterest","p.value","odds.ratio","GeneRatio"
"1","Shared in All","Blake2018-DE.iPSCs-Unique",109,245,3176,7139,0.520418335018394,1.00006103888177,0.0331811263318113
"2","Shared in
Pre/Obl/Emb/Min","Blake2018-DE.iPSCs-Unique",0,354,1,10314,1,0,0
"3","Shared in
Obl/Emb/Min/Mat","Blake2018-DE.iPSCs-Unique",0,354,1,10314,1,0,0
"4","Shared in Emb/Min","Blake2018-DE.iPSCs-Unique",0,354,1,10314,1,0,0
"5","Unique to
Mineralizing Osteoblasts","Blake2018-DE.iPSCs-Unique",0,354,10,10305,1,0,0
"6","Shared in All","Blake2018-DE.iPSCs-Unique",109,245,3176,7139,0.520418335018394,1.00006103888177,0.0331811263318113
"7","All Preostoblasts","Blake2018-DE.iPSCs-Unique",109,245,3178,7137,0.523514174531939,0.999130558404143,0.0331609370246425
"8","All Osteoblasts","Blake2018-DE.iPSCs-Unique",109,245,3178,7137,0.523514174531939,0.999130558404143,0.0331609370246425
"9","All Embedding Osteoblasts","Blake2018-DE.iPSCs-Unique",109,245,3180,7135,0.526607888124093,0.998222370308216,0.0331407722712071
"10","All Mineralizing Osteoblasts","Blake2018-DE.iPSCs-Unique",109,245,3190,7125,0.542038154165037,0.993697696935418,0.0330403152470446
"11","All Maturing Osteocytes","Blake2018-DE.iPSCs-Unique",109,245,3178,7137,0.523514174531939,0.999130558404143,0.0331609370246425
"12","Shared in All","Blake2018-DE.iPSC-endoderm-day1-Unique",75,171,3210,7213,0.565697874508032,0.985538900680731,0.0228310502283105
"13","Shared in
Pre/Obl/Emb/Min","Blake2018-DE.iPSC-endoderm-day1-Unique",0,246,1,10422,1,0,0
"14","Shared in
Obl/Emb/Min/Mat","Blake2018-DE.iPSC-endoderm-day1-Unique",0,246,1,10422,1,0,0
"15","Shared in Emb/Min","Blake2018-DE.iPSC-endoderm-day1-Unique",0,246,1,10422,1,0,0
"16","Unique to
Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",0,246,10,10413,1,0,0
"17","Shared in All","Blake2018-DE.iPSC-endoderm-day1-Unique",75,171,3210,7213,0.565697874508032,0.985538900680731,0.0228310502283105
"18","All Preostoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",75,171,3212,7211,0.568230798716358,0.984651389111252,0.0228171585031944
"19","All Osteoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",75,171,3212,7211,0.568230798716358,0.984651389111252,0.0228171585031944
"20","All Embedding Osteoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",75,171,3214,7209,0.57076034752351,0.983764931552193,0.0228032836728489
"21","All Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",75,171,3224,7199,0.583354022418383,0.979348384111665,0.0227341618672325
"22","All Maturing Osteocytes","Blake2018-DE.iPSC-endoderm-day1-Unique",75,171,3212,7211,0.568230798716358,0.984651389111252,0.0228171585031944
"23","Shared in All","Blake2018-DE.iPSC-endoderm-day2-Unique",70,203,3215,7181,0.974908633258228,0.770249937371912,0.0213089802130898
"24","Shared in
Pre/Obl/Emb/Min","Blake2018-DE.iPSC-endoderm-day2-Unique",0,273,1,10395,1,0,0
"25","Shared in
Obl/Emb/Min/Mat","Blake2018-DE.iPSC-endoderm-day2-Unique",0,273,1,10395,1,0,0
"26","Shared in Emb/Min","Blake2018-DE.iPSC-endoderm-day2-Unique",0,273,1,10395,1,0,0
"27","Unique to
Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",1,272,9,10387,0.228426283007889,4.24186772683025,0.1
"28","Shared in All","Blake2018-DE.iPSC-endoderm-day2-Unique",70,203,3215,7181,0.974908633258228,0.770249937371912,0.0213089802130898
"29","All Preostoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",70,203,3217,7179,0.975297589454673,0.76955706645979,0.0212960146029814
"30","All Osteoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",70,203,3217,7179,0.975297589454673,0.76955706645979,0.0212960146029814
"31","All Embedding Osteoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",70,203,3219,7177,0.975681392011697,0.768865058943189,0.0212830647613256
"32","All Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",71,202,3228,7168,0.969098318346187,0.780539835586215,0.0215216732343134
"33","All Maturing Osteocytes","Blake2018-DE.iPSC-endoderm-day2-Unique",70,203,3217,7179,0.975297589454673,0.76955706645979,0.0212960146029814
"34","Shared in All","Blake2018-DE.iPSC-endoderm-day3-Unique",201,505,3084,6879,0.923511996850762,0.887816100861156,0.0611872146118721
"35","Shared in
Pre/Obl/Emb/Min","Blake2018-DE.iPSC-endoderm-day3-Unique",0,706,1,9962,1,0,0
"36","Shared in
Obl/Emb/Min/Mat","Blake2018-DE.iPSC-endoderm-day3-Unique",0,706,1,9962,1,0,0
"37","Shared in Emb/Min","Blake2018-DE.iPSC-endoderm-day3-Unique",0,706,1,9962,1,0,0
"38","Unique to
Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",0,706,10,9953,1,0,0
"39","Shared in All","Blake2018-DE.iPSC-endoderm-day3-Unique",201,505,3084,6879,0.923511996850762,0.887816100861156,0.0611872146118721
"40","All Preostoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",201,505,3086,6877,0.925090620500925,0.886982971949667,0.061149984788561
"41","All Osteoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",201,505,3086,6877,0.925090620500925,0.886982971949667,0.061149984788561
"42","All Embedding Osteoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",201,505,3088,6875,0.926643918472926,0.886150924343564,0.061112800243235
"43","All Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",201,505,3098,6865,0.934038480828111,0.882006833270431,0.0609275538041831
"44","All Maturing Osteocytes","Blake2018-DE.iPSC-endoderm-day3-Unique",201,505,3086,6877,0.925090620500925,0.886982971949667,0.061149984788561
"45","Shared in All","Blake2020-DE.heart-Unique",313,802,2972,6582,0.983206171165296,0.86432314856285,0.0952815829528158
"46","Shared in
Pre/Obl/Emb/Min","Blake2020-DE.heart-Unique",0,1115,1,9553,1,0,0
"47","Shared in
Obl/Emb/Min/Mat","Blake2020-DE.heart-Unique",0,1115,1,9553,1,0,0
"48","Shared in Emb/Min","Blake2020-DE.heart-Unique",0,1115,1,9553,1,0,0
"49","Unique to
Mineralizing Osteoblasts","Blake2020-DE.heart-Unique",2,1113,8,9546,0.281394058083609,2.14400145362366,0.2
"50","Shared in All","Blake2020-DE.heart-Unique",313,802,2972,6582,0.983206171165296,0.86432314856285,0.0952815829528158
"51","All Preostoblasts","Blake2020-DE.heart-Unique",313,802,2974,6580,0.983788904396062,0.863479287887594,0.0952236081533313
"52","All Osteoblasts","Blake2020-DE.heart-Unique",313,802,2974,6580,0.983788904396062,0.863479287887594,0.0952236081533313
"53","All Embedding Osteoblasts","Blake2020-DE.heart-Unique",313,802,2976,6578,0.984354100451653,0.86263656014993,0.095165703861356
"54","All Mineralizing Osteoblasts","Blake2020-DE.heart-Unique",315,800,2984,6570,0.981466397823368,0.866930447338317,0.0954834798423765
"55","All Maturing Osteocytes","Blake2020-DE.heart-Unique",313,802,2974,6580,0.983788904396062,0.863479287887594,0.0952236081533313
"56","Shared in All","Blake2020-DE.kidney-Unique",53,92,3232,7292,0.0788925624123988,1.29977032795198,0.0161339421613394
"57","Shared in
Pre/Obl/Emb/Min","Blake2020-DE.kidney-Unique",0,145,1,10523,1,0,0
"58","Shared in
Obl/Emb/Min/Mat","Blake2020-DE.kidney-Unique",0,145,1,10523,1,0,0
"59","Shared in Emb/Min","Blake2020-DE.kidney-Unique",0,145,1,10523,1,0,0
"60","Unique to
Mineralizing Osteoblasts","Blake2020-DE.kidney-Unique",0,145,10,10514,1,0,0
"61","Shared in All","Blake2020-DE.kidney-Unique",53,92,3232,7292,0.0788925624123988,1.29977032795198,0.0161339421613394
"62","All Preostoblasts","Blake2020-DE.kidney-Unique",53,92,3234,7290,0.0796318007963129,1.29861079558413,0.0161241253422574
"63","All Osteoblasts","Blake2020-DE.kidney-Unique",53,92,3234,7290,0.0796318007963129,1.29861079558413,0.0161241253422574
"64","All Embedding Osteoblasts","Blake2020-DE.kidney-Unique",53,92,3236,7288,0.0803760910253684,1.29745269374529,0.0161143204621465
"65","All Mineralizing Osteoblasts","Blake2020-DE.kidney-Unique",53,92,3246,7278,0.0841738306620381,1.29168354982804,0.0160654743861776
"66","All Maturing Osteocytes","Blake2020-DE.kidney-Unique",53,92,3234,7290,0.0796318007963129,1.29861079558413,0.0161241253422574
