"","Source.DEGenes","Source.GenesOfInterest","DE.Interest","NonDE.Interest","DE.NotInterest","NonDE.NotInterest","p.value","odds.ratio","GeneRatio"
"1","Shared in All","Blake2018-DE.iPSCs-Unique",2,348,89,10232,0.804791175197804,0.660744089173635,0.021978021978022
"2","Shared in Osteogenic.c1/c3/c4","Blake2018-DE.iPSCs-Unique",119,231,3602,6719,0.655347504696318,0.960940691171203,0.0319806503628057
"3","Shared in Osteogenic.c1/c3","Blake2018-DE.iPSCs-Unique",2,348,31,10290,0.295016303020403,1.90754710494549,0.0606060606060606
"4","All Osteogenic.c1","Blake2018-DE.iPSCs-Unique",123,227,3724,6597,0.659913706442719,0.959879163748214,0.0319729659474915
"5","All Osteogenic.c2","Blake2018-DE.iPSCs-Unique",2,348,89,10232,0.804791175197804,0.660744089173635,0.021978021978022
"6","All Osteogenic.c3","Blake2018-DE.iPSCs-Unique",123,227,3723,6598,0.658554262798888,0.960282544338727,0.03198127925117
"7","All Osteogenic.c4","Blake2018-DE.iPSCs-Unique",121,229,3692,6629,0.696291954204639,0.948716738503591,0.031733543141883
"8","Shared in All","Blake2018-DE.iPSC-endoderm-day1-Unique",1,246,90,10334,0.882376819495484,0.466780723287407,0.010989010989011
"9","Shared in Osteogenic.c1/c3/c4","Blake2018-DE.iPSC-endoderm-day1-Unique",90,157,3631,6793,0.322627009643662,1.07244462252603,0.0241870464928783
"10","Shared in Osteogenic.c1/c3","Blake2018-DE.iPSC-endoderm-day1-Unique",0,247,33,10391,1,0,0
"11","All Osteogenic.c1","Blake2018-DE.iPSC-endoderm-day1-Unique",91,156,3756,6668,0.420495416190567,1.03561540180223,0.0236547959448921
"12","All Osteogenic.c2","Blake2018-DE.iPSC-endoderm-day1-Unique",1,246,90,10334,0.882376819495484,0.466780723287407,0.010989010989011
"13","All Osteogenic.c3","Blake2018-DE.iPSC-endoderm-day1-Unique",91,156,3755,6669,0.419279550820924,1.03604725479817,0.0236609464378575
"14","All Osteogenic.c4","Blake2018-DE.iPSC-endoderm-day1-Unique",91,156,3722,6702,0.379602659895615,1.05036629526117,0.023865722528193
"15","Shared in All","Blake2018-DE.iPSC-endoderm-day2-Unique",1,271,90,10309,0.905554050371364,0.422696549487118,0.010989010989011
"16","Shared in Osteogenic.c1/c3/c4","Blake2018-DE.iPSC-endoderm-day2-Unique",77,195,3644,6755,0.991752646913934,0.732006967116902,0.0206933619994625
"17","Shared in Osteogenic.c1/c3","Blake2018-DE.iPSC-endoderm-day2-Unique",1,271,32,10367,0.574019327308062,1.19543299863321,0.0303030303030303
"18","All Osteogenic.c1","Blake2018-DE.iPSC-endoderm-day2-Unique",79,193,3768,6631,0.994413025481106,0.720361824558698,0.0205354821939173
"19","All Osteogenic.c2","Blake2018-DE.iPSC-endoderm-day2-Unique",1,271,90,10309,0.905554050371364,0.422696549487118,0.010989010989011
"20","All Osteogenic.c3","Blake2018-DE.iPSC-endoderm-day2-Unique",79,193,3767,6632,0.994361635428089,0.720661691729269,0.0205408216328653
"21","All Osteogenic.c4","Blake2018-DE.iPSC-endoderm-day2-Unique",78,194,3735,6664,0.994778722761473,0.717381486840564,0.020456333595594
"22","Shared in All","Blake2018-DE.iPSC-endoderm-day3-Unique",4,696,87,9884,0.856181586001661,0.652928283143654,0.043956043956044
"23","Shared in Osteogenic.c1/c3/c4","Blake2018-DE.iPSC-endoderm-day3-Unique",235,465,3486,6485,0.783937566550185,0.940150669586683,0.0631550658425155
"24","Shared in Osteogenic.c1/c3","Blake2018-DE.iPSC-endoderm-day3-Unique",4,696,29,9942,0.167809078283041,1.97012690816423,0.121212121212121
"25","All Osteogenic.c1","Blake2018-DE.iPSC-endoderm-day3-Unique",243,457,3604,6367,0.788576225923443,0.939376441212194,0.0631661034572394
"26","All Osteogenic.c2","Blake2018-DE.iPSC-endoderm-day3-Unique",4,696,87,9884,0.856181586001661,0.652928283143654,0.043956043956044
"27","All Osteogenic.c3","Blake2018-DE.iPSC-endoderm-day3-Unique",244,456,3602,6369,0.76248235287857,0.946133383058357,0.0634425377015081
"28","All Osteogenic.c4","Blake2018-DE.iPSC-endoderm-day3-Unique",239,461,3574,6397,0.828515534570199,0.927935506597765,0.0626803042223971
"29","Shared in All","Blake2020-DE.heart-Unique",8,1106,83,9474,0.746741648609726,0.825623875346417,0.0879120879120879
"30","Shared in Osteogenic.c1/c3/c4","Blake2020-DE.heart-Unique",353,761,3368,6189,0.991846639388665,0.852431835476212,0.0948669712442892
"31","Shared in Osteogenic.c1/c3","Blake2020-DE.heart-Unique",3,1111,30,9527,0.684350769712975,0.857508689599822,0.0909090909090909
"32","All Osteogenic.c1","Blake2020-DE.heart-Unique",364,750,3483,6074,0.994242687319715,0.846407609526788,0.0946191837795685
"33","All Osteogenic.c2","Blake2020-DE.heart-Unique",8,1106,83,9474,0.746741648609726,0.825623875346417,0.0879120879120879
"34","All Osteogenic.c3","Blake2020-DE.heart-Unique",365,749,3481,6076,0.992917093790799,0.850635511185407,0.0949037961518461
"35","All Osteogenic.c4","Blake2020-DE.heart-Unique",361,753,3452,6105,0.993705588283435,0.847902875614141,0.0946761080514031
"36","Shared in All","Blake2020-DE.kidney-Unique",1,142,90,10438,0.708571421935837,0.816758818474867,0.010989010989011
"37","Shared in Osteogenic.c1/c3/c4","Blake2020-DE.kidney-Unique",57,86,3664,6864,0.121108471789928,1.24159803735142,0.0153184627788229
"38","Shared in Osteogenic.c1/c3","Blake2020-DE.kidney-Unique",0,143,33,10495,1,0,0
"39","All Osteogenic.c1","Blake2020-DE.kidney-Unique",58,85,3789,6739,0.14864823885162,1.21357432645102,0.0150766831297115
"40","All Osteogenic.c2","Blake2020-DE.kidney-Unique",1,142,90,10438,0.708571421935837,0.816758818474867,0.010989010989011
"41","All Osteogenic.c3","Blake2020-DE.kidney-Unique",58,85,3788,6740,0.148099043041968,1.21407468854059,0.015080603224129
"42","All Osteogenic.c4","Blake2020-DE.kidney-Unique",58,85,3755,6773,0.130713169054981,1.23073592101506,0.015211119853134
"43","Shared in All","Blake2020-DE.liver-Unique",4,428,87,10152,0.506052136038617,1.09053304042892,0.043956043956044
"44","Shared in Osteogenic.c1/c3/c4","Blake2020-DE.liver-Unique",152,280,3569,6670,0.462778741612882,1.01453442257338,0.0408492340768611
"45","Shared in Osteogenic.c1/c3","Blake2020-DE.liver-Unique",0,432,33,10206,1,0,0
"46","All Osteogenic.c1","Blake2020-DE.liver-Unique",156,276,3691,6548,0.508056423006432,1.00272101181686,0.0405510787626722
"47","All Osteogenic.c2","Blake2020-DE.liver-Unique",4,428,87,10152,0.506052136038617,1.09053304042892,0.043956043956044
"48","All Osteogenic.c3","Blake2020-DE.liver-Unique",156,276,3690,6549,0.506403757957979,1.00314595298344,0.0405616224648986
"49","All Osteogenic.c4","Blake2020-DE.liver-Unique",156,276,3657,6582,0.451901835115935,1.01730475987873,0.040912667191188
"50","Shared in All","Blake2020-DE.lung-Unique",1,178,90,10402,0.78690262918342,0.649334231290665,0.010989010989011
"51","Shared in Osteogenic.c1/c3/c4","Blake2020-DE.lung-Unique",72,107,3649,6843,0.0764509362643888,1.26183385101048,0.0193496371943026
"52","Shared in Osteogenic.c1/c3","Blake2020-DE.lung-Unique",0,179,33,10459,1,0,0
"53","All Osteogenic.c1","Blake2020-DE.lung-Unique",73,106,3774,6718,0.106106078309612,1.22585887093674,0.0189758253184299
"54","All Osteogenic.c2","Blake2020-DE.lung-Unique",1,178,90,10402,0.78690262918342,0.649334231290665,0.010989010989011
"55","All Osteogenic.c3","Blake2020-DE.lung-Unique",73,106,3773,6719,0.10561958773226,1.22636614758981,0.0189807592303692
"56","All Osteogenic.c4","Blake2020-DE.lung-Unique",73,106,3740,6752,0.0904393670427926,1.24325823307299,0.019145030159979
"57","Shared in All","Gokhman2021-DE.Parental.iPSCs-Unique",34,4078,57,6502,0.629784503708645,0.951050872832224,0.373626373626374
"58","Shared in Osteogenic.c1/c3/c4","Gokhman2021-DE.Parental.iPSCs-Unique",1452,2660,2269,4290,0.230754395386236,1.03208334045052,0.390217683418436
"59","Shared in Osteogenic.c1/c3","Gokhman2021-DE.Parental.iPSCs-Unique",9,4103,24,6535,0.937594861716212,0.597303799397677,0.272727272727273
"60","All Osteogenic.c1","Gokhman2021-DE.Parental.iPSCs-Unique",1495,2617,2352,4207,0.30821469948154,1.02182307033273,0.388614504808942
"61","All Osteogenic.c2","Gokhman2021-DE.Parental.iPSCs-Unique",34,4078,57,6502,0.629784503708645,0.951050872832224,0.373626373626374
"62","All Osteogenic.c3","Gokhman2021-DE.Parental.iPSCs-Unique",1495,2617,2351,4208,0.302611914015627,1.02250119396174,0.388715548621945
"63","All Osteogenic.c4","Gokhman2021-DE.Parental.iPSCs-Unique",1487,2625,2326,4233,0.237753543056416,1.03092402713962,0.389981641751901
"64","Shared in All","Gokhman2021-DE.Hybrid.iPSCs-Unique",21,2397,70,8183,0.502996823876303,1.02415419841042,0.230769230769231
"65","Shared in Osteogenic.c1/c3/c4","Gokhman2021-DE.Hybrid.iPSCs-Unique",846,1572,2875,5378,0.454308599728436,1.00670214039774,0.227358237033056
"66","Shared in Osteogenic.c1/c3","Gokhman2021-DE.Hybrid.iPSCs-Unique",8,2410,25,8228,0.480973346740099,1.09251915262227,0.242424242424242
"67","All Osteogenic.c1","Gokhman2021-DE.Hybrid.iPSCs-Unique",875,1543,2972,5281,0.446132483699901,1.00765017013498,0.227449961008578
"68","All Osteogenic.c2","Gokhman2021-DE.Hybrid.iPSCs-Unique",21,2397,70,8183,0.502996823876303,1.02415419841042,0.230769230769231
"69","All Osteogenic.c3","Gokhman2021-DE.Hybrid.iPSCs-Unique",876,1542,2970,5283,0.422892484870914,1.01051927078543,0.227769110764431
"70","All Osteogenic.c4","Gokhman2021-DE.Hybrid.iPSCs-Unique",868,1550,2945,5308,0.432622797543549,1.00933230249377,0.227642276422764
"71","Shared in All","Gokhman2021-DE.Parental.CNCCs-Unique",5,389,86,10191,0.245591981010074,1.52303546872893,0.0549450549450549
"72","Shared in Osteogenic.c1/c3/c4","Gokhman2021-DE.Parental.CNCCs-Unique",143,251,3578,6699,0.289775722884547,1.06666717755269,0.0384305294275732
"73","Shared in Osteogenic.c1/c3","Gokhman2021-DE.Parental.CNCCs-Unique",0,394,33,10244,1,0,0
"74","All Osteogenic.c1","Gokhman2021-DE.Parental.CNCCs-Unique",148,246,3699,6578,0.278723868904312,1.06987491154421,0.0384715362620224
"75","All Osteogenic.c2","Gokhman2021-DE.Parental.CNCCs-Unique",5,389,86,10191,0.245591981010074,1.52303546872893,0.0549450549450549
"76","All Osteogenic.c3","Gokhman2021-DE.Parental.CNCCs-Unique",148,246,3698,6579,0.277394725836061,1.07032685164681,0.0384815392615705
"77","All Osteogenic.c4","Gokhman2021-DE.Parental.CNCCs-Unique",148,246,3665,6612,0.235296261707276,1.08537909088231,0.038814581694204
"78","Shared in All","Gokhman2021-DE.Hybrid.CNCCs-Unique",8,950,83,9630,0.578675146082113,0.977046697160797,0.0879120879120879
"79","Shared in Osteogenic.c1/c3/c4","Gokhman2021-DE.Hybrid.CNCCs-Unique",336,622,3385,6328,0.458001232086486,1.00985133688158,0.0902983069067455
"80","Shared in Osteogenic.c1/c3","Gokhman2021-DE.Hybrid.CNCCs-Unique",3,955,30,9683,0.578999442727589,1.01392682542642,0.0909090909090909
"81","All Osteogenic.c1","Gokhman2021-DE.Hybrid.CNCCs-Unique",347,611,3500,6213,0.467132402568417,1.0081426191241,0.0902001559656875
"82","All Osteogenic.c2","Gokhman2021-DE.Hybrid.CNCCs-Unique",8,950,83,9630,0.578675146082113,0.977046697160797,0.0879120879120879
"83","All Osteogenic.c3","Gokhman2021-DE.Hybrid.CNCCs-Unique",347,611,3499,6214,0.464614237955294,1.00859320153796,0.0902236089443578
"84","All Osteogenic.c4","Gokhman2021-DE.Hybrid.CNCCs-Unique",344,614,3469,6244,0.46557319031642,1.0084378217834,0.0902176763703121
"85","Shared in All","Gokhman2020-DMR.bone",3,238,88,10342,0.338456644050272,1.48128373634377,0.032967032967033
"86","Shared in Osteogenic.c1/c3/c4","Gokhman2020-DMR.bone",107,134,3614,6816,0.00123854777599338,1.50598028827291,0.0287557108304219
