"","x"
"1","SCYL3"
"2","CFH"
"3","NFYA"
"4","ENPP4"
"5","SEMA3F"
"6","KRIT1"
"7","RAD52"
"8","LAP3"
"9","M6PR"
"10","TFPI"
"11","RBM5"
"12","SLC7A2"
"13","PLXND1"
"14","SKAP2"
"15","DHX33"
"16","REXO5"
"17","SPPL2B"
"18","CREBBP"
"19","GCFC2"
"20","IBTK"
"21","PDK2"
"22","ITGA3"
"23","CRLF1"
"24","TNFRSF12A"
"25","MAP3K9"
"26","RALA"
"27","AGK"
"28","GGCT"
"29","DBF4"
"30","IFRD1"
"31","VPS41"
"32","ELAC2"
"33","PNPLA4"
"34","ADIPOR2"
"35","CDKL3"
"36","GAS7"
"37","TRAPPC6A"
"38","TSR3"
"39","PIGQ"
"40","DNAJC11"
"41","MYLIP"
"42","JARID2"
"43","CDKL5"
"44","CYB561"
"45","MPND"
"46","MGST1"
"47","ST3GAL1"
"48","IL32"
"49","MAPK8IP2"
"50","MED24"
"51","FAM76A"
"52","RANBP9"
"53","SPRTN"
"54","EEF1AKNMT"
"55","ZNF207"
"56","UQCRC1"
"57","CD9"
"58","NCAPD2"
"59","FUZ"
"60","SCMH1"
"61","APBA3"
"62","MKS1"
"63","ABHD5"
"64","ANOS1"
"65","PTBP1"
"66","LARS2"
"67","WIZ"
"68","PPP5C"
"69","PRICKLE3"
"70","ELOVL5"
"71","EHD3"
"72","MAN2B2"
"73","POLA2"
"74","MDH1"
"75","COX15"
"76","YAF2"
"77","BID"
"78","RGPD5"
"79","CHDH"
"80","CXorf56"
"81","ADGRA2"
"82","SERPINB1"
"83","SPAST"
"84","AQR"
"85","RTF2"
"86","ERP44"
"87","AKAP11"
"88","GLRX2"
"89","SNAPC1"
"90","STRAP"
"91","EHD2"
"92","PHF20"
"93","RNASET2"
"94","KCNG1"
"95","AGPAT4"
"96","PRKCH"
"97","ARNTL2"
"98","BCLAF1"
"99","IKZF2"
"100","IFT88"
"101","UBA6"
"102","GAB2"
"103","PIAS1"
"104","SLC4A7"
"105","APBA2"
"106","TMSB10"
"107","SH3YL1"
"108","AGA"
"109","MAT2B"
"110","TRIO"
"111","VCAN"
"112","MTREX"
"113","ZFYVE16"
"114","PHLPP2"
"115","STAU2"
"116","SLC66A1"
"117","CTNS"
"118","LSG1"
"119","PARP3"
"120","MED17"
"121","JADE2"
"122","ZIC2"
"123","TRIT1"
"124","CTNNA1"
"125","CNTLN"
"126","GEMIN8"
"127","YTHDC2"
"128","CTPS2"
"129","ARHGAP6"
"130","HDAC9"
"131","CC2D2A"
"132","CELF2"
"133","ADAMTS6"
"134","VAMP3"
"135","CLPTM1L"
"136","PPP1R3F"
"137","PTCD2"
"138","DKK3"
"139","NFE2L3"
"140","MCUR1"
"141","LIMA1"
"142","LETMD1"
"143","BCAR1"
"144","HERPUD1"
"145","RAD51"
"146","POLQ"
"147","THOC3"
"148","HEBP2"
"149","SIKE1"
"150","AKR7A2"
"151","USE1"
"152","LAMA3"
"153","ANAPC4"
"154","ARID4B"
"155","SDCCAG8"
"156","HHAT"
"157","TBC1D22A"
"158","SYNE2"
"159","PLEKHH1"
"160","ATP9A"
"161","CUL1"
"162","CYFIP2"
"163","TAB2"
"164","USP36"
"165","KMT2C"
"166","ZFR"
"167","DCBLD2"
"168","SOAT1"
"169","CROCC"
"170","POLR3E"
"171","RIOK2"
"172","NDC1"
"173","TARBP1"
"174","OGFR"
"175","SNRNP40"
"176","COL11A1"
"177","BCAT1"
"178","HDAC7"
