"","x"
"1","CFLAR"
"2","FKBP4"
"3","ARHGAP44"
"4","ST7L"
"5","FYN"
"6","DCN"
"7","PGM3"
"8","DNASE1L1"
"9","UFL1"
"10","WWTR1"
"11","POU2F2"
"12","RAI14"
"13","C12orf4"
"14","VPS13D"
"15","MSMO1"
"16","PHPT1"
"17","CS"
"18","SBNO2"
"19","ASNS"
"20","TCF3"
"21","GSDMB"
"22","MARK3"
"23","MLH1"
"24","KLHL20"
"25","ARHGEF1"
"26","LRCH4"
"27","FAM76B"
"28","CDC14A"
"29","RIMS1"
"30","RBL1"
"31","STK17B"
"32","ME2"
"33","REST"
"34","FAM234B"
"35","KIF3C"
"36","CD82"
"37","AKR1B1"
"38","MAST2"
"39","ACHE"
"40","CRLS1"
"41","EBF4"
"42","OTUB2"
"43","AARS1"
"44","TNRC6A"
"45","SPAG7"
"46","MYL6"
"47","SEMA4G"
"48","SORBS1"
"49","HSP90AB1"
"50","EFNA2"
"51","TSPO"
"52","SAMM50"
"53","SUSD6"
"54","BRMS1L"
"55","RAE1"
"56","POFUT1"
"57","MANBAL"
"58","DHX35"
"59","VAPA"
"60","HTATSF1"
"61","NALCN"
"62","FOXF1"
"63","UBFD1"
"64","SALL1"
"65","CCP110"
"66","ZDHHC2"
"67","LAPTM4B"
"68","OLFM2"
"69","ANKRD27"
"70","AKT2"
"71","SLC1A5"
"72","BABAM1"
"73","KXD1"
"74","ZNF85"
"75","ZC3HAV1"
"76","TSPAN12"
"77","PTCD1"
"78","COA1"
"79","FUBP3"
"80","SEPTIN4"
"81","MMD"
"82","CPE"
"83","KLF3"
"84","ATG2A"
"85","MADD"
"86","CD81"
"87","SLC35F2"
"88","SOX6"
"89","CYP27B1"
"90","PRKAB1"
"91","ASF1A"
"92","RBM24"
"93","PTK7"
"94","TTC1"
"95","CBLB"
"96","SLC4A3"
"97","EEF1B2"
"98","REEP6"
"99","TTC31"
"100","RTN4"
"101","EFEMP1"
"102","TRIM62"
"103","LEPR"
"104","PHTF1"
"105","UAP1"
"106","SLC16A7"
"107","ABCG2"
"108","DLST"
"109","ZNF410"
"110","SLC17A5"
"111","ARMH3"
"112","RCL1"
"113","TBX2"
"114","TENT4B"
"115","ZNF639"
"116","ZSCAN20"
"117","MRPS2"
"118","TNFAIP6"
"119","STX16"
"120","HS3ST3B1"
"121","DDX31"
"122","IFI6"
"123","UXT"
"124","PLAAT1"
"125","DYRK2"
"126","MKLN1"
"127","FLNC"
"128","MRPS12"
"129","THAP10"
"130","OSBPL2"
"131","ADRM1"
"132","MCCC2"
"133","UTP3"
"134","IGHMBP2"
"135","MEIS2"
"136","SLC38A2"
"137","GNL2"
"138","BTF3L4"
"139","PDGFRA"
"140","NREP"
"141","MED4"
"142","TNS3"
"143","NMT1"
"144","VEZF1"
"145","ACTL6A"
"146","CDK5RAP2"
"147","TSTD2"
"148","RABEPK"
"149","PLAA"
"150","TMEM8B"
"151","RNF121"
"152","SORL1"
"153","OLA1"
"154","COPS4"
"155","RAP1GDS1"
"156","AEBP2"
"157","AMIGO2"
"158","MTMR6"
"159","LMBR1L"
"160","LPAR6"
"161","TLE3"
"162","MAN2C1"
"163","GAREM1"
"164","RAB40B"
"165","ZFP14"
"166","GEMIN7"
"167","PLK4"
"168","PTPRF"
"169","CTTNBP2NL"
"170","MRPL9"
"171","POGZ"
"172","OSR1"
"173","FANCD2"
"174","DYNC1LI1"
"175","RUBCN"
"176","HAPLN1"
"177","KLHL3"
"178","TNFRSF21"
"179","GNA12"
"180","C9orf72"
"181","NTMT1"
"182","FRA10AC1"
"183","TCF7L2"
"184","HYOU1"
"185","SLC2A13"
"186","MBNL1"
"187","TXNDC11"
"188","CMIP"
"189","TOMM70"
"190","ELOC"
"191","SKA1"
"192","ACSS1"
"193","ELMO1"
"194","VPS37A"
"195","FAM161B"
"196","TYSND1"
"197","ZNF689"
"198","SASS6"
"199","ABHD3"
"200","GPR153"
"201","PPP1R9A"
"202","GDPD5"
"203","SV2A"
"204","AGPAT3"
"205","CLDND2"
"206","FDPS"
"207","PWWP3A"
"208","AMDHD2"
"209","CLPB"
"210","TMCO4"
"211","VPS72"
"212","GPR155"
"213","PBXIP1"
"214","NAXE"
"215","CCNL1"
"216","SMIM14"
"217","DTX3L"
"218","ZC3H12A"
"219","TMEM184C"
"220","SUN1"
"221","WRN"
"222","LRR1"
"223","WBP1L"
"224","APBB1"
"225","TPP1"
"226","IFTAP"
"227","PRRX2"
"228","STIM1"
"229","PROCA1"
"230","TUBA1A"
"231","EEF2"
"232","NDUFV1"
"233","RAB3IL1"
"234","FAM110B"
"235","CD2BP2"
"236","LUZP1"
"237","CNBP"
"238","TM4SF1"
"239","GUSB"
"240","UBE2E3"
"241","DCLK2"
"242","COMMD5"
"243","FOXN2"
"244","TSEN34"
"245","TP53RK"
"246","STARD5"
"247","RHOD"
"248","MAP3K11"
"249","TRAM1L1"
"250","PDIK1L"
"251","LRRC37A3"
"252","WDR73"
"253","CAVIN1"
"254","POLR2L"
"255","ARL6IP6"
"256","COX5A"
"257","FBXO34"
"258","MYLPF"
"259","HIGD1A"
"260","UBE2E2"
"261","ZSCAN22"
"262","FBXL6"
"263","FBXL7"
"264","HMCES"
"265","POU6F1"
"266","NDUFA6"
"267","TMEM179B"
"268","MOSMO"
"269","PTCH1"
"270","C2orf76"
"271","NAP1L3"
"272","KPNA4"
"273","IL1RAP"
"274","SUPT3H"
"275","RABL6"
"276","ZNF682"
"277","PDCD1LG2"
"278","HMGN5"
"279","TPM2"
"280","FAM169A"
"281","ZNF358"
"282","KTI12"
"283","NEU1"
"284","DHX16"
"285","AKT1S1"
"286","LNP1"
"287","PPME1"
"288","TENM3"
"289","TAPBP"
"290","MRPS17"
"291","ZNF225"
"292","CCPG1"
"293","GTF2I"
"294","RNF115"
"295","TMEM185A"
"296","AL662884.4"
