"","x"
"1","BAIAP2L1"
"2","DYRK4"
"3","LYPLA2"
"4","PLEKHO1"
"5","GCLM"
"6","VIM"
"7","TBPL1"
"8","BOD1L1"
"9","SPATA7"
"10","DSG2"
"11","SCML1"
"12","JKAMP"
"13","ATP2B4"
"14","INPP5A"
"15","VPS35"
"16","CLEC2D"
"17","FAP"
"18","PAFAH1B3"
"19","KAT6A"
"20","MMP2"
"21","EPB41L1"
"22","NAT14"
"23","PITPNM2"
"24","LAMB1"
"25","CMTM6"
"26","EPB41L4B"
"27","CDC34"
"28","EIF3L"
"29","TIMP3"
"30","CNIH1"
"31","AHSA1"
"32","PAPLN"
"33","TTI1"
"34","AMMECR1"
"35","TIMP1"
"36","SLC25A15"
"37","KATNAL1"
"38","N4BP1"
"39","CLUAP1"
"40","STX4"
"41","TIMM44"
"42","ICAM5"
"43","DDX49"
"44","NCS1"
"45","BMPR1A"
"46","FBXW4"
"47","CPEB3"
"48","DKK1"
"49","GIT1"
"50","RGS9"
"51","PEX12"
"52","MAPK10"
"53","GAB1"
"54","DDX6"
"55","METAP2"
"56","ARFGEF3"
"57","PHF1"
"58","ARRDC3"
"59","C3orf52"
"60","SDHB"
"61","ABCD3"
"62","CAMSAP2"
"63","ECRG4"
"64","GALNT12"
"65","IDE"
"66","DUSP1"
"67","PCID2"
"68","KTN1"
"69","ECHS1"
"70","EAPP"
"71","TEP1"
"72","NECTIN2"
"73","CAMSAP1"
"74","GSE1"
"75","INPP5K"
"76","UNK"
"77","POMP"
"78","BEX2"
"79","TMTC1"
"80","LPIN1"
"81","CCNJL"
"82","TBX3"
"83","ITGA7"
"84","OS9"
"85","TBC1D4"
"86","C7orf25"
"87","PLCB2"
"88","TMEM132B"
"89","WARS1"
"90","NCOA2"
"91","NCOR1"
"92","P3H4"
"93","EMP3"
"94","TP53BP2"
"95","C1orf35"
"96","STAR"
"97","AK3"
"98","ZNF462"
"99","PGAP2"
"100","COMMD7"
"101","NEK7"
"102","FER"
"103","RASSF3"
"104","TSEN2"
"105","SLC38A10"
"106","ZNF618"
"107","WIPI2"
"108","CFAP298"
"109","CPSF4"
"110","SPSB3"
"111","RBP7"
"112","PEF1"
"113","BPNT1"
"114","GRPEL2"
"115","GPX8"
"116","GAPVD1"
"117","SUGT1"
"118","ZNF503"
"119","SNAPC4"
"120","SLC39A13"
"121","TAF1D"
"122","CEP57"
"123","TEF"
"124","ZNF507"
"125","PCSK9"
"126","SLC33A1"
"127","ZNF747"
"128","KIAA0232"
"129","ZNF581"
"130","TNFRSF10D"
"131","C12orf76"
"132","TMEM39A"
"133","DNAJC30"
"134","SAMD12"
"135","IMP3"
"136","HYI"
"137","DNHD1"
"138","ZNF48"
"139","FAM83H"
"140","PGBD4"
"141","BGN"
"142","RUVBL2"
"143","DDX41"
"144","SERHL2"
"145","SETD3"
"146","TOB2"
"147","SCFD2"
"148","CSF1"
"149","LSAMP"
"150","CCDC157"
"151","FOCAD"
"152","RALGAPA2"
"153","MME"
"154","NRARP"
"155","COL15A1"
"156","GABBR1"
"157","HACD2"
"158","VDAC1"
"159","ZNF630"
"160","TWIST2"
"161","MRPL20"
"162","DPP3"
"163","RASSF5"
"164","RBAK-RBAKDN"
