"","Source.DEGenes","Source.GenesOfInterest","DE.Interest","NonDE.Interest","DE.NotInterest","NonDE.NotInterest","p.value","odds.ratio","GeneRatio"
"1","Shared in All","Blake2018-DE.iPSCs-Unique",138,245,3586,7610,0.0565434420053847,1.195289640923,0.000287636627398014
"2","Shared in Time 0 & Time 1","Blake2018-DE.iPSCs-Unique",15,368,324,10872,0.155044231219422,1.3676986291991,3.1264850804132e-05
"3","Shared in Time 1 & Time 2","Blake2018-DE.iPSCs-Unique",6,377,290,10906,0.930430713069995,0.598530403554303,1.25059403216528e-05
"4","Unique to Time 0","Blake2018-DE.iPSCs-Unique",116,267,2643,8553,0.00192997047847097,1.40589882910288,0.000241781512885287
"5","Unique to Time 1","Blake2018-DE.iPSCs-Unique",2,381,162,11034,0.974143299583265,0.357559093885248,4.16864677388426e-06
"6","Unique to Time 2","Blake2018-DE.iPSCs-Unique",0,383,0,11196,1,0,0
"7","All Time 0","Blake2018-DE.iPSCs-Unique",114,269,4643,6553,0.999998792230691,0.598154924100745,0.000237612866111403
"8","All Time 1","Blake2018-DE.iPSCs-Unique",222,161,6834,4362,0.89699711254717,0.88012430844923,0.000462719791901153
"9","All Time 2","Blake2018-DE.iPSCs-Unique",239,144,7320,3876,0.895392835216262,0.878851459165137,0.000498153289479169
"10","Shared in All","Blake2018-DE.iPSC-endoderm-day1-Unique",76,183,3648,7672,0.853177167939099,0.873422902632874,0.000158408577407602
"11","Shared in Time 0 & Time 1","Blake2018-DE.iPSC-endoderm-day1-Unique",11,248,328,10992,0.139336871405513,1.48634441104148,2.29275572563634e-05
"12","Shared in Time 1 & Time 2","Blake2018-DE.iPSC-endoderm-day1-Unique",6,253,290,11030,0.653842570446338,0.902010585851143,1.25059403216528e-05
"13","Unique to Time 0","Blake2018-DE.iPSC-endoderm-day1-Unique",47,212,2712,8608,0.989322806942544,0.703711964135305,9.79631991862802e-05
"14","Unique to Time 1","Blake2018-DE.iPSC-endoderm-day1-Unique",6,253,158,11162,0.161901346013133,1.67528545300764,1.25059403216528e-05
"15","Unique to Time 2","Blake2018-DE.iPSC-endoderm-day1-Unique",0,259,0,11320,1,0,0
"16","All Time 0","Blake2018-DE.iPSC-endoderm-day1-Unique",125,134,4632,6688,0.0107542321142751,1.34683676941036,0.000260540423367766
"17","All Time 1","Blake2018-DE.iPSC-endoderm-day1-Unique",160,99,6896,4424,0.416498167703049,1.03681812311083,0.000333491741910741
"18","All Time 2","Blake2018-DE.iPSC-endoderm-day1-Unique",177,82,7382,3938,0.163739407428006,1.15150027913714,0.000368925239488757
"19","Shared in All","Blake2018-DE.iPSC-endoderm-day2-Unique",74,212,3650,7643,0.991976080376813,0.730923429570844,0.000154239930633718
"20","Shared in Time 0 & Time 1","Blake2018-DE.iPSC-endoderm-day2-Unique",6,280,333,10960,0.847869648773733,0.705289791275812,1.25059403216528e-05
"21","Shared in Time 1 & Time 2","Blake2018-DE.iPSC-endoderm-day2-Unique",9,277,287,11006,0.309826683306035,1.2459499450041,1.87589104824792e-05
"22","Unique to Time 0","Blake2018-DE.iPSC-endoderm-day2-Unique",61,225,2698,8595,0.859228507232928,0.863689306267671,0.00012714372660347
"23","Unique to Time 1","Blake2018-DE.iPSC-endoderm-day2-Unique",4,282,160,11133,0.580354146124257,0.986969189271831,8.33729354776852e-06
"24","Unique to Time 2","Blake2018-DE.iPSC-endoderm-day2-Unique",0,286,0,11293,1,0,0
"25","All Time 0","Blake2018-DE.iPSC-endoderm-day2-Unique",145,141,4612,6681,0.000553202107133564,1.48962099665644,0.000302226891106609
"26","All Time 1","Blake2018-DE.iPSC-endoderm-day2-Unique",193,93,6863,4430,0.0120389578904916,1.33953257941707,0.000402274413679831
"27","All Time 2","Blake2018-DE.iPSC-endoderm-day2-Unique",203,83,7356,3937,0.022388088443361,1.30898843804503,0.000423117647549253
"28","Shared in All","Blake2018-DE.iPSC-endoderm-day3-Unique",211,553,3513,7302,0.997842502528221,0.793077638294118,0.00043979223464479
"29","Shared in Time 0 & Time 1","Blake2018-DE.iPSC-endoderm-day3-Unique",20,744,319,10496,0.731879318159145,0.884486503649473,4.16864677388426e-05
"30","Shared in Time 1 & Time 2","Blake2018-DE.iPSC-endoderm-day3-Unique",21,743,275,10540,0.397162769375918,1.08323368144322,4.37707911257847e-05
"31","Unique to Time 0","Blake2018-DE.iPSC-endoderm-day3-Unique",155,609,2604,8211,0.992964680975547,0.802568261342173,0.00032307012497603
"32","Unique to Time 1","Blake2018-DE.iPSC-endoderm-day3-Unique",13,751,151,10664,0.286457472412975,1.22246925767701,2.70962040302477e-05
"33","Unique to Time 2","Blake2018-DE.iPSC-endoderm-day3-Unique",0,764,0,10815,1,0,0
"34","All Time 0","Blake2018-DE.iPSC-endoderm-day3-Unique",378,386,4379,6436,7.61680734692891e-07,1.43920233294487,0.000787874240264125
"35","All Time 1","Blake2018-DE.iPSC-endoderm-day3-Unique",499,265,6557,4258,0.00551611264987678,1.22277300456126,0.00104007737008412
"36","All Time 2","Blake2018-DE.iPSC-endoderm-day3-Unique",532,232,7027,3788,0.00470935463804264,1.23606892623832,0.00110886004185321
"37","Shared in All","Blake2020-DE.heart-Unique",348,809,3376,7046,0.949313455120683,0.897777835090638,0.000725344538655862
"38","Shared in Time 0 & Time 1","Blake2020-DE.heart-Unique",40,1117,299,10123,0.150679849922017,1.21237459158281,8.33729354776852e-05
"39","Shared in Time 1 & Time 2","Blake2020-DE.heart-Unique",33,1124,263,10159,0.277435709830177,1.13404617620681,6.87826717690903e-05
"40","Unique to Time 0","Blake2020-DE.heart-Unique",276,881,2483,7939,0.503357285767508,1.00166430056842,0.000575273254796028
"41","Unique to Time 1","Blake2020-DE.heart-Unique",20,1137,144,10278,0.203764477714625,1.25546898668677,4.16864677388426e-05
"42","Unique to Time 2","Blake2020-DE.heart-Unique",0,1157,0,10422,1,0,0
"43","All Time 0","Blake2020-DE.heart-Unique",493,664,4264,6158,0.139801819819986,1.07225596824197,0.00102757142976247
"44","All Time 1","Blake2020-DE.heart-Unique",716,441,6340,4082,0.253804275654859,1.04534366404827,0.00149237554505057
"45","All Time 2","Blake2020-DE.heart-Unique",776,381,6783,3639,0.0940802777986041,1.09269627246048,0.00161743494826709
"46","Shared in All","Blake2020-DE.kidney-Unique",53,98,3671,7757,0.243402742894226,1.14274786312852,0.000110469139507933
"47","Shared in Time 0 & Time 1","Blake2020-DE.kidney-Unique",2,149,337,11091,0.938642299806805,0.44177991792743,4.16864677388426e-06
"48","Shared in Time 1 & Time 2","Blake2020-DE.kidney-Unique",2,149,294,11134,0.902098559636284,0.508351298929078,4.16864677388426e-06
"49","Unique to Time 0","Blake2020-DE.kidney-Unique",50,101,2709,8719,0.00584037907944915,1.59325975329781,0.000104216169347107
"50","Unique to Time 1","Blake2020-DE.kidney-Unique",0,151,164,11264,1,0,0
"51","Unique to Time 2","Blake2020-DE.kidney-Unique",0,151,0,11428,1,0,0
"52","All Time 0","Blake2020-DE.kidney-Unique",46,105,4711,6717,0.997420305769508,0.62466664853853,9.5878875799338e-05
"53","All Time 1","Blake2020-DE.kidney-Unique",94,57,6962,4466,0.40385869586564,1.05788488735887,0.00019592639837256
"54","All Time 2","Blake2020-DE.kidney-Unique",96,55,7463,3965,0.703738425811954,0.92734588191645,0.000200095045146445
"55","Shared in All","Blake2020-DE.liver-Unique",155,306,3569,7549,0.261836681269679,1.07139574134059,0.00032307012497603
"56","Shared in Time 0 & Time 1","Blake2020-DE.liver-Unique",15,446,324,10794,0.374411863500831,1.12044122791575,3.1264850804132e-05
"57","Shared in Time 1 & Time 2","Blake2020-DE.liver-Unique",15,446,281,10837,0.202322482431179,1.297022981385,3.1264850804132e-05
"58","Unique to Time 0","Blake2020-DE.liver-Unique",121,340,2638,8480,0.117945323694424,1.1439660725981,0.000252203129819998
"59","Unique to Time 1","Blake2020-DE.liver-Unique",5,456,159,10959,0.787239817585272,0.755763203437654,1.04216169347107e-05
"60","Unique to Time 2","Blake2020-DE.liver-Unique",0,461,0,11118,1,0,0
"61","All Time 0","Blake2020-DE.liver-Unique",170,291,4587,6531,0.973193426598418,0.831793332620381,0.000354334975780162
"62","All Time 1","Blake2020-DE.liver-Unique",271,190,6785,4333,0.845044074068721,0.910874775067742,0.000564851637861317
"63","All Time 2","Blake2020-DE.liver-Unique",291,170,7268,3850,0.851512833735953,0.906765083312067,0.00060653810560016
"64","Shared in All","Blake2020-DE.lung-Unique",67,122,3657,7733,0.184322521370871,1.161254528106,0.000139649666925123
"65","Shared in Time 0 & Time 1","Blake2020-DE.lung-Unique",4,185,335,11055,0.808546588507556,0.713528324002113,8.33729354776852e-06
"66","Shared in Time 1 & Time 2","Blake2020-DE.lung-Unique",4,185,292,11098,0.71632144830663,0.821781271250066,8.33729354776852e-06
"67","Unique to Time 0","Blake2020-DE.lung-Unique",41,148,2718,8672,0.780765807943292,0.883887536458054,8.54572588646274e-05
"68","Unique to Time 1","Blake2020-DE.lung-Unique",5,184,159,11231,0.130655757168128,1.91929685730095,1.04216169347107e-05
"69","Unique to Time 2","Blake2020-DE.lung-Unique",0,189,0,11390,1,0,0
"70","All Time 0","Blake2020-DE.lung-Unique",77,112,4680,6710,0.566203511354515,0.985711086007361,0.000160492900794544
"71","All Time 1","Blake2020-DE.lung-Unique",109,80,6947,4443,0.842083301338212,0.871409727541061,0.000227191249176692
"72","All Time 2","Blake2020-DE.lung-Unique",118,71,7441,3949,0.817963691027626,0.882036523803573,0.000245950159659171
"73","Shared in All","Gokhman2021-DE.Parental.iPSCs-Unique",1490,2978,2234,4877,0.0159978262582469,1.09226317168811,0.00310564184654377
"74","Shared in Time 0 & Time 1","Gokhman2021-DE.Parental.iPSCs-Unique",138,4330,201,6910,0.223862782387571,1.09564310039854,0.000287636627398014
"75","Shared in Time 1 & Time 2","Gokhman2021-DE.Parental.iPSCs-Unique",109,4359,187,6924,0.754657903933798,0.925876369917817,0.000227191249176692
"76","Unique to Time 0","Gokhman2021-DE.Parental.iPSCs-Unique",1245,3223,1514,5597,5.55165487975358e-16,1.42794222290725,0.00259498261674295
"77","Unique to Time 1","Gokhman2021-DE.Parental.iPSCs-Unique",61,4407,103,7008,0.671700770221143,0.941765754234719,0.00012714372660347
"78","Unique to Time 2","Gokhman2021-DE.Parental.iPSCs-Unique",0,4468,0,7111,1,0,0
"79","All Time 0","Gokhman2021-DE.Parental.iPSCs-Unique",1595,2873,3162,3949,1,0.693376911883162,0.0033244958021727
"80","All Time 1","Gokhman2021-DE.Parental.iPSCs-Unique",2670,1798,4386,2725,0.98127555796214,0.92262003182351,0.00556514344313549
"81","All Time 2","Gokhman2021-DE.Parental.iPSCs-Unique",2869,1599,4690,2421,0.973537862817329,0.926205340530341,0.00597992379713697
"82","Shared in All","Gokhman2021-DE.Hybrid.iPSCs-Unique",887,1780,2837,6075,0.087359458793958,1.06705721613797,0.00184879484421767
"83","Shared in Time 0 & Time 1","Gokhman2021-DE.Hybrid.iPSCs-Unique",89,2578,250,8662,0.0876645413955445,1.19615990167133,0.00018550478143785
"84","Shared in Time 1 & Time 2","Gokhman2021-DE.Hybrid.iPSCs-Unique",56,2611,240,8672,0.964196954803944,0.774999886125981,0.000116722109668759
"85","Unique to Time 0","Gokhman2021-DE.Hybrid.iPSCs-Unique",771,1896,1988,6924,2.75530721927391e-12,1.41625993783809,0.00160701333133238
"86","Unique to Time 1","Gokhman2021-DE.Hybrid.iPSCs-Unique",36,2631,128,8784,0.659506504365778,0.939017131892218,7.50356419299167e-05
"87","Unique to Time 2","Gokhman2021-DE.Hybrid.iPSCs-Unique",0,2667,0,8912,1,0,0
"88","All Time 0","Gokhman2021-DE.Hybrid.iPSCs-Unique",920,1747,3837,5075,0.999999999999999,0.696553883196011,0.00191757751598676
"89","All Time 1","Gokhman2021-DE.Hybrid.iPSCs-Unique",1599,1068,5457,3455,0.8864995706065,0.947933924154192,0.00333283309572047
