"","Source.DEGenes","Source.GenesOfInterest","DE.Interest","NonDE.Interest","DE.NotInterest","NonDE.NotInterest","p.value","odds.ratio","GeneRatio"
"1","Shared in All","Blake2018-DE.iPSCs-Unique",4,349,164,10028,0.818940463815885,0.700833649739359,0.0238095238095238
"2","Shared in iPSC.c1 & MSC.c1","Blake2018-DE.iPSCs-Unique",8,345,233,9959,0.560642999250927,0.991131010110951,0.033195020746888
"3","Shared in MSC.c1 & Osteo.c1","Blake2018-DE.iPSCs-Unique",3,350,122,10070,0.794354341310707,0.707510769909616,0.024
"4","Unique to iPSC.c1","Blake2018-DE.iPSCs-Unique",70,283,1260,8932,6.25779101647168e-05,1.75331979591051,0.0526315789473684
"5","Unique to MSC.c1","Blake2018-DE.iPSCs-Unique",16,337,356,9836,0.182910152717162,1.31173319739716,0.043010752688172
"6","Unique to Osteo.c1","Blake2018-DE.iPSCs-Unique",1,352,153,10039,0.9949207063741,0.18641945090341,0.00649350649350649
"7","Shared in All","Blake2018-DE.iPSC-endoderm-day1-Unique",3,243,165,10134,0.755599896824607,0.75826516857475,0.0178571428571429
"8","Shared in iPSC.c1 & MSC.c1","Blake2018-DE.iPSC-endoderm-day1-Unique",3,243,238,10061,0.92364553803259,0.521909646173953,0.012448132780083
"9","Shared in MSC.c1 & Osteo.c1","Blake2018-DE.iPSC-endoderm-day1-Unique",5,241,120,10179,0.167646602016796,1.75972860053202,0.04
"10","Unique to iPSC.c1","Blake2018-DE.iPSC-endoderm-day1-Unique",23,223,1307,8992,0.955868850329056,0.709604831270731,0.0172932330827068
"11","Unique to MSC.c1","Blake2018-DE.iPSC-endoderm-day1-Unique",12,234,360,9939,0.160658136722474,1.41574069130938,0.032258064516129
"12","Unique to Osteo.c1","Blake2018-DE.iPSC-endoderm-day1-Unique",4,242,150,10149,0.48560024032383,1.11833380420719,0.025974025974026
"13","Shared in All","Blake2018-DE.iPSC-endoderm-day2-Unique",1,277,167,10100,0.989163755085856,0.21835262651024,0.00595238095238095
"14","Shared in iPSC.c1 & MSC.c1","Blake2018-DE.iPSC-endoderm-day2-Unique",4,274,237,10030,0.883810353258615,0.617837777272997,0.016597510373444
"15","Shared in MSC.c1 & Osteo.c1","Blake2018-DE.iPSC-endoderm-day2-Unique",2,276,123,10144,0.846212035245712,0.597640450461477,0.016
"16","Unique to iPSC.c1","Blake2018-DE.iPSC-endoderm-day2-Unique",20,258,1310,8957,0.998843328809408,0.530058221599471,0.0150375939849624
"17","Unique to MSC.c1","Blake2018-DE.iPSC-endoderm-day2-Unique",8,270,364,9903,0.77025915074522,0.806115740379075,0.021505376344086
"18","Unique to Osteo.c1","Blake2018-DE.iPSC-endoderm-day2-Unique",5,273,149,10118,0.383062037348331,1.24366992601274,0.0324675324675325
"19","Shared in All","Blake2018-DE.iPSC-endoderm-day3-Unique",6,716,162,9661,0.976831546946854,0.499791872619339,0.0357142857142857
"20","Shared in iPSC.c1 & MSC.c1","Blake2018-DE.iPSC-endoderm-day3-Unique",5,717,236,9587,0.999829663572523,0.283304255314882,0.020746887966805
"21","Shared in MSC.c1 & Osteo.c1","Blake2018-DE.iPSC-endoderm-day3-Unique",8,714,117,9706,0.630234709657294,0.929497501353299,0.064
"22","Unique to iPSC.c1","Blake2018-DE.iPSC-endoderm-day3-Unique",57,665,1273,8550,0.999989102596186,0.575722069461073,0.0428571428571429
"23","Unique to MSC.c1","Blake2018-DE.iPSC-endoderm-day3-Unique",32,690,340,9483,0.106247231408846,1.29346765732528,0.0860215053763441
"24","Unique to Osteo.c1","Blake2018-DE.iPSC-endoderm-day3-Unique",14,708,140,9683,0.169328163306805,1.36760056668184,0.0909090909090909
"25","Shared in All","Blake2020-DE.heart-Unique",16,1087,152,9290,0.692390952170729,0.899623289175937,0.0952380952380952
"26","Shared in iPSC.c1 & MSC.c1","Blake2020-DE.heart-Unique",24,1079,217,9225,0.633104141251996,0.945576422070095,0.0995850622406639
"27","Shared in MSC.c1 & Osteo.c1","Blake2020-DE.heart-Unique",12,1091,113,9329,0.667235079233316,0.908055085024524,0.096
"28","Unique to iPSC.c1","Blake2020-DE.heart-Unique",149,954,1181,8261,0.183742785468485,1.09250947691956,0.11203007518797
"29","Unique to MSC.c1","Blake2020-DE.heart-Unique",44,1059,328,9114,0.211969337656503,1.15446230747646,0.118279569892473
"30","Unique to Osteo.c1","Blake2020-DE.heart-Unique",17,1086,137,9305,0.445292491939998,1.06321322257513,0.11038961038961
"31","Shared in All","Blake2020-DE.kidney-Unique",4,138,164,10239,0.19079714817037,1.8094257068361,0.0238095238095238
"32","Shared in iPSC.c1 & MSC.c1","Blake2020-DE.kidney-Unique",3,139,238,10165,0.634148666449604,0.921807043900696,0.012448132780083
"33","Shared in MSC.c1 & Osteo.c1","Blake2020-DE.kidney-Unique",3,139,122,10281,0.237267338660606,1.81874342607273,0.024
