"","cell.subset","gene","logFC"
"1","preosteoblast","A1BG",3.16664310227332
"2","osteoblast","A1BG",2.92694789537663
"3","embedding osteoblast","A1BG",2.82003932787181
"4","mineralizing osteoblast","A1BG",2.97532810623574
"5","maturing osteocyte","A1BG",3.80082743670924
"6","preosteoblast","BCAP31",4.28320084112329
"7","osteoblast","BCAP31",4.26771460113635
"8","embedding osteoblast","BCAP31",4.26949037872587
"9","mineralizing osteoblast","BCAP31",4.37603313167249
"10","maturing osteocyte","BCAP31",5.10309156411971
"11","preosteoblast","BSDC1",2.03809029932626
"12","osteoblast","BSDC1",2.01307265222408
"13","embedding osteoblast","BSDC1",1.70026656491703
"14","mineralizing osteoblast","BSDC1",1.97013347561676
"15","maturing osteocyte","BSDC1",1.83901740636711
"16","preosteoblast","C10orf143",-1.98385594951153
"17","osteoblast","C10orf143",-2.71422800458274
"18","embedding osteoblast","C10orf143",-2.40140237607889
"19","mineralizing osteoblast","C10orf143",-2.12249300454878
"20","maturing osteocyte","C10orf143",-2.25081917390504
"21","preosteoblast","CCDC28B",1.87417890362662
"22","osteoblast","CCDC28B",1.8284080170239
"23","embedding osteoblast","CCDC28B",2.24166171565216
"24","mineralizing osteoblast","CCDC28B",2.03185296139847
"25","maturing osteocyte","CCDC28B",1.78530565196133
"26","preosteoblast","CENPT",2.72971891883972
"27","osteoblast","CENPT",3.26381515869171
"28","embedding osteoblast","CENPT",3.02930485073708
"29","mineralizing osteoblast","CENPT",2.79028671590732
"30","maturing osteocyte","CENPT",2.86578502774306
"31","preosteoblast","CTSF",-6.84627130205244
"32","osteoblast","CTSF",-7.09649608255437
"33","embedding osteoblast","CTSF",-7.41473021667502
"34","mineralizing osteoblast","CTSF",-6.74143162207409
"35","maturing osteocyte","CTSF",-7.3808141921433
"36","preosteoblast","DDT",-4.10199772650658
"37","osteoblast","DDT",-4.60339102999217
"38","embedding osteoblast","DDT",-4.56872244954683
"39","mineralizing osteoblast","DDT",-4.60839299031165
