"","cell.subset","gene","logFC"
"1","embedding osteoblast","ALG12",-0.829544839682524
"2","embedding osteoblast","CACNG8",3.70003498069929
"3","embedding osteoblast","CCND1",2.48962652737159
"4","embedding osteoblast","CERS5",0.746172752141035
"5","embedding osteoblast","CTNNA1",0.764268949147302
"6","embedding osteoblast","DYNLL1",0.831288126014881
"7","embedding osteoblast","EI24",0.733146462351499
"8","embedding osteoblast","ELP6",0.796183875505438
"9","embedding osteoblast","FYCO1",-0.956778597593308
"10","embedding osteoblast","HDAC10",1.53308404336782
"11","embedding osteoblast","HEXD",-0.923272334426068
"12","embedding osteoblast","HINT2",-1.22512577956791
"13","embedding osteoblast","HPS4",-0.993241816708779
"14","embedding osteoblast","ICAM3",1.3296440602531
"15","embedding osteoblast","MDFI",3.18637950886066
"16","embedding osteoblast","NDUFAF6",0.787454713203778
"17","embedding osteoblast","NOTCH3",4.16687128097699
"18","embedding osteoblast","OARD1",-1.16697324432046
"19","embedding osteoblast","PIH1D1",0.943194700286454
"20","embedding osteoblast","PLCG2",3.79310736650445
"21","embedding osteoblast","PXMP4",-1.48068595157069
"22","embedding osteoblast","RAB11FIP2",-0.79249871874919
"23","embedding osteoblast","SLC22A15",-0.866966345542553
"24","embedding osteoblast","SMIM7",-0.6164469626122
"25","embedding osteoblast","SRR",1.00951261086566
"26","embedding osteoblast","TAZ",-0.957475154130658
