"","cell.subset","gene","logFC"
"1","preosteoblast","AGRN",3.58804027147184
"2","preosteoblast","ARV1",1.44105306159687
"3","preosteoblast","BCL11A",1.65636248400398
"4","preosteoblast","C16orf91",1.14895009508656
"5","preosteoblast","CCDC191",-2.16929565410672
"6","preosteoblast","CEP19",-1.23691707396417
"7","preosteoblast","EHD2",-1.09730664144021
"8","preosteoblast","FAM174A",1.40241795090387
"9","preosteoblast","FAM219B",0.624916181266754
"10","preosteoblast","GBGT1",-2.57895307914597
"11","preosteoblast","GPC4",4.09974212199969
"12","preosteoblast","GSTM3",4.80241668251325
"13","preosteoblast","GSTO2",-2.10819992214919
"14","preosteoblast","HERPUD1",1.31243862148994
"15","preosteoblast","IMPACT",1.56092921412449
"16","preosteoblast","JTB",0.835266651250786
"17","preosteoblast","LAP3",-1.2460803891835
"18","preosteoblast","LBX2",-2.79190448725788
"19","preosteoblast","LSM11",-1.12270509432265
"20","preosteoblast","MKS1",-1.40915907889073
"21","preosteoblast","MRPL55",1.02333612430642
"22","preosteoblast","PSMB9",-3.87952808894399
"23","preosteoblast","SETD1B",-1.20267360830789
"24","preosteoblast","SIRT5",-0.985040750403124
"25","preosteoblast","SLC31A2",-2.40790878231121
"26","preosteoblast","SPATA5",-0.87255791477467
"27","preosteoblast","TM2D2",1.26135725696549
"28","preosteoblast","TRIM39",-0.617152609743811
"29","preosteoblast","UPRT",-0.984511682524227
"30","preosteoblast","VGF",-3.61749853800212
"31","preosteoblast","VTI1A",-0.803192994309669
"32","preosteoblast","ZNF611",-3.68342301163788
"33","preosteoblast","ZNF701",-2.02731986557436
