"","Source.DEGenes","Source.GenesOfInterest","DE.Interest","NonDE.Interest","DE.NotInterest","NonDE.NotInterest","p.value","odds.ratio","GeneRatio"
"1","Shared in All","Blake2018-DE.iPSCs-Unique",1,348,24,10139,0.57047540347952,1.21393431078338,0.04
"2","Shared in Pre/Obl/Emb/Min","Blake2018-DE.iPSCs-Unique",0,349,22,10141,1,0,0
"3","Shared in Obl/Emb/Min","Blake2018-DE.iPSCs-Unique",1,348,16,10147,0.436973815322623,1.82216650112177,0.0588235294117647
"4","Unique to Preosteoblasts","Blake2018-DE.iPSCs-Unique",1,348,32,10131,0.672390676711504,0.909759694369797,0.0303030303030303
"5","Unique to Osteoblasts","Blake2018-DE.iPSCs-Unique",0,349,73,10090,1,0,0
"6","Unique to Embedding Osteoblasts","Blake2018-DE.iPSCs-Unique",1,348,25,10138,0.58476968060221,1.16526773151948,0.0384615384615385
"7","Unique to Mineralizing Osteoblasts","Blake2018-DE.iPSCs-Unique",7,342,222,9941,0.641740449546139,0.91654155124451,0.0305676855895196
"8","Unique to Maturing Osteocytes","Blake2018-DE.iPSCs-Unique",1,348,35,10128,0.704048337845066,0.831539615895825,0.0277777777777778
"9","Shared in All","Blake2018-DE.iPSC-endoderm-day1-Unique",0,242,25,10245,1,0,0
"10","Shared in Pre/Obl/Emb/Min","Blake2018-DE.iPSC-endoderm-day1-Unique",0,242,22,10248,1,0,0
"11","Shared in Obl/Emb/Min","Blake2018-DE.iPSC-endoderm-day1-Unique",1,241,16,10254,0.327156572103943,2.65874259924546,0.0588235294117647
"12","Unique to Preosteoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",0,242,33,10237,1,0,0
"13","Unique to Osteoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",1,241,72,10198,0.818431167269553,0.587735245257993,0.0136986301369863
"14","Unique to Embedding Osteoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",0,242,26,10244,1,0,0
"15","Unique to Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day1-Unique",6,236,223,10047,0.432657825088996,1.14541904347103,0.0262008733624454
"16","Unique to Maturing Osteocytes","Blake2018-DE.iPSC-endoderm-day1-Unique",0,242,36,10234,1,0,0
"17","Shared in All","Blake2018-DE.iPSC-endoderm-day2-Unique",0,270,25,10217,1,0,0
"18","Shared in Pre/Obl/Emb/Min","Blake2018-DE.iPSC-endoderm-day2-Unique",0,270,22,10220,1,0,0
"19","Shared in Obl/Emb/Min","Blake2018-DE.iPSC-endoderm-day2-Unique",0,270,17,10225,1,0,0
"20","Unique to Preosteoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",1,269,32,10210,0.576840033277697,1.18608329502155,0.0303030303030303
"21","Unique to Osteoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",2,268,71,10171,0.563241242462356,1.06902128766075,0.0273972602739726
"22","Unique to Embedding Osteoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",0,270,26,10216,1,0,0
"23","Unique to Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day2-Unique",1,269,228,10014,0.99758281536977,0.16328239228152,0.00436681222707424
"24","Unique to Maturing Osteocytes","Blake2018-DE.iPSC-endoderm-day2-Unique",0,270,36,10206,1,0,0
"25","Shared in All","Blake2018-DE.iPSC-endoderm-day3-Unique",2,700,23,9787,0.5047405448016,1.21575045118496,0.08
"26","Shared in Pre/Obl/Emb/Min","Blake2018-DE.iPSC-endoderm-day3-Unique",2,700,20,9790,0.437416394211861,1.39850786828457,0.0909090909090909
"27","Shared in Obl/Emb/Min","Blake2018-DE.iPSC-endoderm-day3-Unique",0,702,17,9793,1,0,0
"28","Unique to Preosteoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",3,699,30,9780,0.380178328228079,1.39907808734719,0.0909090909090909
"29","Unique to Osteoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",3,699,70,9740,0.874157774990709,0.597180365502709,0.0410958904109589
"30","Unique to Embedding Osteoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",1,701,25,9785,0.834570642430309,0.558348164523623,0.0384615384615385
"31","Unique to Mineralizing Osteoblasts","Blake2018-DE.iPSC-endoderm-day3-Unique",20,682,209,9601,0.131509777670571,1.34709931247067,0.0873362445414847
"32","Unique to Maturing Osteocytes","Blake2018-DE.iPSC-endoderm-day3-Unique",2,700,34,9776,0.703463085050826,0.821519444624911,0.0555555555555556
"33","Shared in All","Blake2020-DE.heart-Unique",0,1108,25,9379,1,0,0
"34","Shared in Pre/Obl/Emb/Min","Blake2020-DE.heart-Unique",3,1105,19,9385,0.413607171266481,1.34098734688632,0.136363636363636
"35","Shared in Obl/Emb/Min","Blake2020-DE.heart-Unique",1,1107,16,9388,0.84968552135668,0.530061357214772,0.0588235294117647
"36","Unique to Preosteoblasts","Blake2020-DE.heart-Unique",2,1106,31,9373,0.876563111872771,0.546778849728686,0.0606060606060606
"37","Unique to Osteoblasts","Blake2020-DE.heart-Unique",9,1099,64,9340,0.362097772369539,1.19509807579331,0.123287671232877
"38","Unique to Embedding Osteoblasts","Blake2020-DE.heart-Unique",5,1103,21,9383,0.131886551000463,2.02527584309474,0.192307692307692
"39","Unique to Mineralizing Osteoblasts","Blake2020-DE.heart-Unique",27,1081,202,9202,0.296649239505971,1.13777468326869,0.117903930131004
"40","Unique to Maturing Osteocytes","Blake2020-DE.heart-Unique",1,1107,35,9369,0.98199025106252,0.241830808570978,0.0277777777777778
"41","Shared in All","Blake2020-DE.kidney-Unique",0,142,25,10345,1,0,0
"42","Shared in Pre/Obl/Emb/Min","Blake2020-DE.kidney-Unique",1,141,21,10349,0.258819425049167,3.49429204503361,0.0454545454545455
"43","Shared in Obl/Emb/Min","Blake2020-DE.kidney-Unique",1,141,16,10354,0.206565919925325,4.58837716137743,0.0588235294117647
"44","Unique to Preosteoblasts","Blake2020-DE.kidney-Unique",1,141,32,10338,0.362055332754565,2.29093567576914,0.0303030303030303
"45","Unique to Osteoblasts","Blake2020-DE.kidney-Unique",5,137,68,10302,0.00301493379741746,5.52697881279979,0.0684931506849315
"46","Unique to Embedding Osteoblasts","Blake2020-DE.kidney-Unique",3,139,23,10347,0.0049975572211498,9.7026295116842,0.115384615384615
"47","Unique to Mineralizing Osteoblasts","Blake2020-DE.kidney-Unique",2,140,227,10143,0.819574138290454,0.638346422454449,0.00873362445414847
"48","Unique to Maturing Osteocytes","Blake2020-DE.kidney-Unique",0,142,36,10334,1,0,0
"49","Shared in All","Blake2020-DE.liver-Unique",0,426,25,10061,1,0,0
"50","Shared in Pre/Obl/Emb/Min","Blake2020-DE.liver-Unique",0,426,22,10064,1,0,0
"51","Shared in Obl/Emb/Min","Blake2020-DE.liver-Unique",0,426,17,10069,1,0,0
"52","Unique to Preosteoblasts","Blake2020-DE.liver-Unique",0,426,33,10053,1,0,0
"53","Unique to Osteoblasts","Blake2020-DE.liver-Unique",2,424,71,10015,0.80175272712656,0.665376822262999,0.0273972602739726
"54","Unique to Embedding Osteoblasts","Blake2020-DE.liver-Unique",3,423,23,10063,0.0863391864238308,3.1023940916146,0.115384615384615
"55","Unique to Mineralizing Osteoblasts","Blake2020-DE.liver-Unique",12,414,217,9869,0.219273496536851,1.31819871991608,0.0524017467248908
"56","Unique to Maturing Osteocytes","Blake2020-DE.liver-Unique",1,425,35,10051,0.775038526086387,0.675714719882884,0.0277777777777778
"57","Shared in All","Blake2020-DE.lung-Unique",1,172,24,10315,0.339881563647404,2.49844047790814,0.04
"58","Shared in Pre/Obl/Emb/Min","Blake2020-DE.lung-Unique",0,173,22,10317,1,0,0
"59","Shared in Obl/Emb/Min","Blake2020-DE.lung-Unique",0,173,17,10322,1,0,0
"60","Unique to Preosteoblasts","Blake2020-DE.lung-Unique",0,173,33,10306,1,0,0
