"","Source.DEGenes","Source.GenesOfInterest","DE.Interest","NonDE.Interest","DE.NotInterest","NonDE.NotInterest","p.value","odds.ratio","GeneRatio"
"1","Shared in Osteo.c1c3c4","Blake2018-DE.iPSCs-Unique",0,254,76,7802,1,0,0
"2","Unique to Osteogenic.c1","Blake2018-DE.iPSCs-Unique",5,249,200,7678,0.773240378949643,0.770901337817962,0.024390243902439
"3","Unique to Osteogenic.c3","Blake2018-DE.iPSCs-Unique",3,251,70,7808,0.400158139090693,1.33312577903152,0.0410958904109589
"4","Unique to Osteogenic.c4","Blake2018-DE.iPSCs-Unique",0,254,41,7837,1,0,0
"5","Shared in Osteo.c1c3c4","Blake2018-DE.iPSC-endoderm-day1-Unique",4,186,72,7870,0.101609094675215,2.35026529644771,0.0526315789473684
"6","Unique to Osteogenic.c1","Blake2018-DE.iPSC-endoderm-day1-Unique",3,187,202,7740,0.862957453849838,0.614733270301158,0.0146341463414634
"7","Unique to Osteogenic.c3","Blake2018-DE.iPSC-endoderm-day1-Unique",1,189,72,7870,0.823357401780281,0.578365033194695,0.0136986301369863
"8","Unique to Osteogenic.c4","Blake2018-DE.iPSC-endoderm-day1-Unique",2,188,39,7903,0.2485101937467,2.15546943606599,0.0487804878048781
"9","Shared in Osteo.c1c3c4","Blake2018-DE.iPSC-endoderm-day2-Unique",0,222,76,7834,1,0,0
"10","Unique to Osteogenic.c1","Blake2018-DE.iPSC-endoderm-day2-Unique",7,215,198,7712,0.327375699096189,1.26808000602384,0.0341463414634146
"11","Unique to Osteogenic.c3","Blake2018-DE.iPSC-endoderm-day2-Unique",2,220,71,7839,0.596991858477884,1.0037128969223,0.0273972602739726
"12","Unique to Osteogenic.c4","Blake2018-DE.iPSC-endoderm-day2-Unique",0,222,41,7869,1,0,0
"13","Shared in Osteo.c1c3c4","Blake2018-DE.iPSC-endoderm-day3-Unique",6,549,70,7507,0.41800511693961,1.17202763421559,0.0789473684210526
"14","Unique to Osteogenic.c1","Blake2018-DE.iPSC-endoderm-day3-Unique",13,542,192,7385,0.650138819952385,0.922562912200943,0.0634146341463415
"15","Unique to Osteogenic.c3","Blake2018-DE.iPSC-endoderm-day3-Unique",3,552,70,7507,0.883746009549555,0.582846072116941,0.0410958904109589
"16","Unique to Osteogenic.c4","Blake2018-DE.iPSC-endoderm-day3-Unique",2,553,39,7538,0.780109109578514,0.699040188660142,0.0487804878048781
"17","Shared in Osteo.c1c3c4","Blake2020-DE.heart-Unique",7,913,69,7143,0.7714760168263,0.793737934832408,0.0921052631578947
"18","Unique to Osteogenic.c1","Blake2020-DE.heart-Unique",29,891,176,7036,0.119692635658442,1.30111975749882,0.141463414634146
"19","Unique to Osteogenic.c3","Blake2020-DE.heart-Unique",3,917,70,7142,0.991910692265107,0.333819850465227,0.0410958904109589
"20","Unique to Osteogenic.c4","Blake2020-DE.heart-Unique",4,916,37,7175,0.697012339085937,0.846796037910928,0.0975609756097561
"21","Shared in Osteo.c1c3c4","Blake2020-DE.kidney-Unique",1,109,75,7947,0.646506305071042,0.972113421373615,0.0131578947368421
"22","Unique to Osteogenic.c1","Blake2020-DE.kidney-Unique",3,107,202,7820,0.527696020027796,1.08538123298193,0.0146341463414634
"23","Unique to Osteogenic.c3","Blake2020-DE.kidney-Unique",3,107,70,7952,0.0759127208649459,3.18418896446323,0.0410958904109589
"24","Unique to Osteogenic.c4","Blake2020-DE.kidney-Unique",1,109,40,7982,0.428660457270532,1.83063192847576,0.024390243902439
"25","Shared in Osteo.c1c3c4","Blake2020-DE.liver-Unique",3,331,73,7725,0.609640750136236,0.959115706504859,0.0394736842105263
