"","cell.subset","gene","logFC","FDR"
"1","Time 0","ABHD6",1.53400236178202,0.00964647852433685
"2","Time 1","ABHD6",2.59081795167245,0.00114480790193196
"3","Time 2","ABHD6",2.59806446397497,0.00247216731067974
"4","Time 0","ABT1",1.37371141537663,5.63609836389241e-05
"5","Time 1","ABT1",1.27637946962313,0.00042599790480164
"6","Time 2","ABT1",0.772018743283052,0.00380942010293575
"7","Time 0","AC005702.1",-3.10511872097573,2.79371282885877e-05
"8","Time 1","AC005702.1",-3.71681621925694,2.19867200045571e-05
"9","Time 2","AC005702.1",-3.26146682267482,0.000438800529066295
"10","Time 0","AC015802.6",-5.55021635426528,4.08970642428617e-05
"11","Time 1","AC015802.6",-5.44707904464023,0.000558040653876477
"12","Time 2","AC015802.6",-5.81856918859395,0.00087928547443927
"13","Time 0","AC233723.1",-3.08903993319635,4.55242934325379e-05
"14","Time 1","AC233723.1",-3.28565862496834,0.000284478433243115
"15","Time 2","AC233723.1",-2.69954291807052,0.00638032575863167
"16","Time 0","ADPRM",1.32327371579435,2.77533898287844e-05
"17","Time 1","ADPRM",1.55303982333805,0.00755050897980061
"18","Time 2","ADPRM",1.61248196348682,0.000364386368544948
"19","Time 0","ADSS1",-2.42177209743282,5.36705644293518e-05
"20","Time 1","ADSS1",-2.81670622922905,0.00129659613540262
"21","Time 2","ADSS1",-3.92843519867637,0.00222571598460425
"22","Time 0","AKR7A3",-5.0532745516314,1.69480985828829e-06
"23","Time 1","AKR7A3",-4.20053631614486,0.000122342085448989
"24","Time 2","AKR7A3",-3.80161887972007,0.00123557808987043
"25","Time 0","AL445524.2",2.53103640649766,0.00222999060609418
"26","Time 1","AL445524.2",2.38416705379473,0.00509458874494309
"27","Time 2","AL445524.2",2.60275731377978,0.00653980943691629
"28","Time 0","ANAPC2",-1.06316294463126,6.78774330158457e-05
"29","Time 1","ANAPC2",-1.30349387529923,0.00120996806112588
"30","Time 2","ANAPC2",-1.14179208416118,0.00173355867473257
