"","cell.subset","gene","logFC","FDR"
"1","Time 1","A1BG",3.51023999739499,0.000160878476660783
"2","Time 2","A1BG",2.98842728436008,0.00159839489963356
"3","Time 1","ABCA5",-2.1041275172195,0.00474660516895929
"4","Time 2","ABCA5",-2.75027938219966,0.00551405200624455
"5","Time 1","ACO1",-1.44951413478227,0.00122502752116656
"6","Time 2","ACO1",-1.22445299475321,0.00748299357941219
"7","Time 1","AKIP1",1.58101099153114,0.00254596194177264
"8","Time 2","AKIP1",1.72598938761956,0.00387447710805309
"9","Time 1","ALG12",-1.07122506886817,0.00023246978583626
"10","Time 2","ALG12",-0.73629668961625,0.00984140274472228
"11","Time 1","AMH",3.34399865767287,0.000191097107674255
"12","Time 2","AMH",4.17000425845244,9.4596264543999e-05
"13","Time 1","AP4M1",0.9194416274841,0.00208715179585159
"14","Time 2","AP4M1",0.797342072644096,0.00765306334524522
"15","Time 1","BCAS4",1.39209166723292,0.0029293160360079
"16","Time 2","BCAS4",1.4731752145468,0.00219764447657025
"17","Time 1","CCDC115",1.06842214472255,0.00482412120552888
"18","Time 2","CCDC115",0.76018793026882,0.00357083736504203
"19","Time 1","CCDC189",-1.88565877639696,0.00721258418288639
"20","Time 2","CCDC189",-2.45244291220214,0.0040063843714301
"21","Time 1","CCDC28B",1.33756941347743,0.00133942569056117
"22","Time 2","CCDC28B",2.05231457926881,0.000736216925338512
"23","Time 1","CD151",1.90183283175089,0.000582149074181756
"24","Time 2","CD151",1.97717080813381,0.00431599168023862
"25","Time 1","CDC7",-2.43168598157137,0.00454981491745588
"26","Time 2","CDC7",-2.42373646025622,0.00652653264846556
"27","Time 1","CDK9",0.899482629253599,0.000283251261967003
"28","Time 2","CDK9",0.918037003701262,0.00222571598460425
"29","Time 1","CENPT",2.17358683512752,0.000431500604212615
"30","Time 2","CENPT",2.74529434060844,8.78766366584264e-06
"31","Time 1","CEP135",-1.28651574608232,0.00193118523052309
"32","Time 2","CEP135",-1.24001314640106,0.00903429794177392
"33","Time 1","CERS5",0.931909893439395,0.000467698738896112
"34","Time 2","CERS5",0.763673627681489,0.00532971015275487
"35","Time 1","CNIH2",2.21362591217818,0.0099262867731911
"36","Time 2","CNIH2",2.83959528782524,0.0071039950639945
"37","Time 1","COQ7",1.35996482633261,0.000854956628516405
"38","Time 2","COQ7",1.49400113889358,0.000208757174931498
"39","Time 1","COX20",2.15968178646824,0.00137842169732792
"40","Time 2","COX20",2.1185937295729,0.00351904521363507
"41","Time 1","CXorf56",-0.807235451757112,0.00936044473464996
"42","Time 2","CXorf56",-0.745412932833359,0.000201365035416509
"43","Time 1","DAP3",1.1623811643301,0.00276897982346269
"44","Time 2","DAP3",0.894218237231449,0.0071039950639945
"45","Time 1","DAPL1",1.54425559207187,0.00618398932143222
"46","Time 2","DAPL1",1.59119421908559,0.00270472152769102
"47","Time 1","DDHD1",-1.24807696955565,0.00576502588587795
"48","Time 2","DDHD1",-1.33179815988898,0.00568530643790604
"49","Time 1","DKK3",4.47197670041055,0.00283744780346683
"50","Time 2","DKK3",6.2227042683042,0.0027247973914691
"51","Time 1","DMAC2L",-0.821601257809909,0.0054876684591434
"52","Time 2","DMAC2L",-0.911838754071498,0.00247939465107487
"53","Time 1","DPCD",1.25223598561698,0.00450131042327672
"54","Time 2","DPCD",1.77656400936733,0.00652002592624195
"55","Time 1","DRAP1",1.12935125087911,0.00283744780346683
"56","Time 2","DRAP1",1.17355995489727,0.00603141885402451
"57","Time 1","EDA2R",3.73752287365748,0.00230331885873305
"58","Time 2","EDA2R",4.81480852271056,0.0031404638570877
"59","Time 1","EFCAB14",-0.922351237158356,0.00211561865889036
"60","Time 2","EFCAB14",-0.869356581947516,0.00149983243313676
"61","Time 1","EHD1",-0.398357947505417,0.00588032356187258
"62","Time 2","EHD1",-1.07364528662389,0.00302747057279625
"63","Time 1","EIF4A3",-1.04550362754148,0.00403724937979337
"64","Time 2","EIF4A3",-1.57234283922014,0.000845389683387556
"65","Time 1","EMC4",0.732510390961494,0.00410368868572754
"66","Time 2","EMC4",0.595494099423243,0.00551405200624455
"67","Time 1","FAM234A",0.906896200978435,0.00221855464089902
"68","Time 2","FAM234A",0.773923205735576,0.00945282371735173
"69","Time 1","FBF1",-1.51594263271861,0.000110089697516895
"70","Time 2","FBF1",-0.84198705899749,0.00113212169796022
"71","Time 1","FEZ2",1.46359133001087,0.00523525220044623
"72","Time 2","FEZ2",1.26710878816387,0.0027247973914691
"73","Time 1","FUOM",3.8584281592442,0.00021991717694384
"74","Time 2","FUOM",3.9196146989725,0.000181014365327256
"75","Time 1","GALE",-1.07313977990352,0.00156048249133879
"76","Time 2","GALE",-1.52530619374895,0.00317702685767364
"77","Time 1","GALK1",-0.797776624036492,0.00431938940823017
"78","Time 2","GALK1",-0.738624101363022,0.00891254502049494
"79","Time 1","GALK2",-0.772272952621892,0.00539400300598778
"80","Time 2","GALK2",-0.969222942105404,0.00459018761053023
"81","Time 1","GLTP",1.28127170656047,0.000505385948305289
"82","Time 2","GLTP",1.05085142570566,0.00180606205314617
"83","Time 1","GPC1",2.90601599914905,0.00154291281774471
"84","Time 2","GPC1",4.48905807966098,0.00201522382424264
"85","Time 1","GSTO2",-3.97737973827571,6.4663438693474e-05
"86","Time 2","GSTO2",-2.48232083616064,0.00235318738241264
"87","Time 1","H2AC20",2.37739845823017,0.00957140657733165
"88","Time 2","H2AC20",2.56130732387276,0.00684925899013311
"89","Time 1","HINT2",-1.80717856091153,0.000246654642912038
"90","Time 2","HINT2",-1.25147288955218,0.00528267743346497
"91","Time 1","HNMT",-4.72803294746974,0.00103595150288626
"92","Time 2","HNMT",-4.38169132087767,0.000938605283492443
"93","Time 1","HYAL2",0.94722346854596,0.00178509122806769
"94","Time 2","HYAL2",0.9869475333318,0.00732796107957184
"95","Time 1","IGSF8",2.43670233137996,0.00244779419016106
"96","Time 2","IGSF8",2.65411687154472,0.00653980943691629
"97","Time 1","INTU",1.61918562639593,0.00377434718755819
"98","Time 2","INTU",2.02278016985139,0.00165369407034073
"99","Time 1","IQCB1",1.01759434200891,0.008241130745646
"100","Time 2","IQCB1",1.74858949346416,0.00104265466698323
"101","Time 1","KRBOX4",-0.872409850032373,0.00172275353310254
"102","Time 2","KRBOX4",-0.879213129169709,4.27345092118318e-06
"103","Time 1","LLPH",-0.581907675230441,0.0029293160360079
"104","Time 2","LLPH",-0.714965966161565,0.00273874646953858
"105","Time 1","MAPK8",1.05500883837057,0.00317676660422914
"106","Time 2","MAPK8",0.900451512293421,0.00244075945397212
"107","Time 1","MBLAC1",-1.68187832200879,0.000813383363392379
"108","Time 2","MBLAC1",-1.76165035693477,0.000388135553143574
"109","Time 1","MED17",-0.56648802545166,0.00467308610481175
"110","Time 2","MED17",-0.986389679155891,0.0023462428326864
"111","Time 1","METRN",1.31364262274302,0.00263831093413032
"112","Time 2","METRN",2.47556128054909,0.00314065325203188
"113","Time 1","MLLT11",3.12152735771085,0.00467484590388947
"114","Time 2","MLLT11",3.68047377674703,0.00122929296210858
"115","Time 1","MLYCD",-0.736054898963762,0.0076698671677594
"116","Time 2","MLYCD",-0.963677394838601,0.000814105319288237
"117","Time 1","MROH6",1.84346354432328,0.00320774807715651
"118","Time 2","MROH6",2.45012215102271,0.000300720024093319
"119","Time 1","MTG2",-0.788842571536808,0.000306095982041247
"120","Time 2","MTG2",-0.935591872479048,0.00670623234423604
"121","Time 1","MTREX",-0.742529824720566,0.00519790936610548
"122","Time 2","MTREX",-0.401949170177854,0.00215722413271858
"123","Time 1","MTSS1",-2.47851426761816,0.0014552900859184
"124","Time 2","MTSS1",-4.09093894761528,0.00603141885402451
"125","Time 1","NACA2",-1.50136215306586,0.000505385948305289
"126","Time 2","NACA2",-1.88133160791592,0.00215722413271858
"127","Time 1","NELFA",-0.407861096766707,0.00119567050650334
"128","Time 2","NELFA",-0.7600381735711,0.00638036790162439
"129","Time 1","NMB",2.88992898818322,0.000211168430605073
"130","Time 2","NMB",2.41145051623568,0.000461789487571675
"131","Time 1","NQO2",-1.84320486084656,0.00128183143858205
"132","Time 2","NQO2",-1.73165110647764,0.00612280517982638
"133","Time 1","OCEL1",-1.29031440468591,0.00259104582962801
"134","Time 2","OCEL1",-1.08948990246066,0.00630566322048678
"135","Time 1","OXSM",-1.20839770809795,0.00829243802378895
"136","Time 2","OXSM",-1.24813024971922,0.00302747057279625
"137","Time 1","PACS1",1.75791502274078,0.0027391072530834
"138","Time 2","PACS1",1.85302295919333,0.00537409651002752
"139","Time 1","PARP3",-3.41343042903707,0.000450927801147045
"140","Time 2","PARP3",-3.64050594344177,0.00112548705461698
