"","cell.subset","gene","logFC","FDR"
"1","Time 2","ABHD14B",1.86595468400564,0.00638032575863167
"2","Time 2","ABHD18",-0.897540437639598,0.00613531071639872
"3","Time 2","ACTR2",1.0410305690115,0.00702913184778115
"4","Time 2","ADI1",1.41754057299056,0.00149076285192445
"5","Time 2","ADM2",3.31133469024521,0.00630566322048678
"6","Time 2","APMAP",-0.955679792974911,0.00222571598460425
"7","Time 2","ARHGAP12",-0.896125864452801,0.00215722413271858
"8","Time 2","ARL2",1.13693804374364,0.0040063843714301
"9","Time 2","ARV1",1.26801498974761,0.00612280517982638
"10","Time 2","ATE1",-0.884429780712516,0.00710772822154434
"11","Time 2","BCL2L13",-0.724748583801545,0.00116498028239209
"12","Time 2","BST2",-6.35804446757713,0.00670623234423604
"13","Time 2","C12orf75",2.95198767194808,0.00741686628130188
"14","Time 2","C19orf73",1.64756683512754,0.00128463737208691
"15","Time 2","C9orf16",1.95943850619575,0.000123332768380884
"16","Time 2","CARD8",0.985348706519823,0.00698593688707833
"17","Time 2","CC2D2A",1.42051220938966,0.00365402360212651
"18","Time 2","CDC42EP4",-2.11690231203113,0.00945282371735173
"19","Time 2","CLTCL1",3.58184157422786,0.00184613508995944
"20","Time 2","COQ8B",-0.967280503831021,0.00368565658191844
"21","Time 2","CYB5D2",1.09216895926602,0.00112548705461698
"22","Time 2","DAXX",-1.06659471168878,0.00651516796447762
"23","Time 2","DCK",1.32688747678087,0.00215722413271858
"24","Time 2","DDX10",-0.44490253876809,0.00544000119542385
"25","Time 2","DIP2C",1.30846066682083,0.00218458531630382
"26","Time 2","DLL3",3.55476011880256,0.00214205142761242
"27","Time 2","DNAJC9",-0.940684223819326,0.00638032575863167
"28","Time 2","DSP",3.17316028198791,0.00695523255527766
"29","Time 2","DTX2",-1.00658438887097,0.005082797110461
"30","Time 2","E4F1",-0.750540833836521,0.0065058559719022
"31","Time 2","EMP2",-5.10201443727667,0.00321081497466778
"32","Time 2","FBXO7",-0.687616627859724,0.00719025271185034
"33","Time 2","GID4",-0.797318881287362,0.00859542633918062
"34","Time 2","GTF2H4",-0.63014750002702,0.00170803823612389
"35","Time 2","GTF2H5",0.76939952593944,0.00781068878361596
"36","Time 2","H2BC11",-2.16896524903427,0.00638032575863167
"37","Time 2","HES4",3.42411149089178,0.00362330269504286
"38","Time 2","IFI27L2",0.931753383963811,0.0026875423469752
"39","Time 2","IFRD1",1.01034690710402,0.00205078840182457
"40","Time 2","IGFBP7",3.80919688168064,0.00651516796447762
"41","Time 2","KIAA1586",1.04266329869912,0.00888711675303648
"42","Time 2","KRBA1",0.869294442432509,0.00168587896816535
"43","Time 2","L3MBTL2",0.59765857361143,0.0086986393452971
"44","Time 2","LCORL",-0.948427308502499,0.005082797110461
"45","Time 2","LRP12",1.3177451714547,0.00551405200624455
"46","Time 2","LZTS1",4.15932553642325,0.00087928547443927
"47","Time 2","M6PR",-0.695061551757128,0.00150187954940125
"48","Time 2","MAN2B2",1.28987445812764,0.0040063843714301
"49","Time 2","MANBAL",-0.695971507116084,0.0091200587050692
"50","Time 2","MIS18BP1",-2.88469040633259,0.00215722413271858
"51","Time 2","MLLT10",-0.362082930280967,0.00859542633918062
"52","Time 2","MPST",-1.12250834254794,0.00612211101607806
"53","Time 2","MSANTD3",2.05482089908079,0.00853397713316431
"54","Time 2","MVB12A",-0.780310972066204,0.00156235314628221
"55","Time 2","NAT10",-0.63940576732264,0.00454297034609982
"56","Time 2","NGLY1",-0.69097309986348,0.00431599168023862
"57","Time 2","NPC1",-1.280852599847,0.00219764447657025
"58","Time 2","NUBP1",-0.580646701483093,0.00638032575863167
"59","Time 2","NUDT6",0.863935841503868,0.000166961107021833
"60","Time 2","OAZ3",2.13145192423556,0.00122929296210858
"61","Time 2","OGFR",-0.999374722347193,0.00284598992345274
"62","Time 2","PABPC1L",2.15744050001791,0.00659187445694533
"63","Time 2","PANX2",3.39378267410054,0.00979196302860767
"64","Time 2","PFDN2",1.33894163647803,0.00244608839918235
"65","Time 2","PGM2",-0.946801204102872,0.00537409651002752
"66","Time 2","PHF20L1",0.620706300336873,0.00556847644839399
"67","Time 2","PKDCC",-2.74302293565589,0.00630566322048678
"68","Time 2","PLAA",0.362008950726058,0.0035248517855591
"69","Time 2","POLR2A",0.792617570836728,0.00525330471754802
"70","Time 2","POLR2D",-0.70331473844551,0.00284598992345274
"71","Time 2","POMGNT1",0.638914945464189,0.00765306334524522
"72","Time 2","POP5",0.951436768943967,0.00389816212111632
"73","Time 2","PPIH",-0.761677471223868,0.00556847644839399
"74","Time 2","PRKAG2",-1.44485583410947,0.000166961107021833
"75","Time 2","PRPF39",-0.964833097156241,0.00295854574968395
"76","Time 2","PTS",1.37399648126436,0.00687439197903302
"77","Time 2","PYM1",-0.520678923837614,0.00180606205314617
"78","Time 2","RBM8A",0.635455830783712,0.00963724391079176
"79","Time 2","RFX2",2.15346126971119,0.00719025271185034
"80","Time 2","S100A11",1.62154642428709,0.00670623234423604
"81","Time 2","SCAMP2",-0.994886340026864,0.00247216731067974
"82","Time 2","SEL1L3",5.29414647109236,0.00661877527645208
"83","Time 2","SEMA5A",2.92367842301139,0.00910317212002744
"84","Time 2","SHC1",1.15113612499953,0.00737783534004343
"85","Time 2","SHROOM4",2.74133147043058,0.00670623234423604
"86","Time 2","SLC20A2",1.95929070139301,0.00812120060444693
"87","Time 2","SLC37A4",-1.22452096958376,0.00684925899013311
"88","Time 2","SLC39A3",0.556098821234214,0.00905967038369045
"89","Time 2","SLC7A11",3.51357757620459,0.0040063843714301
"90","Time 2","SLC7A5",4.42065815704133,0.00302747057279625
"91","Time 2","SMIM12",-0.557540256358248,0.00718772506728755
"92","Time 2","SMIM7",-0.547897456099291,0.00113212169796022
"93","Time 2","STAT1",1.81030003817838,0.00431599168023862
"94","Time 2","SUPT4H1",-0.725871167144419,0.00556847644839399
"95","Time 2","TAF4B",-1.33871510515181,0.00664756701821933
"96","Time 2","TELO2",1.06697810445385,0.00251196810843344
"97","Time 2","TLE4",1.63868276949874,0.00768696460722742
"98","Time 2","TMCO6",-1.75993161042804,0.00267927701527332
"99","Time 2","TMEM250",0.604291972316173,0.00222571598460425
"100","Time 2","TMEM59L",3.26132561876163,0.00459018761053023
"101","Time 2","TRABD2A",-3.30142699918608,0.000358415555817025
"102","Time 2","TRIB3",2.33672148548335,0.00431599168023862
"103","Time 2","TRIO",0.969519388520555,0.00661808566507746
"104","Time 2","TSEN54",-1.30139451118702,0.00351904521363507
"105","Time 2","TTYH3",1.70449547578852,0.00587371271309382
"106","Time 2","TUBE1",1.37319286221141,0.00149076285192445
"107","Time 2","UBAC2",0.988937918990669,0.00219764447657025
"108","Time 2","USP36",-0.757526737463644,0.00963724391079176
"109","Time 2","ZNF107",-1.50557909895633,0.00702913184778115
"110","Time 2","ZNF117",2.35369397608503,0.000143131610096725
"111","Time 2","ZNF480",-1.04715199490271,0.00189305512094981
"112","Time 2","ZNF625",0.847436492381875,0.00113123026743928
"113","Time 2","ZNF711",2.83998960343992,0.00909734391040423
"114","Time 2","ZNF92",-1.21495582403625,0.00222571598460425
"115","Time 2","ZNF93",-1.59866786133123,0.00893377461049193
