"","Source.DEGenes","Source.GenesOfInterest","DE.Interest","NonDE.Interest","DE.NotInterest","NonDE.NotInterest","p.value","odds.ratio","GeneRatio"
"1","Shared in All","Blake2018-DE.iPSCs-Unique",2,351,148,10025,0.963707474605441,0.385986074414342,0.0133333333333333
"2","Shared in Time 0 & Time 1","Blake2018-DE.iPSCs-Unique",9,344,239,9934,0.452818153794949,1.08742435502655,0.0362903225806452
"3","Shared in Time 1 & Time 2","Blake2018-DE.iPSCs-Unique",3,350,101,10072,0.682956965340868,0.854777456528818,0.0288461538461538
"4","Unique to Time 0","Blake2018-DE.iPSCs-Unique",75,278,1222,8951,1.09116344713752e-06,1.97602159540222,0.0578257517347725
"5","Unique to Time 1","Blake2018-DE.iPSCs-Unique",15,338,354,9819,0.257315360212861,1.23091662134064,0.040650406504065
"6","Unique to Time 2","Blake2018-DE.iPSCs-Unique",0,353,115,10058,1,0,0
"7","Shared in All","Blake2018-DE.iPSC-endoderm-day1-Unique",3,244,147,10132,0.688104976357279,0.847452293104279,0.02
"8","Shared in Time 0 & Time 1","Blake2018-DE.iPSC-endoderm-day1-Unique",3,244,245,10034,0.933959007811381,0.503565558013057,0.0120967741935484
"9","Shared in Time 1 & Time 2","Blake2018-DE.iPSC-endoderm-day1-Unique",4,243,100,10179,0.227728637398012,1.67544176750817,0.0384615384615385
"10","Unique to Time 0","Blake2018-DE.iPSC-endoderm-day1-Unique",24,223,1273,9006,0.916490776573877,0.761413065138394,0.0185042405551272
"11","Unique to Time 1","Blake2018-DE.iPSC-endoderm-day1-Unique",11,236,358,9921,0.249776496115327,1.29163761364318,0.029810298102981
"12","Unique to Time 2","Blake2018-DE.iPSC-endoderm-day1-Unique",3,244,112,10167,0.508974961209132,1.11609495735685,0.0260869565217391
"13","Shared in All","Blake2018-DE.iPSC-endoderm-day2-Unique",1,277,149,10099,0.982471945855251,0.2447059219046,0.00666666666666667
"14","Shared in Time 0 & Time 1","Blake2018-DE.iPSC-endoderm-day2-Unique",4,274,244,10004,0.897472141523335,0.598557873848592,0.0161290322580645
"15","Shared in Time 1 & Time 2","Blake2018-DE.iPSC-endoderm-day2-Unique",1,277,103,10145,0.939040235041921,0.355600430401656,0.00961538461538462
"16","Unique to Time 0","Blake2018-DE.iPSC-endoderm-day2-Unique",17,261,1280,8968,0.999823553094704,0.4563701897987,0.0131071703932151
"17","Unique to Time 1","Blake2018-DE.iPSC-endoderm-day2-Unique",8,270,361,9887,0.76428183303214,0.811501372218018,0.021680216802168
"18","Unique to Time 2","Blake2018-DE.iPSC-endoderm-day2-Unique",3,275,112,10136,0.58942002332317,0.987273915254602,0.0260869565217391
"19","Shared in All","Blake2018-DE.iPSC-endoderm-day3-Unique",5,715,145,9661,0.979351849023824,0.465951840971073,0.0333333333333333
"20","Shared in Time 0 & Time 1","Blake2018-DE.iPSC-endoderm-day3-Unique",7,713,241,9565,0.998525739564507,0.389675437653761,0.0282258064516129
"21","Shared in Time 1 & Time 2","Blake2018-DE.iPSC-endoderm-day3-Unique",8,712,96,9710,0.418822957877113,1.13645478777986,0.0769230769230769
"22","Unique to Time 0","Blake2018-DE.iPSC-endoderm-day3-Unique",58,662,1239,8567,0.999942890337399,0.605825195400374,0.0447185813415574
"23","Unique to Time 1","Blake2018-DE.iPSC-endoderm-day3-Unique",30,690,339,9467,0.183908358901237,1.21415971659529,0.0813008130081301
"24","Unique to Time 2","Blake2018-DE.iPSC-endoderm-day3-Unique",9,711,106,9700,0.387894041580457,1.15832920291104,0.0782608695652174
"25","Shared in All","Blake2020-DE.heart-Unique",13,1085,137,9291,0.798793009511644,0.812600302585145,0.0866666666666667
"26","Shared in Time 0 & Time 1","Blake2020-DE.heart-Unique",24,1074,224,9204,0.683634718508119,0.918193824062902,0.0967741935483871
"27","Shared in Time 1 & Time 2","Blake2020-DE.heart-Unique",8,1090,96,9332,0.862224692860408,0.71347590025685,0.0769230769230769
"28","Unique to Time 0","Blake2020-DE.heart-Unique",142,956,1155,8273,0.271536614196316,1.06393170071685,0.109483423284503
"29","Unique to Time 1","Blake2020-DE.heart-Unique",41,1057,328,9100,0.356889772546704,1.07617576997503,0.111111111111111
"30","Unique to Time 2","Blake2020-DE.heart-Unique",13,1085,102,9326,0.423363794934503,1.09544664039843,0.11304347826087
"31","Shared in All","Blake2020-DE.kidney-Unique",4,138,146,10238,0.144630598727648,2.03235910082093,0.0266666666666667
"32","Shared in Time 0 & Time 1","Blake2020-DE.kidney-Unique",2,140,246,10138,0.851999241649757,0.588755044609403,0.00806451612903226
"33","Shared in Time 1 & Time 2","Blake2020-DE.kidney-Unique",3,139,101,10283,0.165499630578398,2.19723168192637,0.0288461538461538
"34","Unique to Time 0","Blake2020-DE.kidney-Unique",28,114,1269,9115,0.00750980044368079,1.7640821139796,0.0215882806476484
"35","Unique to Time 1","Blake2020-DE.kidney-Unique",2,140,367,10017,0.962091214473858,0.389941537710531,0.00542005420054201
"36","Unique to Time 2","Blake2020-DE.kidney-Unique",2,140,113,10271,0.461436867609281,1.29844409971,0.0173913043478261
"37","Shared in All","Blake2020-DE.liver-Unique",4,422,146,9954,0.862272617794267,0.6462527638707,0.0266666666666667
"38","Shared in Time 0 & Time 1","Blake2020-DE.liver-Unique",16,410,232,9868,0.0444419429919934,1.65977380495374,0.0645161290322581
"39","Shared in Time 1 & Time 2","Blake2020-DE.liver-Unique",8,418,96,10004,0.0596581590743073,1.99424102936626,0.0769230769230769
"40","Unique to Time 0","Blake2020-DE.liver-Unique",55,371,1242,8858,0.37524713324702,1.05731859089611,0.0424055512721665
"41","Unique to Time 1","Blake2020-DE.liver-Unique",21,405,348,9752,0.0723554655888902,1.45296785506078,0.0569105691056911
"42","Unique to Time 2","Blake2020-DE.liver-Unique",5,421,110,9990,0.500047935233682,1.07856728784359,0.0434782608695652
"43","Shared in All","Blake2020-DE.lung-Unique",1,165,149,10211,0.909426875106605,0.415358032620045,0.00666666666666667
"44","Shared in Time 0 & Time 1","Blake2020-DE.lung-Unique",4,162,244,10116,0.552563362840349,1.02368320756357,0.0161290322580645
"45","Shared in Time 1 & Time 2","Blake2020-DE.lung-Unique",3,163,101,10259,0.225813258975465,1.86935231839921,0.0288461538461538
"46","Unique to Time 0","Blake2020-DE.lung-Unique",26,140,1271,9089,0.11686185081859,1.3280122463581,0.0200462606013878
"47","Unique to Time 1","Blake2020-DE.lung-Unique",6,160,363,9997,0.528344266687907,1.03275497814043,0.016260162601626
"48","Unique to Time 2","Blake2020-DE.lung-Unique",3,163,112,10248,0.272315912901835,1.68393399735132,0.0260869565217391
"49","Shared in All","Gokhman2021-DE.Parental.iPSCs-Unique",33,4049,117,6327,0.999996646415481,0.440767746188816,0.22
"50","Shared in Time 0 & Time 1","Gokhman2021-DE.Parental.iPSCs-Unique",99,3983,149,6295,0.377963323785161,1.05008535125923,0.399193548387097
"51","Shared in Time 1 & Time 2","Gokhman2021-DE.Parental.iPSCs-Unique",34,4048,70,6374,0.917694321138667,0.764830723863629,0.326923076923077
"52","Unique to Time 0","Gokhman2021-DE.Parental.iPSCs-Unique",634,3448,663,5781,1.86325550459822e-15,1.60314578604005,0.488820354664611
"53","Unique to Time 1","Gokhman2021-DE.Parental.iPSCs-Unique",156,3926,213,6231,0.0891515969728541,1.16236893794675,0.422764227642276
"54","Unique to Time 2","Gokhman2021-DE.Parental.iPSCs-Unique",43,4039,72,6372,0.654461167382981,0.942187481307073,0.373913043478261
"55","Shared in All","Gokhman2021-DE.Hybrid.iPSCs-Unique",25,2381,125,7995,0.975667002334737,0.671601451241265,0.166666666666667
"56","Shared in Time 0 & Time 1","Gokhman2021-DE.Hybrid.iPSCs-Unique",56,2350,192,7928,0.567014697867955,0.983969688212714,0.225806451612903
"57","Shared in Time 1 & Time 2","Gokhman2021-DE.Hybrid.iPSCs-Unique",18,2388,86,8034,0.933321250273713,0.704190807448045,0.173076923076923
"58","Unique to Time 0","Gokhman2021-DE.Hybrid.iPSCs-Unique",422,1984,875,7245,7.50482537674184e-18,1.76099524932971,0.325366229760987
"59","Unique to Time 1","Gokhman2021-DE.Hybrid.iPSCs-Unique",89,2317,280,7840,0.297359963607024,1.0755301880747,0.241192411924119
"60","Unique to Time 2","Gokhman2021-DE.Hybrid.iPSCs-Unique",29,2377,86,8034,0.305380892655399,1.13973997286124,0.252173913043478
"61","Shared in All","Gokhman2021-DE.Parental.CNCCs-Unique",6,375,144,10001,0.460799402795059,1.11120991993852,0.04
"62","Shared in Time 0 & Time 1","Gokhman2021-DE.Parental.CNCCs-Unique",8,373,240,9905,0.680423907308798,0.885173419496264,0.032258064516129
"63","Shared in Time 1 & Time 2","Gokhman2021-DE.Parental.CNCCs-Unique",4,377,100,10045,0.522869556188943,1.06574197733211,0.0384615384615385
"64","Unique to Time 0","Gokhman2021-DE.Parental.CNCCs-Unique",29,352,1268,8877,0.999040091832558,0.57679588698277,0.0223592906707787
"65","Unique to Time 1","Gokhman2021-DE.Parental.CNCCs-Unique",17,364,352,9793,0.183589045605913,1.29929572512096,0.046070460704607
"66","Unique to Time 2","Gokhman2021-DE.Parental.CNCCs-Unique",4,377,111,10034,0.602820698275895,0.959116562972928,0.0347826086956522
"67","Shared in All","Gokhman2021-DE.Hybrid.CNCCs-Unique",4,923,146,9453,0.999428877590516,0.280612518584017,0.0266666666666667
"68","Shared in Time 0 & Time 1","Gokhman2021-DE.Hybrid.CNCCs-Unique",14,913,234,9365,0.976540695065449,0.613713926498058,0.0564516129032258
"69","Shared in Time 1 & Time 2","Gokhman2021-DE.Hybrid.CNCCs-Unique",19,908,85,9514,0.00166330757672668,2.34177441580745,0.182692307692308
"70","Unique to Time 0","Gokhman2021-DE.Hybrid.CNCCs-Unique",77,850,1220,8379,0.999982270206109,0.622192000660003,0.0593677717810332
"71","Unique to Time 1","Gokhman2021-DE.Hybrid.CNCCs-Unique",35,892,334,9265,0.346434289714749,1.08845991617556,0.0948509485094851
"72","Unique to Time 2","Gokhman2021-DE.Hybrid.CNCCs-Unique",16,911,99,9500,0.0443063106036117,1.68523982304801,0.139130434782609
"73","Shared in All","Gokhman2020-DMR.bone",3,222,147,10154,0.625922608035608,0.93344943480904,0.02
"74","Shared in Time 0 & Time 1","Gokhman2020-DMR.bone",6,219,242,10059,0.437873327054145,1.13878174994705,0.0241935483870968
"75","Shared in Time 1 & Time 2","Gokhman2020-DMR.bone",1,224,103,10198,0.895478135398859,0.442031472556663,0.00961538461538462
"76","Unique to Time 0","Gokhman2020-DMR.bone",32,193,1265,9036,0.216456695898695,1.18431308967941,0.0246723207401696
"77","Unique to Time 1","Gokhman2020-DMR.bone",15,210,354,9947,0.0128584744610882,2.00688073693141,0.040650406504065
"78","Unique to Time 2","Gokhman2020-DMR.bone",2,223,113,10188,0.708998718955865,0.808617688770225,0.0173913043478261
"79","Shared in All","Hsu2019-GWAS.hip.geometry",0,5,150,10371,1,0,0
"80","Shared in Time 0 & Time 1","Hsu2019-GWAS.hip.geometry",1,4,247,10274,0.112402071597122,10.3902918431042,0.00403225806451613
"81","Shared in Time 1 & Time 2","Hsu2019-GWAS.hip.geometry",0,5,104,10417,1,0,0
"82","Unique to Time 0","Hsu2019-GWAS.hip.geometry",0,5,1297,9224,1,0,0
"83","Unique to Time 1","Hsu2019-GWAS.hip.geometry",0,5,369,10152,1,0,0
"84","Unique to Time 2","Hsu2019-GWAS.hip.geometry",0,5,115,10406,1,0,0
"85","Shared in All","Styrkarsdottir2019-GWAS.bone.area",0,6,150,10370,1,0,0
"86","Shared in Time 0 & Time 1","Styrkarsdottir2019-GWAS.bone.area",0,6,248,10272,1,0,0
"87","Shared in Time 1 & Time 2","Styrkarsdottir2019-GWAS.bone.area",0,6,104,10416,1,0,0
"88","Unique to Time 0","Styrkarsdottir2019-GWAS.bone.area",2,4,1295,9225,0.162579565480072,3.56149117499023,0.0015420200462606
"89","Unique to Time 1","Styrkarsdottir2019-GWAS.bone.area",0,6,369,10151,1,0,0
"90","Unique to Time 2","Styrkarsdottir2019-GWAS.bone.area",0,6,115,10405,1,0,0
"91","Shared in All","Yengo2018-GWAS.height",10,1010,140,9366,0.925663677167618,0.662398490187861,0.0666666666666667
"92","Shared in Time 0 & Time 1","Yengo2018-GWAS.height",14,1006,234,9272,0.992639104332496,0.551451692081619,0.0564516129032258
"93","Shared in Time 1 & Time 2","Yengo2018-GWAS.height",5,1015,99,9407,0.977849600432927,0.468104650843251,0.0480769230769231
"94","Unique to Time 0","Yengo2018-GWAS.height",121,899,1176,8330,0.69570207786259,0.953365002271312,0.0932922127987664
"95","Unique to Time 1","Yengo2018-GWAS.height",31,989,338,9168,0.826331166076154,0.85018733251908,0.0840108401084011
"96","Unique to Time 2","Yengo2018-GWAS.height",5,1015,110,9396,0.989667272501522,0.420803714168549,0.0434782608695652
"97","Shared in All","Steinberg2020-GWAS.OA",3,331,147,10045,0.859769257985152,0.619353781015855,0.02
"98","Shared in Time 0 & Time 1","Steinberg2020-GWAS.OA",2,332,246,9946,0.997150478894234,0.243577865030166,0.00806451612903226
"99","Shared in Time 1 & Time 2","Steinberg2020-GWAS.OA",2,332,102,10090,0.847253644673032,0.595932804182413,0.0192307692307692
"100","Unique to Time 0","Steinberg2020-GWAS.OA",47,287,1250,8942,0.181878268388999,1.17145857253107,0.0362374710871241
"101","Unique to Time 1","Steinberg2020-GWAS.OA",12,322,357,9835,0.507489420831523,1.02667543361769,0.032520325203252
"102","Unique to Time 2","Steinberg2020-GWAS.OA",2,332,113,10079,0.884421590001778,0.537337464002772,0.0173913043478261
"103","Shared in All","Morris2020-GWAS.OP",5,430,145,9946,0.748441672787802,0.797606114529137,0.0333333333333333
"104","Shared in Time 0 & Time 1","Morris2020-GWAS.OP",6,429,242,9849,0.947378617658237,0.56921835005356,0.0241935483870968
"105","Shared in Time 1 & Time 2","Morris2020-GWAS.OP",1,434,103,9988,0.987861165124998,0.223452356655346,0.00961538461538462
"106","Unique to Time 0","Morris2020-GWAS.OP",56,379,1241,8850,0.382562810581433,1.05371435573235,0.0431765612952968
"107","Unique to Time 1","Morris2020-GWAS.OP",14,421,355,9736,0.668330225882106,0.912012575937584,0.037940379403794
"108","Unique to Time 2","Morris2020-GWAS.OP",8,427,107,9984,0.103195147061948,1.74804370369646,0.0695652173913043
