ensmbl,gene,DE.Day0,DE.Day1,DE.Day2,DE.Day3
ENSG00000000003,TSPAN6,0,0,1,0
ENSG00000000419,DPM1,1,1,1,1
ENSG00000000457,SCYL3,1,1,1,1
ENSG00000000460,C1orf112,0,0,0,1
ENSG00000001036,FUCA2,0,0,1,1
ENSG00000001084,GCLC,0,1,1,0
ENSG00000001167,NFYA,0,0,0,0
ENSG00000001461,NIPAL3,0,0,0,0
ENSG00000001497,LAS1L,1,1,1,1
ENSG00000001561,ENPP4,1,0,1,0
ENSG00000001617,SEMA3F,0,0,0,0
ENSG00000001629,ANKIB1,0,0,0,0
ENSG00000001630,CYP51A1,1,1,0,0
ENSG00000001631,KRIT1,0,0,0,0
ENSG00000002330,BAD,0,0,1,0
ENSG00000002549,LAP3,1,1,1,0
ENSG00000002822,MAD1L1,0,0,0,0
ENSG00000002834,LASP1,0,0,0,0
ENSG00000002919,SNX11,1,1,1,1
ENSG00000003056,M6PR,0,0,0,0
ENSG00000003096,KLHL13,1,1,1,1
ENSG00000003147,ICA1,1,1,1,1
ENSG00000003393,ALS2,0,0,0,0
ENSG00000003400,CASP10,1,1,1,1
ENSG00000003402,CFLAR,0,1,0,1
ENSG00000003509,NDUFAF7,1,0,1,1
ENSG00000003756,RBM5,0,0,0,0
ENSG00000003989,SLC7A2,1,0,0,0
ENSG00000004059,ARF5,0,0,0,0
ENSG00000004142,POLDIP2,0,0,0,0
ENSG00000004399,PLXND1,1,1,1,1
ENSG00000004455,AK2,0,0,0,0
ENSG00000004478,FKBP4,1,0,0,1
ENSG00000004487,KDM1A,0,0,0,0
ENSG00000004534,RBM6,0,0,0,0
ENSG00000004660,CAMKK1,0,0,0,0
ENSG00000004700,RECQL,1,1,1,0
ENSG00000004766,VPS50,1,0,0,0
ENSG00000004777,ARHGAP33,0,1,1,0
ENSG00000004779,NDUFAB1,0,0,0,0
ENSG00000004864,SLC25A13,0,0,0,1
ENSG00000004866,ST7,0,0,0,1
ENSG00000004897,CDC27,1,0,1,0
ENSG00000004948,CALCR,0,0,1,1
ENSG00000004961,HCCS,0,0,0,0
ENSG00000004975,DVL2,0,0,0,1
ENSG00000005007,UPF1,0,0,0,0
ENSG00000005020,SKAP2,1,1,0,0
ENSG00000005022,SLC25A5,1,0,0,1
ENSG00000005059,MCUB,1,0,0,0
ENSG00000005075,POLR2J,0,0,0,0
ENSG00000005100,DHX33,0,0,0,0
ENSG00000005156,LIG3,1,1,1,0
ENSG00000005175,RPAP3,1,1,1,1
ENSG00000005187,ACSM3,1,1,1,1
ENSG00000005189,REXO5,1,1,1,1
ENSG00000005206,SPPL2B,0,0,0,0
ENSG00000005238,FAM214B,0,0,0,0
ENSG00000005249,PRKAR2B,1,1,0,1
ENSG00000005302,MSL3,0,0,0,0
ENSG00000005339,CREBBP,0,0,0,0
ENSG00000005379,TSPOAP1,0,0,0,0
ENSG00000005436,GCFC2,0,0,0,0
ENSG00000005448,WDR54,0,0,0,0
ENSG00000005469,CROT,0,0,0,0
ENSG00000005483,KMT2E,0,0,0,1
ENSG00000005486,RHBDD2,0,0,1,0
ENSG00000005700,IBTK,1,0,0,0
ENSG00000005801,ZNF195,0,0,0,0
ENSG00000005810,MYCBP2,0,0,0,0
ENSG00000005812,FBXL3,0,0,0,0
ENSG00000005882,PDK2,0,0,1,1
ENSG00000005884,ITGA3,1,1,1,1
ENSG00000005889,ZFX,0,0,0,0
ENSG00000005893,LAMP2,1,1,1,1
ENSG00000005955,,0,0,0,0
ENSG00000006007,GDE1,0,0,1,1
ENSG00000006015,REX1BD,1,1,1,1
ENSG00000006016,CRLF1,0,0,0,0
ENSG00000006025,OSBPL7,0,0,0,0
ENSG00000006042,TMEM98,1,1,1,1
ENSG00000006062,MAP3K14,0,0,0,1
ENSG00000006114,,1,1,1,0
ENSG00000006118,TMEM132A,1,1,1,1
ENSG00000006125,AP2B1,0,0,0,0
ENSG00000006194,ZNF263,0,1,1,1
ENSG00000006282,SPATA20,0,0,0,1
ENSG00000006327,TNFRSF12A,0,0,0,0
ENSG00000006432,MAP3K9,0,0,0,0
ENSG00000006451,RALA,0,0,0,0
ENSG00000006453,BAIAP2L1,1,0,0,0
ENSG00000006459,KDM7A,0,0,0,0
ENSG00000006468,ETV1,0,1,1,1
ENSG00000006530,AGK,1,1,1,1
ENSG00000006576,PHTF2,0,0,0,0
ENSG00000006607,FARP2,0,0,0,0
ENSG00000006625,GGCT,1,1,1,1
ENSG00000006634,DBF4,1,1,1,1
ENSG00000006652,IFRD1,0,0,1,0
ENSG00000006695,COX10,1,1,0,0
ENSG00000006704,GTF2IRD1,0,0,0,0
ENSG00000006712,PAF1,0,1,0,0
ENSG00000006715,VPS41,0,0,0,1
ENSG00000006740,ARHGAP44,0,0,0,0
ENSG00000006744,ELAC2,1,1,1,1
ENSG00000006757,PNPLA4,1,1,1,1
ENSG00000006831,ADIPOR2,0,0,0,0
ENSG00000006837,CDKL3,1,1,1,1
ENSG00000007047,MARK4,0,0,0,0
ENSG00000007062,PROM1,1,1,1,1
ENSG00000007080,CCDC124,1,1,1,1
ENSG00000007168,PAFAH1B1,0,0,0,0
ENSG00000007202,KIAA0100,0,0,0,0
ENSG00000007237,GAS7,0,1,0,0
ENSG00000007341,ST7L,1,1,1,1
ENSG00000007376,RPUSD1,1,1,1,1
ENSG00000007384,RHBDF1,0,0,0,0
ENSG00000007392,LUC7L,0,0,0,0
ENSG00000007402,CACNA2D2,0,0,0,0
ENSG00000007516,BAIAP3,0,0,0,0
ENSG00000007520,TSR3,1,1,1,1
ENSG00000007541,PIGQ,1,1,0,0
ENSG00000007545,CRAMP1,0,0,0,0
ENSG00000007866,TEAD3,0,0,0,0
ENSG00000007923,DNAJC11,0,1,1,1
ENSG00000007944,MYLIP,0,1,1,1
ENSG00000007968,E2F2,0,0,0,0
ENSG00000008018,PSMB1,0,0,0,0
ENSG00000008083,JARID2,0,0,1,1
ENSG00000008086,CDKL5,0,0,0,0
ENSG00000008128,CDK11A,0,0,0,0
ENSG00000008130,NADK,0,0,0,1
ENSG00000008256,CYTH3,0,0,0,0
ENSG00000008277,ADAM22,0,0,0,0
ENSG00000008282,SYPL1,0,1,0,0
ENSG00000008283,CYB561,1,1,1,1
ENSG00000008294,SPAG9,0,0,0,0
ENSG00000008300,CELSR3,0,1,1,0
ENSG00000008311,AASS,1,0,1,1
ENSG00000008323,PLEKHG6,1,0,1,0
ENSG00000008324,SS18L2,0,0,0,0
ENSG00000008382,MPND,0,0,0,0
ENSG00000008394,MGST1,1,1,1,0
ENSG00000008405,CRY1,0,0,1,1
ENSG00000008516,MMP25,0,0,0,0
ENSG00000008710,PKD1,0,0,0,0
ENSG00000008838,MED24,1,1,0,0
ENSG00000008853,RHOBTB2,1,0,0,0
ENSG00000008869,HEATR5B,1,0,1,1
ENSG00000008952,SEC62,0,0,0,0
ENSG00000008988,RPS20,1,1,1,1
ENSG00000009307,CSDE1,0,0,0,0
ENSG00000009335,UBE3C,0,0,0,0
ENSG00000009413,REV3L,1,1,1,1
ENSG00000009724,MASP2,0,0,0,0
ENSG00000009780,FAM76A,0,0,0,0
ENSG00000009790,TRAF3IP3,0,0,0,0
ENSG00000009830,POMT2,0,0,1,0
ENSG00000009844,VTA1,0,0,0,0
ENSG00000009954,BAZ1B,0,0,0,0
ENSG00000010017,RANBP9,0,0,0,1
ENSG00000010072,SPRTN,1,1,1,0
ENSG00000010165,METTL13,1,1,1,1
ENSG00000010219,DYRK4,1,1,0,0
ENSG00000010244,ZNF207,0,0,0,0
ENSG00000010256,UQCRC1,0,0,0,1
ENSG00000010270,STARD3NL,1,1,0,0
ENSG00000010278,CD9,1,0,1,1
ENSG00000010292,NCAPD2,0,0,0,0
ENSG00000010295,IFFO1,0,0,0,0
ENSG00000010318,PHF7,1,1,1,1
ENSG00000010322,NISCH,1,1,1,1
ENSG00000010361,FUZ,0,1,0,0
ENSG00000010404,IDS,1,1,1,1
ENSG00000010539,ZNF200,0,0,0,0
ENSG00000010803,SCMH1,0,0,0,0
ENSG00000010810,FYN,0,0,1,0
ENSG00000010818,HIVEP2,0,0,0,0
ENSG00000011007,ELOA,0,0,0,0
ENSG00000011009,LYPLA2,0,0,0,0
ENSG00000011021,CLCN6,0,0,0,0
ENSG00000011028,MRC2,1,0,0,0
ENSG00000011052,NME1-NME2,1,1,1,1
ENSG00000011105,TSPAN9,1,0,0,0
ENSG00000011114,BTBD7,1,1,1,1
ENSG00000011132,APBA3,1,1,1,1
ENSG00000011143,MKS1,0,1,1,1
ENSG00000011198,ABHD5,0,1,1,1
ENSG00000011201,ANOS1,0,0,1,1
ENSG00000011243,AKAP8L,0,0,0,0
ENSG00000011258,MBTD1,0,1,1,0
ENSG00000011275,RNF216,0,0,0,1
ENSG00000011304,PTBP1,1,1,1,1
ENSG00000011376,LARS2,0,0,0,0
ENSG00000011405,PIK3C2A,1,1,1,0
ENSG00000011422,PLAUR,0,0,1,1
ENSG00000011426,ANLN,0,0,0,0
ENSG00000011451,WIZ,0,0,0,0
ENSG00000011454,RABGAP1,0,0,0,0
ENSG00000011478,QPCTL,0,0,0,0
ENSG00000011485,PPP5C,0,0,0,1
ENSG00000011523,CEP68,0,0,0,0
ENSG00000011566,MAP4K3,1,1,1,1
ENSG00000011638,TMEM159,1,1,1,1
ENSG00000012061,ERCC1,1,1,1,0
ENSG00000012171,SEMA3B,0,0,0,0
ENSG00000012174,MBTPS2,0,0,0,0
ENSG00000012211,PRICKLE3,0,0,0,0
ENSG00000012232,EXTL3,0,0,0,0
ENSG00000012660,ELOVL5,0,1,0,0
ENSG00000012822,CALCOCO1,0,0,0,0
