ensembl,gene,DE.iPSC
ENSG00000166535,A2ML1,1
ENSG00000128274,A4GALT,1
ENSG00000109576,AADAT,1
ENSG00000158122,AAED1,1
ENSG00000103591,AAGAB,1
ENSG00000090861,AARS,1
ENSG00000008311,AASS,1
ENSG00000165029,ABCA1,1
ENSG00000107331,ABCA2,1
ENSG00000154265,ABCA5,1
ENSG00000115657,ABCB6,1
ENSG00000125257,ABCC4,1
ENSG00000091262,ABCC6,1
ENSG00000006071,ABCC8,1
ENSG00000119688,ABCD4,1
ENSG00000161204,ABCF3,1
ENSG00000118777,ABCG2,1
ENSG00000172350,ABCG4,1
ENSG00000143994,ABHD1,1
ENSG00000106077,ABHD11,1
ENSG00000131969,ABHD12B,1
ENSG00000248487,ABHD14A,1
ENSG00000114786,ABHD14A-ACY1,1
ENSG00000158201,ABHD3,1
ENSG00000100439,ABHD4,1
ENSG00000011198,ABHD5,1
ENSG00000163686,ABHD6,1
ENSG00000127220,ABHD8,1
ENSG00000136754,ABI1,1
ENSG00000108798,ABI3,1
ENSG00000099204,ABLIM1,1
ENSG00000146109,ABT1,1
ENSG00000258240,AC002351.1,1
ENSG00000228554,AC004837.2,1
ENSG00000243004,AC005062.1,1
ENSG00000224046,AC005076.1,1
ENSG00000240449,AC005586.1,1
ENSG00000243224,AC006252.1,1
ENSG00000236213,AC006369.1,1
ENSG00000236540,AC006547.1,1
ENSG00000256969,AC007207.2,1
ENSG00000224063,AC007319.1,1
ENSG00000239219,AC008040.1,1
ENSG00000250309,AC008453.1,1
ENSG00000253348,AC008514.1,1
ENSG00000254760,AC008750.1,1
ENSG00000247796,AC008966.1,1
ENSG00000224152,AC009506.1,1
ENSG00000131152,AC010531.1,1
ENSG00000236106,AC010729.1,1
ENSG00000224509,AC010884.1,1
ENSG00000243230,AC011005.4,1
ENSG00000234327,AC012146.1,1
ENSG00000173867,AC013489.1,1
ENSG00000250751,AC015795.1,1
ENSG00000093100,AC016026.1,1
ENSG00000212978,AC016747.1,1
ENSG00000232767,AC016825.1,1
ENSG00000246560,AC018797.2,1
ENSG00000219445,AC019155.2,1
ENSG00000230551,AC021078.1,1
ENSG00000186019,AC021092.1,1
ENSG00000250328,AC022101.1,1
ENSG00000254317,AC022973.4,1
ENSG00000257390,AC023055.1,1
ENSG00000245904,AC025164.1,1
ENSG00000258053,AC025575.2,1
ENSG00000256185,AC055720.2,1
ENSG00000257337,AC068888.1,1
ENSG00000234072,AC074117.1,1
ENSG00000225205,AC078883.1,1
ENSG00000196096,AC079610.1,1
ENSG00000249207,AC079921.1,1
ENSG00000245651,AC083805.1,1
ENSG00000254898,AC087362.1,1
ENSG00000247363,AC090061.1,1
ENSG00000247134,AC090204.1,1
ENSG00000250838,AC091133.2,1
ENSG00000251603,AC092611.2,1
ENSG00000249453,AC092834.1,1
ENSG00000242622,AC092910.3,1
ENSG00000233184,AC093157.1,1
ENSG00000250137,AC093607.1,1
ENSG00000248932,AC097103.2,1
ENSG00000251095,AC097478.1,1
ENSG00000177822,AC098864.1,1
ENSG00000247033,AC099508.1,1
ENSG00000253507,AC104257.1,1
ENSG00000236319,AC105021.1,1
ENSG00000249996,AC106786.2,1
ENSG00000255224,AC109322.1,1
ENSG00000248927,AC114284.1,1
ENSG00000244380,AC134772.1,1
ENSG00000256546,AC156455.1,1
ENSG00000231064,AC234582.1,1
ENSG00000111271,ACAD10,1
ENSG00000151498,ACAD8,1
ENSG00000117054,ACADM,1
ENSG00000122971,ACADS,1
ENSG00000196177,ACADSB,1
ENSG00000072778,ACADVL,1
ENSG00000072818,ACAP1,1
ENSG00000114331,ACAP2,1
ENSG00000131584,ACAP3,1
ENSG00000075239,ACAT1,1
ENSG00000120437,ACAT2,1
ENSG00000182827,ACBD3,1
ENSG00000181513,ACBD4,1
ENSG00000110455,ACCS,1
ENSG00000102977,ACD,1
ENSG00000144476,ACKR3,1
ENSG00000162390,ACOT11,1
ENSG00000177465,ACOT4,1
ENSG00000205669,ACOT6,1
ENSG00000101473,ACOT8,1
ENSG00000168306,ACOX2,1
ENSG00000153093,ACOXL,1
ENSG00000134575,ACP2,1
ENSG00000102575,ACP5,1
ENSG00000167107,ACSF2,1
ENSG00000131069,ACSS2,1
ENSG00000184009,ACTG1,1
ENSG00000077080,ACTL6B,1
ENSG00000115073,ACTR1B,1
ENSG00000138071,ACTR2,1
ENSG00000075089,ACTR6,1
ENSG00000113812,ACTR8,1
ENSG00000184378,ACTRT3,1
ENSG00000115170,ACVR1,1
ENSG00000135503,ACVR1B,1
ENSG00000243989,ACY1,1
ENSG00000170634,ACYP2,1
ENSG00000168803,ADAL,1
ENSG00000143537,ADAM15,1
ENSG00000114948,ADAM23,1
ENSG00000168615,ADAM9,1
ENSG00000142303,ADAMTS10,1
ENSG00000151388,ADAMTS12,1
ENSG00000160323,ADAMTS13,1
ENSG00000145536,ADAMTS16,1
ENSG00000249421,ADAMTS19-AS1,1
ENSG00000173157,ADAMTS20,1
ENSG00000136378,ADAMTS7,1
ENSG00000163638,ADAMTS9,1
ENSG00000197859,ADAMTSL2,1
ENSG00000156218,ADAMTSL3,1
ENSG00000185736,ADARB2,1
ENSG00000063761,ADCK1,1
ENSG00000078295,ADCY2,1
ENSG00000138031,ADCY3,1
ENSG00000121281,ADCY7,1
ENSG00000155897,ADCY8,1
ENSG00000078549,ADCYAP1R1,1
ENSG00000020181,ADGRA2,1
ENSG00000152990,ADGRA3,1
ENSG00000135298,ADGRB3,1
ENSG00000173567,ADGRF3,1
ENSG00000112414,ADGRG6,1
ENSG00000117114,ADGRL2,1
ENSG00000150471,ADGRL3,1
ENSG00000162618,ADGRL4,1
ENSG00000156110,ADK,1
ENSG00000148926,ADM,1
ENSG00000128165,ADM2,1
ENSG00000163485,ADORA1,1
ENSG00000144843,ADPRH,1
ENSG00000170222,ADPRM,1
ENSG00000120907,ADRA1A,1
ENSG00000150594,ADRA2A,1
ENSG00000169252,ADRB2,1
ENSG00000185100,ADSSL1,1
ENSG00000106624,AEBP1,1
ENSG00000139154,AEBP2,1
ENSG00000225330,AF064860.1,1
ENSG00000231713,AF064860.2,1
ENSG00000251136,AF117829.1,1
ENSG00000198221,AFDN-DT,1
ENSG00000172493,AFF1,1
ENSG00000144218,AFF3,1
ENSG00000141385,AFG3L2,1
ENSG00000183077,AFMID,1
ENSG00000119844,AFTPH,1
ENSG00000038002,AGA,1
ENSG00000133612,AGAP3,1
ENSG00000006530,AGK,1
ENSG00000162688,AGL,1
ENSG00000169692,AGPAT2,1
ENSG00000155189,AGPAT5,1
ENSG00000135049,AGTPBP1,1
ENSG00000185567,AHNAK2,1
ENSG00000106546,AHR,1
ENSG00000183773,AIFM3,1
ENSG00000146416,AIG1,1
ENSG00000163568,AIM2,1
ENSG00000106305,AIMP2,1
ENSG00000154027,AK5,1
ENSG00000085231,AK6,1
ENSG00000140057,AK7,1
ENSG00000108599,AKAP10,1
ENSG00000111254,AKAP3,1
ENSG00000105127,AKAP8,1
ENSG00000166452,AKIP1,1
ENSG00000204673,AKT1S1,1
ENSG00000240553,AL031428.1,1
ENSG00000234613,AL031584.2,1
ENSG00000258525,AL049830.3,1
ENSG00000232358,AL050404.1,1
ENSG00000218018,AL109955.1,1
ENSG00000258824,AL122035.1,1
ENSG00000257285,AL132780.1,1
ENSG00000259049,AL139317.3,1
ENSG00000203546,AL139353.1,1
ENSG00000257524,AL157935.2,1
ENSG00000258938,AL162311.3,1
ENSG00000235152,AL353052.1,1
ENSG00000229191,AL358473.1,1
ENSG00000231365,AL359915.2,1
ENSG00000240527,AL365273.1,1
ENSG00000237976,AL391069.3,1
ENSG00000233461,AL445524.1,1
ENSG00000232295,AL589935.1,1
ENSG00000235381,AL596202.1,1
ENSG00000148218,ALAD,1
ENSG00000170017,ALCAM,1
ENSG00000059573,ALDH18A1,1
ENSG00000184254,ALDH1A3,1
ENSG00000136010,ALDH1L2,1
ENSG00000111275,ALDH2,1
ENSG00000108602,ALDH3A1,1
ENSG00000072210,ALDH3A2,1
ENSG00000112294,ALDH5A1,1
ENSG00000109107,ALDOC,1
ENSG00000182858,ALG12,1
ENSG00000214160,ALG3,1
ENSG00000088035,ALG6,1
ENSG00000159063,ALG8,1
ENSG00000189292,ALKAL2,1
ENSG00000166199,ALKBH3,1
ENSG00000160993,ALKBH4,1
ENSG00000091542,ALKBH5,1
ENSG00000239382,ALKBH6,1
ENSG00000125652,ALKBH7,1
ENSG00000108839,ALOX12,1
ENSG00000161905,ALOX15,1
ENSG00000012779,ALOX5,1
ENSG00000162551,ALPL,1
ENSG00000178038,ALS2CL,1
ENSG00000183684,ALYREF,1
ENSG00000106927,AMBP,1
ENSG00000184675,AMER1,1
ENSG00000151743,AMN1,1
ENSG00000166025,AMOTL1,1
ENSG00000116337,AMPD2,1
ENSG00000078053,AMPH,1
ENSG00000174945,AMZ1,1
ENSG00000164162,ANAPC10,1
ENSG00000166295,ANAPC16,1
ENSG00000053900,ANAPC4,1
ENSG00000089053,ANAPC5,1
ENSG00000029534,ANK1,1
ENSG00000151150,ANK3,1
ENSG00000132623,ANKEF1,1
ENSG00000131503,ANKHD1,1
ENSG00000001629,ANKIB1,1
ENSG00000144504,ANKMY1,1
ENSG00000106524,ANKMY2,1
ENSG00000088448,ANKRD10,1
ENSG00000101745,ANKRD12,1
ENSG00000198720,ANKRD13B,1
ENSG00000105186,ANKRD27,1
ENSG00000137494,ANKRD42,1
ENSG00000165138,ANKS6,1
ENSG00000171714,ANO5,1
ENSG00000177119,ANO6,1
ENSG00000185101,ANO9,1
ENSG00000163297,ANTXR2,1
ENSG00000135046,ANXA1,1
ENSG00000182718,ANXA2,1
ENSG00000138772,ANXA3,1
ENSG00000196975,ANXA4,1
ENSG00000143412,ANXA9,1
ENSG00000228592,AP000459.2,1
ENSG00000245552,AP000787.1,1
ENSG00000247137,AP000873.2,1
ENSG00000254531,AP001816.1,1
ENSG00000246090,AP002026.1,1
ENSG00000231698,AP002856.2,1
