Gene,Chimp.DMR.Promotor,Chimp.DMR.Promotor.AMHvsChimp,Human.DMR.Promotor,Human.DMR.Promotor.AMHvsChimp
5S_rRNA,1,hypermethylated,1,hypermethylated
ABCB5,1,hypermethylated,0,na
ACAN,0,na,1,hypermethylated
ACOT4,1,hypermethylated,0,na
ACP1,1,hypomethylated,0,na
ACSL6,0,na,1,hypermethylated
ACSM3,1,hypermethylated,0,na
ADAMTS10,1,hypomethylated,0,na
ADAMTS13,1,hypermethylated,0,na
ADAMTS16,1,hypermethylated,0,na
ADAMTSL5,1,hypomethylated,0,na
ADAP1,1,both,0,na
ADCK4,0,na,1,hypermethylated
ADCY2,0,na,1,hypermethylated
ADV21S1A1N,1,hypermethylated,0,na
AF161365,1,hypomethylated,0,na
AGAP9,1,hypermethylated,0,na
AHCYL2,0,na,1,hypermethylated
AKAP8,1,hypermethylated,0,na
AKAP8L,0,na,1,hypermethylated
ALG1L,1,hypermethylated,0,na
ALOX15P1,0,na,1,hypomethylated
ALX3,1,hypomethylated,0,na
ANGPTL4,1,hypomethylated,0,na
ANKEF1,1,hypermethylated,0,na
ANKRD20A8P,1,hypomethylated,0,na
ANKRD30B,1,hypomethylated,0,na
ANKRD52,1,hypermethylated,0,na
ANXA11,1,hypermethylated,0,na
ANXA8L2,1,hypermethylated,0,na
AP2A1,1,hypomethylated,0,na
APOL6,0,na,1,hypomethylated
AQP6,0,na,1,hypermethylated
ARFGAP3,0,na,1,hypermethylated
ARHGAP27,1,hypermethylated,0,na
ARHGAP29,1,hypermethylated,0,na
ARL16,1,hypermethylated,0,na
ATP1A1,1,hypermethylated,0,na
ATP2A1,1,hypomethylated,0,na
ATP2C2,1,hypermethylated,0,na
ATP5D,1,hypomethylated,0,na
ATP5SL,1,hypermethylated,0,na
ATXN7L1,0,na,1,hypermethylated
AX747048,0,na,1,hypermethylated
AX747132,1,hypermethylated,0,na
AX747968,0,na,1,hypermethylated
AX748428,0,na,1,hypermethylated
B3GNT7,0,na,1,hypermethylated
B4GALNT1,1,hypermethylated,0,na
BC015342,1,hypermethylated,0,na
BC016143,1,hypermethylated,0,na
BC022056,0,na,1,hypermethylated
BC023516,1,hypermethylated,0,na
BC034268,0,na,1,hypermethylated
BC041434,1,hypermethylated,0,na
BC045769,1,hypomethylated,0,na
BC047609,0,na,1,hypermethylated
BC050399,1,hypermethylated,0,na
BC050599,0,na,1,hypermethylated
BC054514,0,na,1,hypermethylated
BC070118,1,hypermethylated,0,na
BC080587,1,hypomethylated,0,na
BC084558,0,na,1,hypermethylated
BC127823,1,hypermethylated,0,na
BCKDK,1,hypermethylated,0,na
BCR,0,na,1,hypermethylated
BMP8A,0,na,1,hypermethylated
BMS1P6,1,hypermethylated,0,na
BNC2,1,hypermethylated,1,hypermethylated
BRCA1,1,hypermethylated,0,na
BV5-8,1,hypomethylated,0,na
C10orf120,1,hypermethylated,0,na
C11orf68,1,hypermethylated,0,na
C12orf76,1,hypermethylated,0,na
C14orf80,1,hypermethylated,0,na
C15orf39,0,na,1,hypermethylated
C16orf11,1,hypermethylated,0,na
C16orf70,1,hypermethylated,0,na
C17orf107,1,hypomethylated,0,na
C19orf26,1,hypomethylated,0,na
C19orf33,0,na,1,hypermethylated
