GeneName,ENSG,OA.omics
ABCE1,ENSG00000164163,1
ABHD12,ENSG00000100997,1
ABI3BP,ENSG00000154175,1
ACLY,ENSG00000131473,1
ACSL4,ENSG00000068366,1
ACTR3B,ENSG00000133627,1
ADD3,ENSG00000148700,1
ADPRH,ENSG00000144843,1
ADSS,ENSG00000035687,1
AEBP1,ENSG00000106624,1
AGFG1,ENSG00000173744,1
AGTRAP,ENSG00000177674,1
AHCY,ENSG00000101444,1
AK2,ENSG00000004455,1
AKR1B1,ENSG00000085662,1
AKR1C1,ENSG00000187134,1
AKR1C2,ENSG00000151632,1
ALDH18A1,ENSG00000059573,1
ALDH1A2,ENSG00000128918,1
ALDH1A3,ENSG00000184254,1
AMPD2,ENSG00000116337,1
ANAPC7,ENSG00000196510,1
ANK3,ENSG00000151150,1
ANPEP,ENSG00000166825,1
APOD,ENSG00000189058,1
APP,ENSG00000142192,1
ARHGAP17,ENSG00000140750,1
ARMC9,ENSG00000135931,1
ARSA,ENSG00000100299,1
ASAH1,ENSG00000104763,1
ATAD3B,ENSG00000160072,1
ATP6AP1,ENSG00000071553,1
BAIAP2L1,ENSG00000006453,1
BCCIP,ENSG00000107949,1
BCL2L13,ENSG00000099968,1
BLOC1S6,ENSG00000104164,1
BOLA2,ENSG00000183336,1
BRIX1,ENSG00000113460,1
C17orf58,ENSG00000186665,1
C1GALT1,ENSG00000106392,1
C1QTNF5,ENSG00000223953,1
C1R,ENSG00000159403,1
C4BPA,ENSG00000123838,1
CA5B,ENSG00000169239,1
CAPG,ENSG00000042493,1
CAPS,ENSG00000105519,1
CARHSP1,ENSG00000153048,1
CASP3,ENSG00000164305,1
CASP4,ENSG00000196954,1
CCDC124,ENSG00000007080,1
CCDC50,ENSG00000152492,1
CCDC85A,ENSG00000055813,1
CCDC86,ENSG00000110104,1
CCL20,ENSG00000115009,1
CCPG1,ENSG00000260916,1
CFH,ENSG00000000971,1
CHDH,ENSG00000016391,1
CHMP1B,ENSG00000255112,1
CHMP2A,ENSG00000130724,1
CHRDL2,ENSG00000054938,1
CLEC3B,ENSG00000163815,1
CLIC3,ENSG00000169583,1
CLIC6,ENSG00000159212,1
CMAS,ENSG00000111726,1
CMBL,ENSG00000164237,1
CNN2,ENSG00000064666,1
CNN3,ENSG00000117519,1
COG7,ENSG00000168434,1
COL15A1,ENSG00000204291,1
COL18A1,ENSG00000182871,1
COL1A2,ENSG00000164692,1
COL3A1,ENSG00000168542,1
COL4A1,ENSG00000187498,1
COL4A2,ENSG00000134871,1
COL5A1,ENSG00000130635,1
COL9A1,ENSG00000112280,1
COPB2,ENSG00000184432,1
COPG1,ENSG00000181789,1
CPSF4,ENSG00000160917,1
CPT1A,ENSG00000110090,1
CPT2,ENSG00000157184,1
CRISPLD1,ENSG00000121005,1
CRLF1,ENSG00000006016,1
CRTAC1,ENSG00000095713,1
CSTB,ENSG00000160213,1
CTBP1,ENSG00000159692,1
CTBS,ENSG00000117151,1
CTSA,ENSG00000064601,1
CTSD,ENSG00000117984,1
CYLD,ENSG00000083799,1
CYP1B1,ENSG00000138061,1
CYP27A1,ENSG00000135929,1
