"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Resolution","Topic"
"GO:0006695","BP","GO:0006695","cholesterol biosynthetic process","8/95","68/17073",3.82771419620698e-09,2.10788410343518e-06,1.84632184242497e-06,"ACAT2/HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7",8,"10-Topic Analysis","Topic k3"
"GO:1902653","BP","GO:1902653","secondary alcohol biosynthetic process","8/95","68/17073",3.82771419620698e-09,2.10788410343518e-06,1.84632184242497e-06,"ACAT2/HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7",8,"10-Topic Analysis","Topic k3"
"GO:0016126","BP","GO:0016126","sterol biosynthetic process","8/95","71/17073",5.4345966414225e-09,2.10788410343518e-06,1.84632184242497e-06,"ACAT2/HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7",8,"10-Topic Analysis","Topic k3"
"GO:0045540","BP","GO:0045540","regulation of cholesterol biosynthetic process","7/95","46/17073",5.91769821290056e-09,2.10788410343518e-06,1.84632184242497e-06,"HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7",7,"10-Topic Analysis","Topic k3"
"GO:0106118","BP","GO:0106118","regulation of sterol biosynthetic process","7/95","46/17073",5.91769821290056e-09,2.10788410343518e-06,1.84632184242497e-06,"HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7",7,"10-Topic Analysis","Topic k3"
"GO:0090181","BP","GO:0090181","regulation of cholesterol metabolic process","7/95","60/17073",4.00821299477719e-08,1.1897712239497e-05,1.04213537864207e-05,"HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/DHCR7",7,"10-Topic Analysis","Topic k3"
"GO:0006119","BP","GO:0006119","oxidative phosphorylation","9/95","135/17073",6.10921931386188e-08,1.55435994256972e-05,1.36148316137493e-05,"ATP5MC1/COX7C/CHCHD10/CHCHD10/MSH2/UQCR10/NDUFS5/ATP5MC2/UQCC3",9,"10-Topic Analysis","Topic k3"
"GO:0046165","BP","GO:0046165","alcohol biosynthetic process","9/95","143/17073",1.00451793002684e-07,2.23630804172226e-05,1.95880996355234e-05,"ACAT2/HMGCS1/HMGCR/FASN/SQLE/SCD/ELOVL6/ISYNA1/DHCR7",9,"10-Topic Analysis","Topic k3"
"GO:0006614","BP","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","8/95","110/17073",1.75325014713421e-07,3.4694872356067e-05,3.0389669216993e-05,"RPS23/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",8,"10-Topic Analysis","Topic k3"
"GO:0006613","BP","GO:0006613","cotranslational protein targeting to membrane","8/95","113/17073",2.16018041230609e-07,3.84728131431714e-05,3.3698814431975e-05,"RPS23/RPL9/RPL18/RPL22/RPSA/RPL4/RPL15/RPS7",8,"10-Topic Analysis","Topic k3"
