Species,Species_Details,Abbr,Abbr_Details,Name,Name_Details,Cell_Type,Well_Size,MSC_Media,Sample,Passage,Position,Absorbance_Rep,Absorbance_Value
Chimpanzee,Chimpanzee MSC,C1,C1 MSC,C8861,C8861 MSC,MSC,12W,3B,C1-M,p15+18+18,NA,1,0.669
Chimpanzee,Chimpanzee MSC,C1,C1 MSC,C8861,C8861 MSC,MSC,12W,3B,C1-M,p15+18+18,NA,2,0.705
Chimpanzee,Chimpanzee MSC,C1,C1 MSC,C8861,C8861 MSC,MSC,12W,3B,C1-M,p15+18+18,NA,3,0.726
Chimpanzee,Chimpanzee MSC,C1,C1 MSC,C8861,C8861 MSC,MSC,12W,3B,C1-M,p15+18+18,NA,4,0.552
Chimpanzee,Chimpanzee Adipocyte,C1,C1 Adipocyte,C8861,C8861 Adipocyte,Adipocyte,12W,3B,C1-A,p15+18+18,NA,1,0.431
Chimpanzee,Chimpanzee Adipocyte,C1,C1 Adipocyte,C8861,C8861 Adipocyte,Adipocyte,12W,3B,C1-A,p15+18+18,NA,2,0.453
Chimpanzee,Chimpanzee Adipocyte,C1,C1 Adipocyte,C8861,C8861 Adipocyte,Adipocyte,12W,3B,C1-A,p15+18+18,NA,3,0.459
Chimpanzee,Chimpanzee Adipocyte,C1,C1 Adipocyte,C8861,C8861 Adipocyte,Adipocyte,12W,3B,C1-A,p15+18+18,NA,4,0.387
Human,Human MSC,H1,H1 MSC,H23555,H23555 MSC,MSC,12W,3B,H1-M,p16+29+11,NA,1,0.39
Human,Human MSC,H1,H1 MSC,H23555,H23555 MSC,MSC,12W,3B,H1-M,p16+29+11,NA,2,0.422
Human,Human MSC,H1,H1 MSC,H23555,H23555 MSC,MSC,12W,3B,H1-M,p16+29+11,NA,3,0.423
Human,Human MSC,H1,H1 MSC,H23555,H23555 MSC,MSC,12W,3B,H1-M,p16+29+11,NA,4,0.28
Human,Human Adipocyte,H1,H1 Adipocyte,H23555,H23555 Adipocyte,Adipocyte,12W,3B,H1-A,p16+29+12,NA,1,0.358
Human,Human Adipocyte,H1,H1 Adipocyte,H23555,H23555 Adipocyte,Adipocyte,12W,3B,H1-A,p16+29+12,NA,2,0.369
Human,Human Adipocyte,H1,H1 Adipocyte,H23555,H23555 Adipocyte,Adipocyte,12W,3B,H1-A,p16+29+12,NA,3,0.375
Human,Human Adipocyte,H1,H1 Adipocyte,H23555,H23555 Adipocyte,Adipocyte,12W,3B,H1-A,p16+29+12,NA,4,0.295
Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,MSC,12W,2B,HR-M,p16+29+13,A1,1,0.151
Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,MSC,12W,2B,HR-M,p16+29+13,A2,2,0.149
Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,MSC,12W,2B,HR-M,p16+29+13,A3,3,0.16
Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,MSC,12W,2B,HR-M,p16+29+13,A4,4,0.138
Chimpanzee,Chimpanzee MSC,C1-r2,C1-r2 MSC,C8861,C8861 MSC,MSC,12W,2B,CR-M,p15+20+11,A5,1,0.125
Chimpanzee,Chimpanzee MSC,C1-r2,C1-r2 MSC,C8861,C8861 MSC,MSC,12W,2B,CR-M,p15+20+11,A6,2,0.13
Chimpanzee,Chimpanzee MSC,C1-r2,C1-r2 MSC,C8861,C8861 MSC,MSC,12W,2B,CR-M,p15+20+11,A7,3,0.132
Chimpanzee,Chimpanzee MSC,C1-r2,C1-r2 MSC,C8861,C8861 MSC,MSC,12W,2B,CR-M,p15+20+11,A8,4,0.106
Human,Human Adipocyte,H1-r2,H1-r2 Adipocyte,H23555,H23555 Adipocyte,Adipocyte,12W,2B,HR-A,p16+29+14,A9,1,0.134
Human,Human Adipocyte,H1-r2,H1-r2 Adipocyte,H23555,H23555 Adipocyte,Adipocyte,12W,2B,HR-A,p16+29+14,A10,2,0.138
Human,Human Adipocyte,H1-r2,H1-r2 Adipocyte,H23555,H23555 Adipocyte,Adipocyte,12W,2B,HR-A,p16+29+14,A11,3,0.142
Human,Human Adipocyte,H1-r2,H1-r2 Adipocyte,H23555,H23555 Adipocyte,Adipocyte,12W,2B,HR-A,p16+29+14,A12,4,0.118
Chimpanzee,Chimpanzee Adipocyte,C1-r2,C1-r2 Adipocyte,C8861,C8861 Adipocyte,Adipocyte,12W,2B,CR-A,p15+20+12,B1,1,0.182
Chimpanzee,Chimpanzee Adipocyte,C1-r2,C1-r2 Adipocyte,C8861,C8861 Adipocyte,Adipocyte,12W,2B,CR-A,p15+20+12,B2,2,0.186
Chimpanzee,Chimpanzee Adipocyte,C1-r2,C1-r2 Adipocyte,C8861,C8861 Adipocyte,Adipocyte,12W,2B,CR-A,p15+20+12,B3,3,0.187
Chimpanzee,Chimpanzee Adipocyte,C1-r2,C1-r2 Adipocyte,C8861,C8861 Adipocyte,Adipocyte,12W,2B,CR-A,p15+20+12,B4,4,0.131
Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,MSC,12W,3B,H2-M,p16+22+12,B5,1,0.209
Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,MSC,12W,3B,H2-M,p16+22+12,B6,2,0.222
Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,MSC,12W,3B,H2-M,p16+22+12,B7,3,0.221
Human,Human MSC,H2,H2 MSC,H20157,H20157 MSC,MSC,12W,3B,H2-M,p16+22+12,B8,4,0.203
Chimpanzee,Chimpanzee MSC,C2,C2 MSC,C3647,C3647 MSC,MSC,12W,3B,C2-M,p15+22+12,B9,1,0.378
Chimpanzee,Chimpanzee MSC,C2,C2 MSC,C3647,C3647 MSC,MSC,12W,3B,C2-M,p15+22+12,B10,2,0.399
Chimpanzee,Chimpanzee MSC,C2,C2 MSC,C3647,C3647 MSC,MSC,12W,3B,C2-M,p15+22+12,B11,3,0.4
Chimpanzee,Chimpanzee MSC,C2,C2 MSC,C3647,C3647 MSC,MSC,12W,3B,C2-M,p15+22+12,B12,4,0.254
Human,Human Adipocyte,H2,H2 Adipocyte,H20157,H20157 Adipocyte,Adipocyte,12W,3B,H2-A,p16+22+13,C1,1,0.606
Human,Human Adipocyte,H2,H2 Adipocyte,H20157,H20157 Adipocyte,Adipocyte,12W,3B,H2-A,p16+22+13,C2,2,0.629
Human,Human Adipocyte,H2,H2 Adipocyte,H20157,H20157 Adipocyte,Adipocyte,12W,3B,H2-A,p16+22+13,C3,3,0.646
Human,Human Adipocyte,H2,H2 Adipocyte,H20157,H20157 Adipocyte,Adipocyte,12W,3B,H2-A,p16+22+13,C4,4,0.444
Chimpanzee,Chimpanzee Adipocyte,C2,C2 Adipocyte,C3647,C3647 Adipocyte,Adipocyte,12W,3B,C2-A,p15+22+13,C5,1,0.529
Chimpanzee,Chimpanzee Adipocyte,C2,C2 Adipocyte,C3647,C3647 Adipocyte,Adipocyte,12W,3B,C2-A,p15+22+13,C6,2,0.524
Chimpanzee,Chimpanzee Adipocyte,C2,C2 Adipocyte,C3647,C3647 Adipocyte,Adipocyte,12W,3B,C2-A,p15+22+13,C7,3,0.542
Chimpanzee,Chimpanzee Adipocyte,C2,C2 Adipocyte,C3647,C3647 Adipocyte,Adipocyte,12W,3B,C2-A,p15+22+13,C8,4,0.329
Human,Human MSC,H3,H3 MSC,H28126,H28126 MSC,MSC,12W,1A,H3-M,p15+28+10,C9,1,0.445
Human,Human MSC,H3,H3 MSC,H28126,H28126 MSC,MSC,12W,1A,H3-M,p15+28+10,C10,2,0.446
Human,Human MSC,H3,H3 MSC,H28126,H28126 MSC,MSC,12W,1A,H3-M,p15+28+10,C11,3,0.446
Human,Human MSC,H3,H3 MSC,H28126,H28126 MSC,MSC,12W,1A,H3-M,p15+28+10,C12,4,0.307
Chimpanzee,Chimpanzee MSC,C3,C3 MSC,C3649,C3649 MSC,MSC,12W,3B,C3-M,p15+18+18,D1,1,0.43
Chimpanzee,Chimpanzee MSC,C3,C3 MSC,C3649,C3649 MSC,MSC,12W,3B,C3-M,p15+18+18,D2,2,0.458
Chimpanzee,Chimpanzee MSC,C3,C3 MSC,C3649,C3649 MSC,MSC,12W,3B,C3-M,p15+18+18,D3,3,0.457
Chimpanzee,Chimpanzee MSC,C3,C3 MSC,C3649,C3649 MSC,MSC,12W,3B,C3-M,p15+18+18,D4,4,0.305
Human,Human Adipocyte,H3,H3 Adipocyte,H28126,H28126 Adipocyte,Adipocyte,12W,1A,H3-A,p15+28+11,D5,1,0.496
Human,Human Adipocyte,H3,H3 Adipocyte,H28126,H28126 Adipocyte,Adipocyte,12W,1A,H3-A,p15+28+11,D6,2,0.529
