Sample,Sample_Details,Species,Species_Details,Abbr,Abbr_Details,Name,Name_Details,Name_Details_Gene,Cell_Type,Gene,Rep,qPCR_Sample_Name,qPCR_Name,qPCR_Date,qPCR_Researcher,CT,qPCR_Efficiency,Control_Ct_Mean_GAPDH_iPSC,EdeltadeltaCt_GAPDH_iPSC,Control_Ct_Mean_GAPDH_MSC,EdeltadeltaCt_GAPDH_MSC,Control_Ct_Mean_GUSB_iPSC,EdeltadeltaCt_GUSB_iPSC,Control_Ct_Mean_GUSB_MSC,EdeltadeltaCt_GUSB_MSC,Control_Ct_Mean_GAPDHandGUSB_iPSC,EdeltadeltaCt_GAPDHandGUSB_iPSC,Control_Ct_Mean_GAPDHandGUSB_MSC,EdeltadeltaCt_GAPDHandGUSB_MSC
Sample,Sample iPSC,Human,Human iPSC,H1-r2,H1-r2 iPSC,H23555,H23555 iPSC,H23555 iPSC - GAPDH,iPSC,GAPDH,,H1Ir2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,16.3320694,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample iPSC,Human,Human iPSC,H1-r2,H1-r2 iPSC,H23555,H23555 iPSC,H23555 iPSC - GAPDH,iPSC,GAPDH,,H1Ir2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,15.67671585,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample iPSC,Human,Human iPSC,H1-r2,H1-r2 iPSC,H23555,H23555 iPSC,H23555 iPSC - GAPDH,iPSC,GAPDH,,H1Ir2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,15.07512856,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample MSC,Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,H23555 MSC - GAPDH,MSC,GAPDH,,H1Mr2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,16.35987854,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample MSC,Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,H23555 MSC - GAPDH,MSC,GAPDH,,H1Mr2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,14.79079628,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample MSC,Human,Human MSC,H1-r2,H1-r2 MSC,H23555,H23555 MSC,H23555 MSC - GAPDH,MSC,GAPDH,,H1Mr2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,15.076231,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample Adipogenic,Human,Human Adipogenic,H1-r2,H1-r2 Adipogenic,H23555,H23555 Adipogenic,H23555 Adipogenic - GAPDH,Adipogenic,GAPDH,,H1Ar2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,15.516675,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample Adipogenic,Human,Human Adipogenic,H1-r2,H1-r2 Adipogenic,H23555,H23555 Adipogenic,H23555 Adipogenic - GAPDH,Adipogenic,GAPDH,,H1Ar2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,14.86260605,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample Adipogenic,Human,Human Adipogenic,H1-r2,H1-r2 Adipogenic,H23555,H23555 Adipogenic,H23555 Adipogenic - GAPDH,Adipogenic,GAPDH,,H1Ar2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,14.70811462,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
Sample,Sample Chondrogenic,Human,Human Chondrogenic,H1-r2,H1-r2 Chondrogenic,H23555,H23555 Chondrogenic,H23555 Chondrogenic - GAPDH,Chondrogenic,GAPDH,,H1Cr2,study-collection-qPCR-H1r - plate1,10/26/2020,Emilie Briscoe,23.41473579,1.98,15.69463793,,15.40896861,,15.69463793,,15.40896861,,15.69463793,,15.40896861,
