,refsnp_id,ensembl_gene_stable_id
1,rs12855,ENSG00000123080
2,rs1118030,
3,rs1002436,
4,rs1014719,ENSG00000116183
5,rs1044145,ENSG00000123836
6,rs1044145,ENSG00000180667
7,rs1288380,ENSG00000162383
8,rs10779365,
9,rs10779651,ENSG00000082482
10,rs10782997,ENSG00000069702
11,rs10797829,ENSG00000135862
12,rs10797923,ENSG00000198756
13,rs10753130,ENSG00000116183
14,rs10863632,
15,rs10864136,
16,rs10903108,
17,rs10494981,ENSG00000152104
18,rs10919470,
19,rs10923634,
20,rs10923672,
21,rs10923724,
22,rs10926168,ENSG00000155816
23,rs10909940,ENSG00000142611
24,rs10913245,ENSG00000116183
25,rs10916617,ENSG00000143786
26,rs10157778,
27,rs11248974,
28,rs11576360,ENSG00000131778
29,rs11581328,ENSG00000142599
30,rs11808690,ENSG00000117594
31,rs12022725,
32,rs12075079,ENSG00000197959
33,rs12076366,ENSG00000171502
34,rs12076549,ENSG00000069702
35,rs12081061,
36,rs12028567,
37,rs12032393,ENSG00000271949
38,rs12032393,ENSG00000171488
39,rs12035349,ENSG00000142892
40,rs11807526,ENSG00000143434
41,rs11204755,ENSG00000143412
42,rs11204764,ENSG00000163141
43,rs11204828,
44,rs11205303,ENSG00000014914
45,rs11207870,
46,rs11209363,ENSG00000171790
47,rs11209745,ENSG00000132485
48,rs11209799,
49,rs11118178,
50,rs11122624,ENSG00000143643
51,rs11161635,ENSG00000153904
52,rs12067831,ENSG00000088035
53,rs12067831,LRG_1260
54,rs12563301,
55,rs12096165,
56,rs12097169,ENSG00000163156
57,rs12097169,ENSG00000163155
58,rs12097932,
59,rs12116935,ENSG00000142694
60,rs12116935,ENSG00000214193
61,rs12119250,ENSG00000143382
62,rs12120182,ENSG00000181450
63,rs12121804,
64,rs12144094,ENSG00000092621
65,rs12144747,
66,rs12145349,ENSG00000075945
67,rs12133943,ENSG00000116128
68,rs12136856,
69,rs12140861,ENSG00000116183
70,rs12094387,
71,rs12125882,ENSG00000197959
72,rs12128909,
73,rs12130243,ENSG00000116489
74,rs12132114,ENSG00000069702
75,rs12733767,ENSG00000154511
76,rs12734773,ENSG00000085831
77,rs12734979,
78,rs12735646,ENSG00000117713
79,rs12735646,LRG_875
80,rs12740374,ENSG00000143126
81,rs12046884,ENSG00000162408
82,rs12060830,
83,rs12743049,ENSG00000153904
84,rs12743493,ENSG00000157933
85,rs12744299,ENSG00000162738
86,rs12744534,ENSG00000116132
87,rs11585206,
88,rs11590326,
89,rs11590929,
90,rs1018800,ENSG00000083642
91,rs1046028,ENSG00000136144
92,rs1239689,ENSG00000186047
93,rs10492409,ENSG00000186047
94,rs10507381,ENSG00000152520
95,rs12584079,ENSG00000136147
96,rs12585865,ENSG00000102780
97,rs11618507,
98,rs11841145,ENSG00000186047
99,rs11841965,ENSG00000186047
100,rs12872224,
101,rs12875139,ENSG00000088387
102,rs1259827,
103,rs10163862,ENSG00000231824
104,rs10775487,ENSG00000134030
105,rs10775487,ENSG00000282825
106,rs10853631,ENSG00000187323
107,rs11082304,ENSG00000134508
108,rs11082706,ENSG00000134030
109,rs11082706,ENSG00000282825
110,rs11152363,ENSG00000196628
111,rs11662962,
112,rs11664336,ENSG00000141627
113,rs12607903,ENSG00000170579
114,rs12457358,
115,rs12607339,ENSG00000184828
116,rs1045210,ENSG00000136603
117,rs1133415,ENSG00000168273
118,rs1156567,ENSG00000131389
119,rs1264194,ENSG00000114270
120,rs1264194,LRG_286
121,rs1290786,ENSG00000085276
122,rs1006181,ENSG00000065882
123,rs10003497,ENSG00000152583
124,rs10008015,
125,rs10010325,ENSG00000168769
126,rs10010325,LRG_626
127,rs10016290,
128,rs10026360,
129,rs10029732,
130,rs10428248,ENSG00000283765
131,rs10428248,ENSG00000180834
