Gene.Symbol,Chromosome.GRCh38,Start.GRCh38,End.GRCh38,Strand.GRCh38,DE.Parental.iPSCs,DE.Hybrid.iPSCs,DE.Parental.CNCCs,DE.Hybrid.CNCCs
3.8-1.2,chr6,29995957,29996415,-,0,0,0,0
3.8-1.4,chr6,29865915,29867087,-,0,0,0,0
3.8-1.5,chr6,29765116,29766296,-,0,0,0,0
5-HT3C2,chr3,184083172,184084219,+,0,0,0,0
A1BG,chr19,58346806,58353499,-,0,1,0,0
A1BG-AS1,chr19,58351970,58355183,+,0,0,0,0
A1CF,chr10,50799409,50885675,-,0,0,0,0
A2M,chr12,9067708,9116229,-,1,1,0,1
A2M-AS1,chr12,9065177,9068055,+,0,0,0,0
A2ML1,chr12,8822472,8887202,+,1,1,0,0
A2MP1,chr12,9228533,9234207,-,0,0,0,0
A3GALT2,chr1,33306766,33321098,-,0,0,0,0
A4GALT,chr22,42692112,42721301,-,1,1,0,0
A4GNT,chr3,138123718,138133310,-,0,0,0,0
AA06,chr17,33529787,33533760,-,0,0,0,0
AAAS,chr12,53307456,53321628,-,1,1,0,0
AACS,chr12,125065367,125143333,+,0,0,1,0
AACSP1,chr5,178764861,178818435,-,0,0,0,0
AADAC,chr3,151814008,151828488,+,0,0,0,0
AADACL2,chr3,151733916,151758016,+,0,0,0,0
AADACL2-AS1,chr3,151751179,151928175,-,0,0,0,0
AADACL3,chr1,12716115,12728759,+,0,0,0,0
AADACL4,chr1,12644547,12667086,+,0,0,0,0
AADACP1,chr3,151770456,151784894,+,0,0,0,0
AADAT,chr4,170060222,170091699,-,1,1,0,0
AAED1,chr9,96641251,96655331,-,1,1,1,1
AAGAB,chr15,67200675,67255198,-,1,1,0,0
AAK1,chr2,69457995,69643845,-,0,0,0,0
AAMDC,chr11,77821114,77901281,+,0,1,0,0
AAMP,chr2,218264127,218270209,-,0,1,0,1
AANAT,chr17,76453351,76470797,+,0,0,0,0
AAR2,chr20,36236136,36256941,+,1,0,0,0
AARD,chr8,116938225,116944000,+,1,1,1,1
AARS,chr16,70252295,70289509,-,1,0,0,0
AARS2,chr6,44297850,44313358,-,1,1,1,1
AARSD1,chr17,42950526,42964498,-,0,0,0,0
AASDH,chr4,56337687,56389418,-,0,0,0,0
AASDHPPT,chr11,106077565,106098692,+,1,0,1,1
AASS,chr7,122073544,122144290,-,1,1,0,1
AATBC,chr21,43805758,43812567,-,0,0,0,0
AATF,chr17,36948875,37056871,+,1,1,0,1
AATK,chr17,81117295,81166072,-,0,0,0,0
ABALON,chr20,31721507,31723409,+,0,0,0,0
